"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/iperf3-1576678732-100-macsec-morus640-we-1500-dstat.csv",,,,"Date:","18 Dec 2019 23:55:50 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.339,0.035,99.621,0.006,0,4149.454,16310.035,0,0,0,0,2515.011,159.892
0.529,1.323,98.148,0,0,0,0,914361,114155899,0,0,3878,329
0,0.528,99.472,0,0,0,0,445836,122452506,0,0,4053,212
0.262,0,99.738,0,0,0,65536,460464,122454024,0,0,4071,237
0.262,0.262,99.476,0,0,0,0,465234,122378124,0,0,4055,223
0,0.262,99.738,0,0,0,0,469026,122531442,0,0,4055,213
0,0.262,99.738,0,0,0,0,474244,122452506,0,0,4048,205
0,0.262,99.738,0,0,0,0,487388,122455542,0,0,4055,213
0,0.262,99.738,0,0,0,0,453150,122452506,0,0,4044,207
0.522,0.261,99.217,0,0,0,12288,462584,122455542,0,0,4078,254
0,0.524,99.476,0,0,0,0,456224,122452506,0,0,4055,213
0.787,1.312,97.900,0,0,0,0,838960,100428946,0,0,3471,717
0,0.267,99.733,0,0,0,0,493218,122378124,0,0,4048,213
0.264,0,99.736,0,0,0,0,473820,122452506,0,0,4057,225
0,0,100,0,0,0,0,468732,122454024,0,0,4045,201
0,0.525,99.475,0,0,0,45056,472230,122455542,0,0,4066,226
0,0.262,99.738,0,0,0,0,455870,122526888,0,0,4043,205
0.262,0.262,99.476,0,0,0,0,445518,122455542,0,0,4071,218
0,0.262,99.738,0,0,0,0,438098,122452506,0,0,4060,199
0,0.262,99.738,0,0,0,0,455800,122455542,0,0,4065,218
0,0.262,99.738,0,0,0,0,449652,122452506,0,0,4050,210
0.262,1.575,98.163,0,0,0,12288,811958,100840321,0,0,3496,707
0,0.265,99.735,0,0,0,3977216,440748,122452506,0,0,4072,219
0,0.262,99.738,0,0,0,0,447320,122452506,0,0,4057,217
0.262,0.262,99.476,0,0,0,0,456224,122454024,0,0,4044,209
0.262,0.262,99.476,0,0,0,0,464810,122454024,0,0,4051,213
0,0.262,99.738,0,0,0,0,455140,122454024,0,0,4045,204
0,0.524,99.476,0,0,0,425984,454846,122454024,0,0,4144,250
0,0.262,99.738,0,0,0,0,449440,122454024,0,0,4044,205
0.262,0.262,99.476,0,0,0,0,451984,122454024,0,0,4085,277
