"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/iperf3-1571335153-100-macsec-aesgcm-e-jumbo-dstat.csv",,,,"Date:","18 Oct 2019 01:19:46 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.794,37.454,60.487,0.265,0,9892.156,23762.043,0,0,0,0,6774.763,883.146
1.143,55.429,43.429,0,0,0,0,113316,36653438,0,0,16837,360
1.695,56.497,40.678,1.130,0,0,61440,99004,37774584,0,0,18001,393
0.575,57.471,41.954,0,0,0,49152,97202,37773030,0,0,18098,344
1.136,56.818,42.045,0,0,0,0,97838,37778550,0,0,18069,358
1.143,56.571,42.286,0,0,0,0,97096,37765260,0,0,17999,339
0,57.803,42.197,0,0,0,0,96248,37753686,0,0,17981,337
0.571,57.143,42.286,0,0,0,0,97520,37743504,0,0,18033,359
0.513,51.282,47.692,0.513,0,0,12288,104198,37762152,0,0,4168,392
1,49.500,49.500,0,0,0,0,98156,38053770,0,0,1211,404
0.500,49.500,50,0,0,0,0,97308,38060682,0,0,1175,408
2.273,43.750,53.977,0,0,0,0,51197,28864900,0,0,12840,397
2.247,56.180,41.573,0,0,0,0,46322,37803414,0,0,17987,371
0.571,57.143,41.714,0.571,0,0,40960,46322,37791678,0,0,17940,339
0.571,57.143,42.286,0,0,0,0,47700,37823616,0,0,18070,351
0.571,57.143,42.286,0,0,0,0,46640,37784766,0,0,18048,331
0.571,57.143,42.286,0,0,0,0,45474,37802556,0,0,18010,328
1.136,56.818,42.045,0,0,0,0,48336,37826724,0,0,18011,344
0.568,56.818,42.614,0,0,0,0,45686,37823616,0,0,18113,329
1.058,52.381,46.032,0.529,0,0,12288,45580,37817400,0,0,8287,398
0.500,49.500,50,0,0,0,0,43990,38121288,0,0,1223,391
1.648,42.857,55.495,0,0,0,0,77589,29121308,0,0,8932,421
1.042,51.562,47.396,0,0,0,0,91690,37845372,0,0,6219,393
0.498,49.751,49.751,0,0,0,0,86390,38028048,0,0,1223,398
1.546,50,47.938,0.515,0,0,40960,92538,37783212,0,0,4651,397
0.575,56.897,42.529,0,0,0,0,96354,37419624,0,0,17697,328
0.510,50.510,48.980,0,0,0,0,101336,37776138,0,0,3485,402
1,49,50,0,0,0,0,95930,38012508,0,0,1225,411
0.503,49.749,49.749,0,0,0,192512,96672,38039784,0,0,1256,414
1,49.500,49.500,0,0,0,0,96990,37985232,0,0,1240,428
0.995,49.254,47.761,1.990,0,0,20480,97096,38014920,0,0,1215,408
1.596,42.553,55.851,0,0,0,0,89035,29351255,0,0,5744,425
1.705,56.818,41.477,0,0,0,0,89146,37769922,0,0,17945,381
0,57.803,42.197,0,0,0,32768,87556,37745058,0,0,17847,356
1.031,51.031,47.938,0,0,0,0,83952,37676682,0,0,5021,405
0,52.632,46.316,1.053,0,0,49152,79394,37712424,0,0,7348,408
1.143,57.143,41.714,0,0,0,0,69642,37776138,0,0,17991,354
0.568,57.386,42.045,0,0,0,0,62646,37789428,0,0,18010,403
0.571,57.143,42.286,0,0,0,0,61692,37800306,0,0,17906,348
1.695,56.497,41.808,0,0,0,0,60102,37782354,0,0,17921,363
0.575,57.471,41.379,0.575,0,0,12288,60526,37780104,0,0,17876,342
0.562,47.191,52.247,0,0,0,0,61690,29295680,0,0,13821,391
1.695,56.497,41.808,0,0,0,0,99110,37778550,0,0,18104,365
1.143,57.143,41.714,0,0,0,0,97944,37763706,0,0,18066,348
1.695,56.497,41.808,0,0,0,16384,97944,37741254,0,0,18016,348
2.247,56.742,39.888,1.124,0,0,40960,98050,37760598,0,0,18041,364
0.575,57.471,41.954,0,0,0,0,96354,37757490,0,0,17934,317
1.136,56.818,42.045,0,0,0,0,96460,37743504,0,0,18045,347
0.575,57.471,41.954,0,0,0,0,97626,37741254,0,0,18018,325
0.571,57.143,42.286,0,0,0,0,96460,37759740,0,0,17929,356
0.575,56.897,41.954,0.575,0,0,12288,105364,37549950,0,0,17181,337
1,45,54,0,0,0,0,89546,34436059,0,0,1122,381
2.857,49.714,47.429,0,0,0,0,53338,32583784,0,0,15077,414
0.568,56.818,42.614,0,0,0,0,47064,37766118,0,0,18084,363
1.136,56.818,42.045,0,0,0,0,47594,37793928,0,0,18119,354
0,57.471,42.529,0,0,0,0,45368,37798056,0,0,18008,339
0.568,57.386,41.477,0.568,0,0,40960,45474,37785462,0,0,18017,343
0.571,57.143,42.286,0,0,0,0,47064,37800306,0,0,18032,367
0.575,57.471,41.954,0,0,0,0,81408,37776138,0,0,17811,348
0.575,57.471,41.954,0,0,0,0,77168,37774584,0,0,17793,351
0.575,57.471,41.954,0,0,0,0,78122,37784766,0,0,17996,350
1.648,54.396,43.407,0.549,0,0,12288,80242,37623846,0,0,13750,384
3.279,43.169,53.552,0,0,0,0,49709,29288770,0,0,11567,448
1.143,56.571,42.286,0,0,0,0,48972,37828974,0,0,17971,336
1.130,56.497,42.373,0,0,0,8192,46640,37804968,0,0,17809,363
0,57.471,42.529,0,0,0,0,47170,37784766,0,0,18010,335
1.093,54.098,44.809,0,0,0,0,65508,37674270,0,0,11950,361
0.500,49.500,48.500,1.500,0,0,49152,58830,38010954,0,0,1245,416
0.500,49.500,50,0,0,0,0,60102,38009400,0,0,1239,387
0.503,49.749,49.749,0,0,0,0,58512,38064648,0,0,1228,401
1.005,49.246,49.749,0,0,0,0,58088,38080188,0,0,1222,391
0.995,49.254,49.751,0,0,0,0,53424,38079330,0,0,1237,388
2.151,43.011,54.301,0.538,0,0,12288,55541,29291183,0,0,7881,444
0,57.471,42.529,0,0,0,0,47594,37762152,0,0,18085,346
0.571,57.143,42.286,0,0,0,40960,46746,37770780,0,0,17974,348
0.571,57.143,42.286,0,0,0,0,73882,37628022,0,0,17642,349
0,57.803,42.197,0,0,0,0,93704,37764564,0,0,17930,339
1.714,57.143,40.571,0.571,0,0,49152,92856,37743504,0,0,17948,386
0.575,57.471,41.954,0,0,0,0,91054,37752828,0,0,17929,350
1.036,51.813,47.150,0,0,0,40960,92114,37717086,0,0,6594,400
0.505,49.495,50,0,0,0,0,83846,38018724,0,0,1230,401
1.493,48.756,49.751,0,0,0,0,84270,37996968,0,0,1214,417
3.109,40.933,54.922,1.036,0,0,12288,66884,29379653,0,0,4537,471
0.571,57.143,42.286,0,0,0,0,55650,37735734,0,0,17944,337
1.143,57.143,41.714,0,0,0,0,54378,37773030,0,0,17943,378
0.568,56.250,43.182,0,0,0,0,60738,37562382,0,0,16927,364
0,50.251,49.749,0,0,0,0,44308,38094174,0,0,1196,386
0.498,49.751,49.751,0,0,0,0,44838,38069310,0,0,1230,403
0.505,49.495,49.495,0.505,0,0,40960,44838,38080884,0,0,1199,390
1.500,49,49.500,0,0,0,0,44096,38067756,0,0,1220,391
