"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/ping-1571335153-orig-jumbo-9000-dstat.csv",,,,"Date:","17 Oct 2019 21:41:27 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.624,22.424,75.535,0.416,0,30100.349,23286.235,0,0,0,0,5276.501,949.286
3.371,12.360,84.270,0,0,0,0,250536,250692,0,0,4628,3502
2.762,12.707,84.530,0,0,0,0,257556,257400,0,0,4488,3540
2.874,12.644,84.483,0,0,0,0,245232,245388,0,0,4831,3424
2.841,7.386,89.773,0,0,0,0,277992,277836,0,0,3977,3768
2.857,9.143,87.429,0.571,0,0,32768,264732,264732,0,0,4294,3647
3.509,8.772,87.719,0,0,0,0,255606,255712,0,0,4582,3535
2.747,10.989,86.264,0,0,0,0,279708,279708,0,0,4034,3792
3.352,11.173,75.419,10.056,0,0,892928,248040,248040,0,0,4408,3459
2.688,14.516,82.796,0,0,0,0,267384,267384,0,0,4366,3662
3.243,12.432,82.703,1.622,0,0,49152,264576,264732,0,0,4301,3645
4.255,12.234,83.511,0,0,0,0,279708,279552,0,0,4063,3800
3.279,13.115,83.607,0,0,0,0,264888,265044,0,0,4427,3635
3.352,14.525,82.123,0,0,0,0,246168,246168,0,0,4854,3427
2.857,13.714,83.429,0,0,0,0,237432,237276,0,0,4998,3331
3.867,13.812,81.768,0.552,0,0,12288,250068,250224,0,0,4732,3496
3.704,13.228,83.069,0,0,0,0,280176,280176,0,0,4069,3821
3.209,12.834,83.957,0,0,0,0,280332,280332,0,0,4054,3804
2.809,11.236,85.955,0,0,0,0,265980,265824,0,0,4416,3650
1.143,15.429,83.429,0,0,0,0,238212,238212,0,0,5004,3316
2.273,13.636,83.523,0.568,0,0,12288,247260,247416,0,0,4687,3461
3.911,12.849,83.240,0,0,0,0,246480,246324,0,0,4825,3492
3.390,15.819,80.791,0,0,0,0,274092,274248,0,0,5548,3818
2.222,12.222,85.556,0,0,0,0,270348,270454,0,0,4287,3713
3.429,13.143,83.429,0,0,0,0,238680,238680,0,0,5023,3374
2.273,14.205,81.818,1.705,0,0,12288,236028,235872,0,0,4974,3329
2.874,13.218,83.908,0,0,0,0,236340,236340,0,0,4964,3318
1.765,12.353,85.882,0,0,0,0,236340,236340,0,0,4956,3300
2.273,14.773,82.955,0,0,0,0,235872,235872,0,0,4949,3315
5.056,12.360,82.584,0,0,0,0,237588,237588,0,0,4991,3344
3.390,14.124,81.921,0.565,0,0,12288,233532,233688,0,0,4920,3291
5.028,13.408,81.564,0,0,0,0,296980,297108,0,0,4553,3213
2.210,18.232,79.558,0,0,0,0,337960,337676,0,0,3951,2593
4.945,16.484,78.571,0,0,0,0,336256,336256,0,0,3955,2579
1.695,16.384,81.921,0,0,0,0,347616,347616,0,0,4059,2655
3.933,15.730,79.775,0.562,0,0,16384,341446,341446,0,0,4000,2639
6.806,17.801,75.393,0,0,0,0,343640,343640,0,0,4069,2663
2.717,19.022,78.261,0,0,0,0,343356,343356,0,0,4031,2627
4,13.714,82.286,0,0,0,0,345060,345344,0,0,4037,2650
3.955,14.689,81.356,0,0,0,2908160,352160,352160,0,0,4125,2719
