"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/ping-1576771569-orig-jumbo-9000-dstat.csv",,,,"Date:","19 Dec 2019 18:35:41 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.559,0.336,99.081,0.023,0,45305.043,34442.690,0,0,0,0,3637.356,797.188
3.015,2.261,94.724,0,0,0,40960,2128932,2128932,0,0,28341,27379
2.764,2.261,94.975,0,0,0,0,2124252,2124096,0,0,28274,27293
3.242,2.494,94.264,0,0,0,0,2124096,2124252,0,0,28274,27305
3.266,2.513,94.221,0,0,0,0,2949944,2950072,0,0,29879,28866
3.053,2.290,94.656,0,0,0,0,4546679,4546662,0,0,33055,32092
3.750,3,93.250,0,0,0,24576,4533429,4533125,0,0,32972,32009
5.637,3.186,91.176,0,0,0,0,5364344,5365027,0,0,32856,31860
3.518,3.015,93.467,0,0,0,114688,8455860,8455320,0,0,32378,31395
4.738,2.494,92.768,0,0,0,0,8463420,8463960,0,0,32395,31414
4,2.750,93.250,0,0,0,0,8562956,8562416,0,0,32311,31296
4.950,2.475,92.327,0.248,0,0,24576,14791120,14792172,0,0,29172,28224
4.950,2.475,92.574,0,0,0,0,14827940,14827940,0,0,29236,28259
4.738,1.995,93.267,0,0,0,1003520,14790068,14789016,0,0,29307,28248
3.535,2.020,94.444,0,0,0,0,16208400,16208400,0,0,27792,26767
4.738,1.995,93.267,0,0,0,0,17974236,17975664,0,0,26221,25260
3.788,1.768,94.444,0,0,0,40960,17720052,17720052,0,0,25868,24897
3.797,1.266,94.937,0,0,0,0,18091332,18089904,0,0,26377,25403
3.291,2.025,94.684,0,0,0,0,18202970,18202970,0,0,25921,24926
3.741,2.494,93.766,0,0,0,0,18604032,18604032,0,0,25621,24650
4.293,1.010,94.697,0,0,0,0,18594948,18594948,0,0,25609,24639
3.553,1.015,95.178,0.254,0,0,24576,18573875,18573858,0,0,25584,24613
