"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/ping-1576771569-macsec-aegis128l-e-frag-1500-dstat.csv",,,,"Date:","19 Dec 2019 21:15:22 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.816,0.380,95.782,0.022,0,23298.961,34231.459,0,0,0,0,18924.487,864.584
1.005,1.256,97.739,0,0,0,0,1135680,1135840,0,0,14544,14248
1.259,1.008,97.733,0,0,0,0,1135840,1135840,0,0,14527,14237
0.504,1.511,97.985,0,0,0,4096,1135840,1135680,0,0,14542,14256
0.758,1.263,97.980,0,0,0,0,1136000,1136000,0,0,14553,14239
0.752,1.754,97.494,0,0,0,45056,1135840,1135950,0,0,14544,14268
0.756,1.511,97.733,0,0,0,0,1136849,1136722,0,0,14555,14257
0.505,1.263,98.232,0,0,0,0,1136480,1136480,0,0,14551,14264
1.259,1.259,97.481,0,0,0,73728,1998387,1998387,0,0,14542,14124
0.508,1.015,98.477,0,0,0,0,2040192,2040480,0,0,14520,14213
0.508,0.508,98.731,0.254,0,0,24576,2040480,2040192,0,0,14517,14235
1.008,1.511,97.481,0,0,0,0,2028960,2029248,0,0,14469,14152
0.254,1.015,98.731,0,0,0,0,2039904,2039904,0,0,14511,14209
0.756,1.763,97.481,0,0,0,1036288,2039904,2039904,0,0,14710,14288
0.505,1.263,98.232,0,0,0,0,2040192,2039904,0,0,14510,14214
0.763,0.509,98.473,0.254,0,0,49152,3642560,3642560,0,0,14515,14156
0.255,0.765,98.980,0,0,0,0,3840096,3840096,0,0,14515,14166
0.509,0.763,98.728,0,0,0,0,3839552,3840096,0,0,14475,14162
0.508,1.015,98.477,0,0,0,0,3833024,3832480,0,0,14449,14138
1.253,1.504,97.243,0,0,0,0,3841728,3842382,0,0,14570,14192
1.253,1.504,97.243,0,0,0,12288,3841728,3841728,0,0,14566,14190
0.510,0.510,98.980,0,0,0,0,3841184,3840640,0,0,14491,14158
0.761,1.015,98.223,0,0,0,0,6668671,6668544,0,0,14408,14019
0.256,0.767,98.977,0,0,0,0,7366656,7366656,0,0,14303,14013
1.018,0.509,98.473,0,0,0,12288,7386867,7386867,0,0,14434,14051
0.257,0.257,99.486,0,0,0,40960,7381522,7382578,0,0,14431,14040
0.512,0.256,99.233,0,0,0,0,7380384,7379328,0,0,14331,14008
0.763,0.509,98.473,0.254,0,0,0,7370880,7370880,0,0,14353,14024
0.510,0.765,98.724,0,0,0,0,7382496,7383552,0,0,14350,14022
0.761,1.015,98.223,0,0,0,4096,8875632,8876008,0,0,14152,13794
1.259,1.259,97.481,0,0,0,32768,9790584,9790584,0,0,14017,13726
1.013,1.013,97.975,0,0,0,0,9842136,9842136,0,0,14098,13802
0.759,1.266,97.975,0,0,0,0,9810632,9809200,0,0,14031,13750
1.015,0.761,98.223,0,0,0,0,9771968,9773400,0,0,13989,13701
0.759,1.266,96.203,1.772,0,0,14741504,9375304,9375304,0,0,13443,13144
1.005,1.508,97.236,0.251,0,0,28672,9817792,9816360,0,0,14059,13777
1.511,1.008,97.481,0,0,0,0,9908396,9908396,0,0,14137,13717
0.512,0.512,98.977,0,0,0,0,10298112,10298112,0,0,13903,13619
0.758,1.515,97.727,0,0,0,0,10269270,10270788,0,0,13846,13563
1.008,1.259,97.733,0,0,0,0,10319364,10319364,0,0,13960,13666
0.509,1.018,98.473,0,0,0,24576,10289004,10289004,0,0,13897,13615
1.013,1.013,97.975,0,0,0,0,10370976,10370976,0,0,14024,13718
0.254,1.018,98.728,0,0,0,0,10296594,10296594,0,0,13883,13600
1.008,1.511,97.481,0,0,0,0,10193370,10191852,0,0,13785,13496
