"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/iperf3-1570630571-1-macsec-aesgcm-we-frag-jumbo-dstat.csv",,,,"Date:","09 Oct 2019 16:31:42 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.336,3.026,87.004,4.634,0,6886.483,29184278.061,0,0,0,0,23197.150,26177.270
2.094,1.047,96.859,0,0,0,0,413853,114461497,0,0,4125,369
0.268,0,99.732,0,0,0,0,447108,122690408,0,0,4063,225
0.267,0.533,99.200,0,0,0,0,448274,122690410,0,0,4061,220
0.266,0.532,99.202,0,0,0,0,448462,122688892,0,0,4083,227
0,0.268,99.732,0,0,0,0,448062,122691926,0,0,4063,225
1.319,0.264,98.417,0,0,0,57344,448486,122691926,0,0,4081,239
0.532,0.532,98.936,0,0,0,0,446236,122688892,0,0,4073,225
0,0.535,99.465,0,0,0,0,448274,122691926,0,0,4064,251
0.265,0.265,99.471,0,0,0,0,446048,122690408,0,0,4059,223
0,0.264,99.736,0,0,0,0,445812,122690410,0,0,4047,211
