"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/ping-1570630571-macsec-aesgcm-e-jumbo-2928-dstat.csv",,,,"Date:","09 Oct 2019 16:27:43 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.346,3.031,86.977,4.645,0,6905.293,29254449.352,0,0,0,0,23229.705,26218.893
1.504,1.253,97.243,0,0,0,0,1123520,1123520,0,0,15082,14104
1.259,1.008,97.733,0,0,0,0,1127200,1127200,0,0,15126,14137
1.013,0.759,98.228,0,0,0,0,1128000,1128000,0,0,15139,14160
1.511,0.756,97.733,0,0,0,0,1127680,1127520,0,0,15130,14145
1.759,1.005,97.236,0,0,0,40960,1125280,1125550,0,0,15111,14118
1.259,1.008,97.733,0,0,0,0,1128209,1127922,0,0,15137,14146
1.259,1.008,97.733,0,0,0,0,1127987,1127840,0,0,15136,14150
2.005,0.752,97.243,0,0,0,0,1939232,1939667,0,0,15097,14102
1.754,1.253,96.992,0,0,0,0,2015424,2015136,0,0,15029,14060
1.005,1.508,97.236,0.251,0,0,24576,2018880,2018880,0,0,15059,14079
1.511,0.756,97.733,0,0,0,0,2021184,2021184,0,0,15074,14106
1.504,1.253,97.243,0,0,0,0,2018592,2018592,0,0,15054,14064
1,2,97,0,0,0,0,2020608,2020896,0,0,15066,14069
1.750,1.250,97,0,0,0,4096,2020320,2020320,0,0,15068,14062
1.259,1.511,97.229,0,0,0,24576,3370848,3370560,0,0,14945,13956
1.990,1.741,96.269,0,0,0,0,3775904,3775904,0,0,14920,13950
1.763,0.756,97.481,0,0,0,0,3763936,3763936,0,0,14870,13889
1.763,0.756,97.481,0,0,0,0,3781344,3781888,0,0,14944,13958
1.995,1.496,96.259,0.249,0,0,1679360,3769376,3769376,0,0,15198,14014
2.500,1,96.500,0,0,0,32768,3783520,3782976,0,0,14954,13982
1.754,1.003,97.243,0,0,0,0,3784608,3784608,0,0,14950,13958
2.010,1.005,96.985,0,0,0,0,5734431,5734414,0,0,14858,13841
2.010,1.005,96.985,0,0,0,0,7235859,7235712,0,0,14744,13762
2.005,1.253,96.742,0,0,0,20480,7237824,7237971,0,0,14752,13788
1.759,1.256,96.734,0.251,0,0,53248,7230432,7231488,0,0,14730,13739
1.768,0.758,97.475,0,0,0,0,7244160,7243104,0,0,14758,13772
2.956,1.970,95.074,0,0,0,0,7216704,7216704,0,0,14703,13721
1.768,0.758,97.475,0,0,0,0,7244160,7245216,0,0,14759,13778
2.005,1.504,96.491,0,0,0,4096,7844026,7844402,0,0,14702,13669
1.515,1.010,97.475,0,0,0,32768,9760512,9760512,0,0,14672,13691
1.763,1.008,97.229,0,0,0,0,9723280,9721848,0,0,14615,13642
2.005,1.504,96.491,0,0,0,0,9713256,9714688,0,0,14604,13613
1.768,0.758,97.475,0,0,0,0,9769104,9767672,0,0,14676,13692
1.759,1.256,94.724,2.261,0,0,14639104,9320888,9320888,0,0,14069,13060
1.015,1.015,97.970,0,0,0,28672,9753352,9753352,0,0,14659,13687
1.759,1.005,96.985,0.251,0,0,0,9769104,9769104,0,0,14678,13697
2.015,1.008,96.977,0,0,0,0,10216420,10217938,0,0,14684,13663
1.515,1.010,97.475,0,0,0,0,10352760,10351242,0,0,14673,13674
1.259,1.511,97.229,0,0,0,0,10340616,10340616,0,0,14659,13677
1.519,0.759,97.722,0,0,0,24576,10336062,10337580,0,0,14659,13687
1.759,1.256,96.985,0,0,0,0,10349724,10348206,0,0,14668,13682
1.515,1.010,97.475,0,0,0,0,10348206,10349724,0,0,14674,13681
1.511,1.259,97.229,0,0,0,0,10336062,10336062,0,0,14652,13667
