"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/ping-1579625450-macsec-aesgcm-e-frag-1500-dstat.csv",,,,"Date:","21 Jan 2020 18:43:30 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
9.761,10.742,79.451,0.046,0,39072.045,87806.404,0,0,0,0,16941.789,23189.585
3.325,11.509,84.399,0.767,0,0,745472,655512,655512,0,0,13114,25760
3.333,11.282,85.385,0,0,0,0,669034,668928,0,0,13165,26057
3.117,9.870,87.013,0,0,0,0,642096,642358,0,0,12648,25013
2.302,10.230,87.468,0,0,0,0,599976,599820,0,0,8278,21346
3.077,8.462,88.462,0,0,0,0,611286,611286,0,0,8120,22914
0.785,9.162,89.791,0.262,0,0,122880,625716,625716,0,0,8315,23458
2.850,8.031,89.119,0,0,0,0,627744,627900,0,0,8320,23413
3.646,6.771,89.583,0,0,0,0,627120,626964,0,0,8320,23656
3.627,6.736,89.637,0,0,0,0,605748,605748,0,0,8032,22772
3.316,8.929,87.755,0,0,0,0,627432,627432,0,0,8328,23600
3.377,7.792,88.831,0,0,0,24576,642720,642876,0,0,8522,24200
2.835,9.278,87.887,0,0,0,0,665652,665652,0,0,8819,25080
3.333,10.256,86.410,0,0,0,0,947572,947416,0,0,10790,22256
4.462,8.661,86.877,0,0,0,0,1084596,1084596,0,0,11754,23218
2.597,10.649,86.753,0,0,0,0,1139692,1139692,0,0,12335,24380
2.051,12.051,85.641,0.256,0,0,32768,1134296,1134296,0,0,12300,24286
3.927,7.853,88.220,0,0,0,0,1096240,1096240,0,0,11750,23469
5.115,9.974,84.910,0,0,0,0,1074762,1074762,0,0,11559,23030
5.025,9.045,85.930,0,0,0,0,1048812,1049096,0,0,8488,20595
3.571,8.418,88.010,0,0,0,0,1088856,1088572,0,0,7831,20990
3.866,6.701,89.433,0,0,0,24576,1049948,1049948,0,0,7551,20061
4.113,6.941,88.946,0,0,0,0,1091696,1091696,0,0,7842,20589
3.069,8.696,88.235,0,0,0,0,1088288,1088572,0,0,7821,20905
2.750,10.750,86.500,0,0,0,0,1089708,1089424,0,0,7835,20846
2.368,6.316,91.316,0,0,0,0,1066136,1066420,0,0,7648,20380
2.872,8.877,87.990,0.261,0,0,32768,1403980,1404236,0,0,8676,19039
1.887,6.469,91.644,0,0,0,0,1843020,1843020,0,0,10386,20744
2.426,6.199,91.375,0,0,0,0,1844718,1844178,0,0,10398,20755
3.553,10.152,86.294,0,0,0,0,1820880,1821420,0,0,10298,20495
5.651,10.811,83.538,0,0,0,0,1708020,1707480,0,0,8991,18550
2.278,10.380,87.342,0,0,0,6455296,1818180,1818180,0,0,6948,17219
3.980,9.950,86.070,0,0,0,7938048,1864620,1864620,0,0,7113,17819
3.194,11.548,85.258,0,0,0,0,1876500,1877040,0,0,7129,17629
4.010,8.521,87.469,0,0,0,0,1818720,1818720,0,0,6894,17134
3.741,9.726,86.534,0,0,0,0,1880820,1880280,0,0,7139,17677
3.015,9.799,86.935,0.251,0,0,147456,1872180,1872180,0,0,7163,17651
5.693,8.416,85.891,0,0,0,0,1878660,1879200,0,0,7130,17644
5.596,9.489,84.915,0,0,0,0,1815018,1815018,0,0,6919,17067
4.218,9.677,86.104,0,0,0,0,1882440,1881900,0,0,7153,17699
3.440,11.302,85.258,0,0,0,0,1884600,1885140,0,0,7167,17708
3.166,9.499,87.071,0.264,0,0,32768,2200720,2201232,0,0,7464,13963
2.308,11.026,86.667,0,0,0,0,2611064,2610012,0,0,8019,15338
1.828,9.661,88.512,0,0,0,0,2572140,2573192,0,0,7821,14965
4.843,10.654,84.504,0,0,0,0,2964536,2964536,0,0,5818,14253
2.828,8.226,88.946,0,0,0,0,2900364,2899312,0,0,5841,14173
2.368,6.579,91.053,0,0,0,40960,2887740,2887740,0,0,5819,14168
2.256,11.529,86.216,0,0,0,0,2759396,2759396,0,0,5757,13534
1.887,4.313,93.801,0,0,0,0,2781594,2781488,0,0,5581,13632
1.639,3.825,94.536,0,0,0,0,2898260,2898366,0,0,5814,14154
2.210,2.210,95.580,0,0,0,0,2900364,2900364,0,0,5803,14086
1.096,4.658,93.973,0.274,0,0,57344,2746850,2747902,0,0,5706,13481
2.910,5.026,92.063,0,0,0,0,2782540,2782540,0,0,5603,13700
3.922,11.275,84.804,0,0,0,0,2902468,2902468,0,0,5877,14112
3.535,9.091,87.374,0,0,0,0,2910884,2910884,0,0,5874,14224
1.478,13.793,84.729,0,0,0,0,2768864,2767812,0,0,5799,13592
3.518,9.045,87.186,0.251,0,0,24576,2786748,2786748,0,0,5645,13558
3.308,8.906,87.532,0.254,0,0,9338880,2861440,2861440,0,0,5854,13965
3.970,10.174,85.856,0,0,0,0,2905624,2905624,0,0,5876,14156
2.545,10.687,86.768,0,0,0,0,2618428,2618428,0,0,5371,12920
2.545,10.433,87.023,0,0,0,0,3083052,3083052,0,0,4781,11166
3.125,6.771,90.104,0,0,0,49152,3505740,3507168,0,0,5217,12635
3.101,7.494,89.406,0,0,0,1597440,3521448,3521448,0,0,5253,12663
2.584,7.752,89.664,0,0,0,0,3525732,3525732,0,0,5232,12608
2.041,9.949,88.010,0,0,0,0,3260124,3260124,0,0,5021,11833
2.564,8.462,88.974,0,0,0,0,3482892,3481464,0,0,5180,12482
0.779,9.091,89.610,0.519,0,0,40960,3514308,3514308,0,0,5235,12604
2.821,8.205,88.974,0,0,0,0,3514308,3515736,0,0,5222,12608
2.046,9.974,87.980,0,0,0,0,3290112,3290112,0,0,5066,12059
4.261,8.521,87.218,0,0,0,0,3422916,3421488,0,0,5100,12386
2.302,9.207,88.491,0,0,0,0,3510024,3511452,0,0,5213,12592
2.571,8.483,88.946,0,0,0,24576,3498600,3498600,0,0,5205,12572
1.583,7.388,91.029,0,0,0,0,3368652,3367224,0,0,5149,12351
2.545,9.160,88.295,0,0,0,0,3360162,3361590,0,0,5022,12025
2.051,8.974,88.974,0,0,0,0,3525732,3525732,0,0,5244,12649
2.122,6.101,91.777,0,0,0,0,3527238,3527238,0,0,5222,12630
2.551,9.184,88.010,0.255,0,0,24576,3427200,3427200,0,0,5208,12338
1.061,7.427,91.247,0.265,0,0,4702208,3267264,3267264,0,0,5021,11941
2.105,6.842,91.053,0,0,0,0,3530016,3528588,0,0,5299,12652
2.865,7.292,89.844,0,0,0,0,3570000,3570000,0,0,6795,14203
2.105,11.053,86.842,0,0,0,0,1913520,1913520,0,0,5123,8484
2.850,9.585,87.306,0.259,0,0,57344,2647878,2647878,0,0,5762,10920
2.344,11.458,86.198,0,0,0,0,1775922,1775922,0,0,4579,7721
1.786,9.694,88.520,0,0,0,0,3520050,3521564,0,0,5037,11892
3.250,10,86.750,0,0,0,0,3630572,3630572,0,0,5175,12277
2.532,9.873,87.595,0,0,0,0,3635114,3635114,0,0,5187,12312
3.053,9.669,87.277,0,0,0,24576,3474630,3474630,0,0,5125,11912
1.781,9.924,88.295,0,0,0,0,3457976,3456462,0,0,4948,11742
3.061,8.418,88.520,0,0,0,0,3610890,3610890,0,0,5145,12248
2.041,9.694,88.265,0,0,0,0,3606348,3607862,0,0,5135,12206
2.597,7.792,89.610,0,0,0,0,3535190,3535190,0,0,5127,12060
2.020,10.606,87.121,0.253,0,0,24576,3374706,3374706,0,0,4927,11481
3.069,8.696,88.235,0,0,0,4210688,3591208,3589694,0,0,5161,12281
3.553,8.629,87.817,0,0,0,0,3619974,3619974,0,0,5164,12197
3.283,9.343,87.374,0,0,0,0,3580610,3582124,0,0,5150,12148
2.010,11.307,86.683,0,0,0,0,3320280,3318766,0,0,4874,11330
2.993,9.726,87.032,0.249,0,0,40960,3789542,3791056,0,0,5252,12811
4.020,9.045,86.935,0,0,0,0,3627544,3627544,0,0,5191,12317
