"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/ping-1579625450-macsec-aesgcm-we-frag-1500-dstat.csv",,,,"Date:","21 Jan 2020 19:21:08 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
8.297,9.883,81.779,0.042,0,30425.217,79051.561,0,0,0,0,14685.327,18365.153
2.785,10.633,86.582,0,0,0,0,672672,672828,0,0,8801,22893
2.545,9.924,87.532,0,0,0,0,641472,641316,0,0,8384,22947
4.326,8.142,87.532,0,0,0,0,641266,641160,0,0,8382,22907
2.030,10.406,87.563,0,0,0,0,636324,636430,0,0,8319,22958
1.818,8.312,88.571,1.299,0,0,2777088,608244,608400,0,0,8068,22342
2.296,9.694,88.010,0,0,0,0,641550,641394,0,0,8378,23264
2.344,8.073,89.583,0,0,0,0,642252,642252,0,0,8385,23325
4.103,7.692,88.205,0,0,0,0,642720,642720,0,0,8393,23292
3.316,8.163,88.520,0,0,0,0,619788,619788,0,0,8092,22502
4.304,8.608,86.835,0.253,0,0,73728,639444,639600,0,0,8371,23248
2.332,8.290,89.378,0,0,0,0,642720,642564,0,0,8392,23313
2.835,8.505,88.660,0,0,0,0,643188,643344,0,0,8392,23371
3.896,8.571,87.532,0,0,0,0,919404,919532,0,0,10223,21257
3.385,8.854,87.760,0,0,0,0,1046256,1045972,0,0,9596,22037
3.299,9.137,87.310,0.254,0,0,40960,1118676,1118960,0,0,8053,22649
2.902,6.069,91.029,0,0,0,0,1124640,1124640,0,0,8057,22620
2.821,8.205,88.974,0,0,0,0,1093968,1093968,0,0,7858,21047
2.806,9.184,88.010,0,0,0,0,1124072,1123788,0,0,8069,22667
4.040,8.838,87.121,0,0,0,0,1122758,1122652,0,0,8084,22685
3.827,7.908,88.010,0.255,0,0,32768,1118392,1118498,0,0,8042,22537
2.545,9.415,88.041,0,0,0,0,1093116,1093116,0,0,7860,21237
2.375,6.596,91.029,0,0,0,0,1121516,1121516,0,0,8032,22308
1.596,6.649,91.755,0,0,0,0,1124924,1125208,0,0,8059,22692
2.577,8.505,88.918,0,0,0,0,1126344,1126060,0,0,8079,22457
3.866,6.959,89.175,0,0,0,32768,1100784,1101068,0,0,7910,21569
3.385,8.854,87.760,0,0,0,0,1769672,1769388,0,0,10172,20596
3.485,5.898,90.617,0,0,0,0,1985580,1985580,0,0,11177,22349
1.837,9.186,88.976,0,0,0,0,1982880,1982880,0,0,11178,22305
1.316,10,88.684,0,0,0,0,1875960,1875960,0,0,10602,21106
1.562,9.635,88.542,0.260,0,0,40960,1927800,1927800,0,0,10877,21713
3.866,9.278,86.856,0,0,0,12206080,1939680,1939680,0,0,11025,21932
2.413,6.702,90.885,0,0,0,0,1983960,1983960,0,0,11166,22373
1.852,8.995,89.153,0,0,0,0,1892238,1892778,0,0,10475,21078
3.571,7.908,88.520,0,0,0,0,1928340,1928340,0,0,7290,19898
3.299,8.883,87.563,0.254,0,0,49152,1981260,1980720,0,0,7507,21655
2.302,9.207,88.491,0,0,0,8192,1992600,1993140,0,0,7544,21737
2.290,9.669,88.041,0,0,0,0,1993680,1993140,0,0,7543,21718
3.544,8.354,88.101,0,0,0,0,1938060,1938600,0,0,7330,20099
3.053,9.669,87.277,0,0,0,0,1878064,1877524,0,0,7185,19539
3.368,10.363,86.269,0,0,0,40960,2365948,2367000,0,0,7985,13847
3.141,9.948,86.911,0,0,0,49152,1600092,1600092,0,0,6272,9438
2.413,8.579,89.008,0,0,0,0,1594832,1594832,0,0,6213,9461
3.141,9.948,86.911,0,0,0,0,1599040,1597988,0,0,6269,9485
4.348,10.486,85.166,0,0,0,0,1601222,1602274,0,0,6267,9453
3.077,11.538,85.128,0.256,0,0,40960,1586416,1585364,0,0,6210,9403
2.145,9.115,88.740,0,0,0,8192,1607456,1607456,0,0,6270,9563
2.618,8.377,89.005,0,0,0,0,2050348,2051400,0,0,5986,12028
3.886,6.218,89.896,0,0,0,0,3414792,3413740,0,0,6641,18880
4.592,6.633,88.776,0,0,0,0,3405324,3406376,0,0,6628,19289
3.342,6.941,89.460,0.257,0,0,32768,3292760,3292760,0,0,6421,18794
1.777,9.645,88.579,0,0,0,0,3374816,3374816,0,0,6575,19221
3.069,8.184,88.747,0,0,0,0,3407534,3406482,0,0,6632,19446
3.109,6.736,90.155,0,0,0,0,3401116,3402168,0,0,6609,19394
2.785,9.114,88.101,0,0,0,0,3347464,3347464,0,0,6517,18989
2.806,8.163,88.776,0.255,0,0,32768,3328528,3327476,0,0,6496,18949
3.571,7.653,88.776,0,0,0,0,3400064,3400064,0,0,6615,19415
2.036,9.415,88.550,0,0,0,0,3400064,3401116,0,0,6616,19329
2.564,8.205,89.231,0,0,0,0,3385336,3384284,0,0,6587,19257
2.100,9.186,88.714,0,0,0,0,2991448,2992876,0,0,6729,15015
3.109,8.031,88.601,0.259,0,0,40960,3050208,3048780,0,0,5658,12661
4.639,6.701,88.402,0.258,0,0,10838016,4067022,4067022,0,0,6107,15197
3.368,7.254,89.378,0,0,0,0,3779916,3781344,0,0,5807,14773
2.632,6.053,91.316,0,0,0,0,4084080,4084080,0,0,6048,15461
1.823,8.073,90.104,0,0,0,0,4094076,4094076,0,0,6064,16221
3.421,5.263,91.053,0.263,0,0,49152,4065516,4064088,0,0,6024,16544
2.632,6.579,90.789,0,0,0,0,3832752,3832752,0,0,5880,14848
1.587,6.614,91.799,0,0,0,0,4009824,4011252,0,0,5931,16294
4.859,6.394,88.747,0,0,0,0,4081224,4081224,0,0,6048,16601
1.302,8.594,90.104,0,0,0,0,4101216,4101216,0,0,6068,15778
2.558,9.463,87.980,0,0,0,32768,3867024,3867024,0,0,5948,15329
2.910,5.026,92.063,0,0,0,16384,3978408,3976980,0,0,5903,15672
1.596,6.383,92.021,0,0,0,0,4082652,4084080,0,0,6033,16614
2.133,5.600,92.267,0,0,0,0,4081224,4081224,0,0,6039,16945
4.124,7.216,88.660,0,0,0,0,3901296,3899868,0,0,5972,16422
1.292,8.786,89.664,0.258,0,0,49152,3908436,3908436,0,0,5828,15578
3.412,5.512,91.076,0,0,0,40960,4094076,4095504,0,0,6085,16175
1.813,9.845,88.342,0,0,0,0,3892538,3892624,0,0,6547,16148
3.542,5.450,91.008,0,0,0,0,2526866,2525352,0,0,6404,10359
1.385,6.094,92.521,0,0,0,0,2104460,2105974,0,0,5701,8690
3.209,7.754,89.037,0,0,0,40960,2099918,2098404,0,0,5698,8670
6.061,9.596,84.343,0,0,0,0,2112030,2113544,0,0,5751,8751
8.543,7.789,83.668,0,0,0,0,2118086,2118086,0,0,5764,8690
5.512,5.774,88.714,0,0,0,0,2274028,2272514,0,0,5376,8804
3.046,8.883,88.071,0,0,0,0,4270994,4272508,0,0,5980,15370
3.069,8.184,88.491,0.256,0,0,32768,4274022,4272508,0,0,5996,15428
3.085,7.969,88.946,0,0,0,0,4237686,4239200,0,0,5980,15829
2.842,7.752,89.406,0,0,0,0,3972736,3971222,0,0,5725,13538
3.846,7.436,88.718,0,0,0,0,4240870,4242384,0,0,5954,16475
1.823,8.073,90.104,0,0,0,0,4243742,4242228,0,0,5938,17060
3.896,5.974,89.870,0.260,0,0,32768,4236172,4237686,0,0,5944,16513
2.551,9.949,87.245,0.255,0,0,9764864,3903092,3901578,0,0,5746,14743
4.569,7.360,88.071,0,0,0,0,4237686,4239200,0,0,5943,14745
2.597,7.532,89.870,0,0,0,0,4270994,4269480,0,0,5968,15751
2.813,8.440,88.747,0,0,0,0,4266452,4267966,0,0,5973,15928
4.293,8.838,86.616,0.253,0,0,49152,3966680,3966680,0,0,5771,16058
3.316,8.163,88.520,0,0,0,0,4166528,4166528,0,0,5835,15507
2.525,9.848,87.626,0,0,0,0,4280078,4278564,0,0,5996,15951
