"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/ping-1579625450-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","21 Jan 2020 21:49:43 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.609,14.235,80.124,0.032,0,16244.290,65032.323,0,0,0,0,18935.362,10639.016
2.660,8.511,88.564,0.266,0,0,73728,865956,865956,0,0,16821,11708
1.630,7.880,90.489,0,0,0,0,882180,882180,0,0,17109,11898
2.198,6.319,91.484,0,0,0,0,882336,882336,0,0,17108,11885
1.913,7.650,90.437,0,0,0,0,834394,834444,0,0,13999,11207
3.385,8.333,88.281,0,0,0,0,883428,883534,0,0,11479,11807
0.817,7.357,91.553,0.272,0,0,24576,906750,906750,0,0,11754,12140
3.958,6.860,89.182,0,0,0,0,909636,909636,0,0,11802,12172
2.695,6.469,90.836,0,0,0,0,909792,909636,0,0,11783,12160
3.457,7.181,89.362,0,0,0,0,928084,928368,0,0,11602,11159
2.632,9.211,88.158,0,0,0,0,1506620,1506336,0,0,16085,11164
2.653,8.753,88.594,0,0,0,32768,1496112,1496112,0,0,14814,11075
3.876,9.044,87.080,0,0,0,139264,1480208,1480492,0,0,10757,10965
2.902,7.652,89.446,0,0,0,0,1541268,1540984,0,0,11079,11272
2.057,10.540,87.404,0,0,0,0,1523092,1523092,0,0,11020,11100
2.362,8.924,88.714,0,0,0,0,1556036,1556036,0,0,11256,11336
0.794,9.524,89.418,0.265,0,0,24576,1549788,1550072,0,0,11216,11299
3.141,8.115,88.743,0,0,0,0,1556604,1556604,0,0,11268,11349
2.122,7.692,90.186,0,0,0,0,1510596,1510312,0,0,10931,11013
1.340,9.115,89.544,0,0,0,0,2221412,2221952,0,0,13386,9549
2.105,9.474,88.421,0,0,0,0,2565540,2565540,0,0,14854,9867
2.051,12.308,85.641,0,0,0,32768,2432806,2432700,0,0,14408,9386
2.618,8.901,88.482,0,0,0,73728,2482380,2482486,0,0,14417,9598
1.330,9.043,89.628,0,0,0,0,2568240,2568240,0,0,14857,9877
2.350,9.399,88.251,0,0,0,0,2536920,2536920,0,0,11536,9747
3.599,8.740,87.661,0,0,0,0,2643300,2642760,0,0,10083,10153
1.587,7.937,90.212,0.265,0,0,65536,2588220,2588760,0,0,9862,9936
2.375,7.388,90.237,0,0,0,8192,2603880,2603880,0,0,9931,10003
3.109,8.808,88.083,0,0,0,0,2643378,2642838,0,0,10072,10136
3.866,9.021,87.113,0,0,0,0,2744256,2744256,0,0,9945,9239
2.674,6.952,90.374,0,0,0,0,3957624,3957624,0,0,11961,7846
3.101,8.527,88.114,0.258,0,0,49152,3935532,3935532,0,0,11740,7797
1.596,8.245,90.160,0,0,0,0,4091228,4091228,0,0,12179,8089
1.877,8.311,89.812,0,0,0,20258816,4072292,4072292,0,0,12236,8170
3.394,8.616,87.990,0,0,0,0,3899764,3899764,0,0,11876,7719
2.551,10.204,87.245,0,0,0,0,3944026,3944026,0,0,11014,7804
2.314,9.254,88.175,0.257,0,0,49152,4194324,4194324,0,0,8235,8285
2.828,8.740,88.432,0,0,0,0,4213260,4213260,0,0,8265,8311
2.122,6.631,91.247,0,0,0,0,4212208,4213260,0,0,8260,8303
2.338,8.052,89.610,0,0,0,0,4109112,4108060,0,0,8062,8096
1.823,8.333,89.844,0,0,0,0,4188012,4189064,0,0,8210,8256
1.344,6.452,92.204,0,0,0,24576,4182752,4182752,0,0,8195,8239
3.333,10.513,86.154,0,0,0,0,3727420,3726368,0,0,8079,7079
1.852,7.672,90.476,0,0,0,0,4895184,4895184,0,0,10758,7096
1.330,7.181,91.489,0,0,0,0,4793796,4793796,0,0,10543,6920
1.592,7.692,90.716,0,0,0,0,4940880,4940880,0,0,10860,7137
1.852,7.143,90.741,0.265,0,0,32768,4833780,4835208,0,0,7553,7109
2.139,5.615,92.246,0,0,0,0,5082252,5082252,0,0,7354,7388
3.125,6.250,90.625,0,0,0,0,4906608,4906608,0,0,7114,7135
1.050,8.399,90.551,0,0,0,0,5077968,5076540,0,0,7345,7374
2.362,6.824,90.814,0,0,0,0,5079396,5079396,0,0,7345,7378
2.320,8.505,88.918,0.258,0,0,24576,5055198,5056626,0,0,7341,7359
2.368,6.579,91.053,0,0,0,0,5010852,5009424,0,0,7254,7284
1.312,7.612,91.076,0,0,0,73728,4933740,4933740,0,0,7184,7205
2.591,7.772,89.637,0,0,0,0,5039412,5040840,0,0,7300,7326
3.141,6.283,90.576,0,0,0,0,5060938,5060832,0,0,7330,7353
2.571,8.740,88.689,0,0,0,24576,5053692,5053798,0,0,7332,7367
1.828,12.010,86.162,0,0,0,0,3682782,3681354,0,0,8255,5343
1.096,7.397,91.507,0,0,0,0,2552604,2552604,0,0,6962,3609
0.831,6.925,92.244,0,0,0,0,2554118,2554118,0,0,6962,3615
1.832,7.853,90.314,0,0,0,0,4602560,4602560,0,0,6814,6417
0.528,7.652,91.557,0.264,0,0,32768,5061302,5062816,0,0,6933,6959
2.646,5.820,91.534,0,0,0,0,5247524,5247524,0,0,7162,7190
2.887,7.087,89.501,0.525,0,0,13197312,5132460,5132460,0,0,7114,7150
3.166,5.541,91.293,0,0,0,0,5246010,5246010,0,0,7170,7195
1.330,6.117,92.553,0,0,0,0,5112778,5111264,0,0,6978,7003
2.105,6.842,90.789,0.263,0,0,65536,5152142,5152142,0,0,7055,7094
1.061,7.162,91.777,0,0,0,0,5224814,5226328,0,0,7141,7157
1.832,7.853,90.314,0,0,0,16384,5224814,5223300,0,0,7159,7179
1.842,7.105,91.053,0,0,0,0,5197562,5199076,0,0,7117,7141
2.381,5.820,91.799,0,0,0,0,5102258,5100744,0,0,6975,6992
1.795,9.487,88.462,0.256,0,0,40960,5239954,5239954,0,0,7184,7207
1.575,7.612,90.814,0,0,0,0,5262664,5264178,0,0,7181,7207
