"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/iperf3-1579625450-100-macsec-aegis128l-e-1500-dstat.csv",,,,"Date:","21 Jan 2020 20:55:20 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
6.407,12.088,81.469,0.035,0,19587.279,70169.609,0,0,0,0,16968.640,12476.740
3.467,26.667,69.867,0,0,0,0,314264,39387456,0,0,29708,1029
2.419,26.882,70.699,0,0,0,0,292434,43704454,0,0,32169,1093
2.667,26.933,70.400,0,0,0,0,297228,43680230,0,0,32207,1105
2.151,26.882,70.699,0.269,0,0,139264,293556,43716567,0,0,32184,1109
2.933,26.667,70.400,0,0,0,0,295290,43716566,0,0,32217,1099
0.273,27.596,72.131,0,0,0,0,292026,43734734,0,0,32192,1059
2.681,26.810,70.509,0,0,0,0,294066,43715052,0,0,32183,1097
1.084,27.371,71.545,0,0,0,0,295188,43702940,0,0,32206,1091
2.933,26.667,70.400,0,0,0,0,296616,43715052,0,0,32206,1096
1.892,27.027,71.081,0,0,0,24576,295800,43715052,0,0,32225,1111
1.852,22.751,75.397,0,0,0,0,232571,33047957,0,0,24426,968
1.351,27.027,71.622,0,0,0,0,299676,43663576,0,0,32258,1090
1.359,27.174,71.467,0,0,0,0,299166,43622942,0,0,32196,1084
1.671,21.727,76.602,0,0,0,0,246840,41650384,0,0,25157,1105
4.043,23.181,72.776,0,0,0,90112,244800,42735094,0,0,27193,1580
1.362,26.975,71.662,0,0,0,81920,285294,43710510,0,0,31347,1538
2.145,27.346,70.509,0,0,0,0,285600,43710510,0,0,31382,1573
0.820,27.322,71.858,0,0,0,0,287946,43716566,0,0,31451,1560
1.359,27.174,71.467,0,0,0,0,284580,43718080,0,0,31391,1561
0.275,27.548,72.176,0,0,0,4710400,289476,43681744,0,0,31374,1600
3.133,22.454,74.413,0,0,0,0,226960,32640213,0,0,23628,1330
1.617,27.224,70.889,0.270,0,0,90112,303042,43572980,0,0,31471,1585
0.546,27.596,71.858,0,0,0,0,297330,43584848,0,0,31445,1540
2.413,27.078,70.509,0,0,0,0,295392,43582064,0,0,31471,1558
0.817,27.520,71.662,0,0,0,0,294780,43604774,0,0,31442,1529
1.084,27.371,71.545,0,0,0,0,297126,43572980,0,0,31390,1537
1.622,27.297,71.081,0,0,0,0,296820,43574494,0,0,31464,1568
0.545,27.793,71.662,0,0,0,24576,295902,43591148,0,0,31421,1551
2.413,27.078,70.509,0,0,0,0,298758,43576008,0,0,31471,1577
0.817,27.520,71.662,0,0,0,8192,299676,43583578,0,0,31461,1551
1.337,22.727,75.936,0,0,0,0,241646,33277638,0,0,24047,1329
1.887,27.224,70.889,0,0,0,0,301716,43618400,0,0,31268,1557
1.630,26.902,71.467,0,0,0,0,303654,43636568,0,0,31294,1540
2.941,26.738,70.321,0,0,0,81920,302328,43633296,0,0,31359,1581
0.548,27.397,72.055,0,0,0,57344,305592,43621428,0,0,31313,1524
0.817,27.520,71.662,0,0,0,0,303552,43632026,0,0,31279,1537
0.815,27.717,71.467,0,0,0,0,297738,43645408,0,0,31326,1555
1.359,27.174,71.467,0,0,0,0,299676,43624456,0,0,31270,1539
1.359,27.174,71.467,0,0,0,0,301512,43616642,0,0,31302,1560
0.817,27.520,71.662,0,0,0,40960,302430,43619914,0,0,31300,1536
0.809,23.450,75.741,0,0,0,0,248776,35634062,0,0,25659,1358
3.947,26.053,70,0,0,0,0,293873,41089845,0,0,29801,1545
1.090,27.248,71.662,0,0,0,0,298554,43625970,0,0,31406,1540
2.674,27.005,70.321,0,0,0,0,296416,43637838,0,0,31465,1568
0.813,27.642,71.545,0,0,0,0,292740,43659384,0,0,31392,1557
0.275,27.473,71.978,0.275,0,0,81920,299574,43630268,0,0,31443,1550
0.817,27.520,71.662,0,0,0,0,301002,43632026,0,0,31447,1531
0.820,27.322,71.858,0,0,0,0,297534,43637838,0,0,31415,1529
1.892,27.027,71.081,0,0,0,0,299778,43639596,0,0,31486,1566
2.156,26.954,70.889,0,0,0,73728,302940,43636324,0,0,31563,1603
0.817,27.520,71.662,0,0,0,0,301512,43625970,0,0,31475,1533
2.887,22.310,74.803,0,0,0,24576,244402,32980375,0,0,23832,1327
1.090,27.520,71.390,0,0,0,0,312324,43545728,0,0,31535,1575
1.622,27.297,71.081,0,0,0,0,315180,43551784,0,0,31594,1568
1.090,27.248,71.662,0,0,0,8192,318138,43533616,0,0,31578,1539
1.090,27.248,71.662,0,0,0,0,317730,43532346,0,0,31559,1534
1.897,27.100,71.003,0,0,0,0,317118,43524532,0,0,31577,1593
1.090,27.248,71.662,0,0,0,81920,314262,43551784,0,0,31538,1538
0.820,27.596,71.585,0,0,0,0,317016,43529074,0,0,31558,1535
1.892,27.027,71.081,0,0,0,0,314364,43555056,0,0,31552,1550
0.815,27.717,71.467,0,0,0,0,316098,43538158,0,0,31559,1538
3.886,22.539,73.575,0,0,0,0,246034,33224852,0,0,24284,1372
0.820,27.322,71.585,0.273,0,0,81920,313650,43535130,0,0,31484,1553
1.087,27.717,71.196,0,0,0,0,320382,43497524,0,0,31552,1541
1.087,27.446,71.467,0,0,0,0,322626,43507878,0,0,31558,1524
0.817,27.793,71.390,0,0,0,0,318546,43518476,0,0,31522,1548
2.941,26.738,70.321,0,0,0,0,312936,43538402,0,0,31567,1577
1.093,27.049,71.858,0,0,0,0,318138,43510906,0,0,31491,1550
1.093,27.322,71.585,0,0,0,24576,317220,43516962,0,0,31528,1573
0.543,27.989,71.467,0,0,0,16384,317628,43520234,0,0,31565,1538
0.549,27.473,71.978,0,0,0,0,318036,43515448,0,0,31533,1530
4.675,21.818,73.506,0,0,0,0,247258,33379053,0,0,24370,1364
0.543,27.717,71.739,0,0,0,0,295494,43630512,0,0,31403,1550
0.546,27.596,71.858,0,0,0,0,303960,43592662,0,0,31432,1534
0.275,27.747,71.978,0,0,0,163840,302124,43586362,0,0,31428,1544
0.546,27.596,71.858,0,0,0,0,301716,43613858,0,0,31436,1521
2.681,26.810,70.509,0,0,0,0,298554,43615372,0,0,31438,1571
0.817,27.520,71.662,0,0,0,0,300084,43610830,0,0,31425,1540
0.546,27.596,71.858,0,0,0,0,306000,43545728,0,0,31445,1528
0.275,27.473,72.253,0,0,0,0,302328,43574494,0,0,31464,1533
1.087,27.174,71.467,0.272,0,0,40960,304776,43579036,0,0,31445,1542
1.604,23.529,74.866,0,0,0,0,251530,35742828,0,0,25957,1389
2.667,26.133,71.200,0,0,0,0,298565,40948749,0,0,29167,1481
1.622,27.297,71.081,0,0,0,0,306612,43624456,0,0,31515,1574
0.817,27.520,71.662,0,0,0,8192,307632,43587876,0,0,31441,1543
2.419,26.882,70.699,0,0,0,0,303654,43607802,0,0,31487,1569
2.695,26.685,70.620,0,0,0,81920,306510,43607802,0,0,31502,1587
0.275,26.446,73.278,0,0,0,0,294984,43177726,0,0,30275,1523
0.824,25.824,73.352,0,0,0,0,267444,43185440,0,0,29131,1494
1.622,27.297,71.081,0,0,0,0,287640,43715052,0,0,31397,1553
3.191,26.862,69.947,0,0,0,0,296310,43681744,0,0,31455,1567
2.681,26.810,70.509,0,0,0,0,291108,43728678,0,0,31426,1568
4.393,22.222,73.385,0,0,0,24576,241138,33246307,0,0,24300,1380
0.820,27.322,71.858,0,0,0,0,306204,43572980,0,0,31490,1534
1.887,27.224,70.889,0,0,0,16384,304878,43579036,0,0,31489,1563
3.200,26.667,70.133,0,0,0,0,306102,43580550,0,0,31603,1587
2.156,26.954,70.889,0,0,0,0,305592,43578792,0,0,31536,1568
1.359,27.446,71.196,0,0,0,98304,309264,43567168,0,0,31555,1591
2.681,26.810,70.509,0,0,0,0,301002,43593932,0,0,31584,1599
1.892,27.027,71.081,0,0,0,0,304062,43588120,0,0,31513,1563
0.817,27.248,71.935,0,0,0,0,303450,43586606,0,0,31525,1560
2.419,26.882,70.699,0,0,0,0,305592,43579036,0,0,31508,1551
2.362,23.097,74.541,0,0,0,0,240934,33092350,0,0,24134,1364
1.090,27.248,71.390,0.272,0,0,81920,308448,43553298,0,0,31477,1556
1.087,27.446,71.467,0,0,0,8192,305490,43548757,0,0,31525,1593
2.681,26.810,70.509,0,0,0,0,302226,43571466,0,0,31454,1569
2.681,26.810,70.509,0,0,0,0,309672,43513934,0,0,31530,1575
1.622,27.297,71.081,0,0,0,0,303552,43547242,0,0,31502,1575
0.546,27.596,71.858,0,0,0,0,307938,43565410,0,0,31495,1531
2.681,26.810,70.509,0,0,0,24576,312426,43553542,0,0,31553,1591
2.400,27.467,70.133,0,0,0,0,307224,43547242,0,0,31531,1570
2.688,26.613,70.699,0,0,0,0,312120,43516962,0,0,31563,1580
4.627,22.108,73.265,0,0,0,0,239098,32463074,0,0,23649,1340
0.546,27.596,71.858,0,0,0,0,309570,43532102,0,0,31477,1546
2.419,26.882,70.699,0,0,0,65536,315078,43515448,0,0,31579,1579
2.413,27.346,70.241,0,0,0,90112,311304,43533860,0,0,31533,1600
1.087,27.446,71.467,0,0,0,0,315180,43521504,0,0,31558,1568
1.887,27.224,70.889,0,0,0,0,317118,43507878,0,0,31570,1566
0,27.747,72.253,0,0,0,0,316200,43518720,0,0,31526,1524
3.191,27.128,69.681,0,0,0,81920,312528,43515448,0,0,31539,1618
1.892,27.027,71.081,0,0,0,0,314262,43515692,0,0,31540,1576
3.191,26.596,69.947,0.266,0,0,24576,312120,43518476,0,0,31483,1586
1.867,24.267,73.867,0,0,0,0,271717,37321492,0,0,27140,1444
2.133,25.600,72.267,0,0,0,0,265934,39015586,0,0,28069,1439
3.457,26.596,69.947,0,0,0,0,291516,43718080,0,0,31453,1576
2.681,26.810,70.509,0,0,0,0,292026,43696884,0,0,31424,1570
2.926,27.128,69.947,0,0,0,0,292536,43708996,0,0,31448,1573
3.457,26.596,69.947,0,0,0,81920,288558,43710510,0,0,31436,1570
1.090,27.248,71.662,0,0,0,0,289068,43718080,0,0,31408,1539
3.191,26.862,69.947,0,0,0,0,289884,43716566,0,0,31413,1581
1.359,27.174,71.467,0,0,0,0,287742,43730192,0,0,31396,1571
4.712,26.440,68.848,0,0,0,0,287742,43728678,0,0,31451,1608
2.400,27.200,70.133,0.267,0,0,24576,290292,43718080,0,0,31442,1592
1.867,22.133,76,0,0,0,0,240320,33019698,0,0,23880,1296
1.348,27.763,70.889,0,0,0,16384,308448,43577522,0,0,31526,1585
2.949,26.810,70.241,0,0,0,8192,309672,43583578,0,0,31529,1580
2.674,27.005,70.321,0,0,0,0,312120,43572980,0,0,31563,1576
1.622,27.297,71.081,0,0,0,90112,308346,43595934,0,0,31513,1574
0.275,27.473,72.253,0,0,0,0,304980,43605800,0,0,31423,1528
1.355,27.371,71.274,0,0,0,0,304266,43594176,0,0,31497,1560
1.617,27.493,70.889,0,0,0,0,306816,43600232,0,0,31543,1572
1.630,27.174,71.196,0,0,0,0,307428,43607802,0,0,31459,1565
2.674,26.738,70.321,0.267,0,0,24576,308550,43598718,0,0,31491,1586
2.895,18.421,78.684,0,0,0,0,226042,30311036,0,0,14116,977
9.511,7.337,83.152,0,0,0,0,169728,35869688,0,0,2589,942
3.030,20.937,76.033,0,0,0,0,236028,42011884,0,0,24115,1503
2.156,26.954,70.889,0,0,0,0,285702,43707482,0,0,31298,1559
1.355,27.100,71.545,0,0,0,81920,266118,43831386,0,0,31236,1580
1.622,27.297,71.081,0,0,0,0,283254,43718080,0,0,31337,1535
2.145,27.078,70.777,0,0,0,0,268974,43751144,0,0,31243,1552
3.200,26.667,70.133,0,0,0,0,281316,43737762,0,0,31308,1561
1.877,27.346,70.777,0,0,0,0,281724,43746846,0,0,31316,1576
1.622,27.297,71.081,0,0,0,24576,277542,43743818,0,0,31256,1571
1.067,22.667,76.267,0,0,0,0,218288,33021478,0,0,23283,1264
3.476,26.738,69.786,0,0,0,0,305490,41058076,0,0,30033,1535
2.941,26.738,70.321,0,0,0,81920,266118,43775612,0,0,31174,1570
0.548,27.123,72.329,0,0,0,0,267648,43731706,0,0,31128,1518
2.400,26.933,70.400,0.267,0,0,90112,265812,43795050,0,0,31276,1578
0.815,27.717,71.467,0,0,0,0,283152,43674174,0,0,31309,1536
1.084,27.371,71.545,0,0,0,0,274380,43743818,0,0,31203,1526
3.191,26.596,70.213,0,0,0,0,270300,43713538,0,0,31196,1565
1.609,27.614,70.777,0,0,0,0,254898,43777126,0,0,31038,1530
0.820,27.322,71.858,0,0,0,24576,264282,43727164,0,0,31077,1529
0.811,25.405,73.784,0,0,0,0,243275,40765306,0,0,29007,1429
2.128,24.734,73.138,0,0,0,0,242764,36345007,0,0,26234,1426
0.817,27.248,71.935,0,0,0,8192,272748,43768042,0,0,31238,1514
1.355,27.371,71.274,0,0,0,0,285702,43646922,0,0,31289,1534
2.406,27.273,70.321,0,0,0,81920,279582,43688044,0,0,31282,1615
0.546,27.322,72.131,0,0,0,0,272136,43651464,0,0,31111,1528
0,27.548,72.452,0,0,0,0,274992,43698398,0,0,31225,1533
1.351,27.297,71.351,0,0,0,0,288864,43724136,0,0,31358,1530
1.626,27.100,71.274,0,0,0,0,293662,43651464,0,0,31357,1528
2.413,27.078,70.509,0,0,0,24576,294372,43586782,0,0,31396,1588
