"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final8/iperf3-1576855657-100-macsec-chachapoly-e-1500-dstat.csv",,,,"Date:","20 Dec 2019 16:28:35 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.662,0.160,98.167,0.012,0,11518.016,20357.046,0,0,0,0,8291.065,400.558
0.820,1.093,98.087,0,0,0,0,457897,113368163,0,0,3884,317
0.549,0.275,99.176,0,0,0,61440,510496,122443398,0,0,4092,255
0.275,0.275,99.449,0,0,0,0,512934,122454024,0,0,4061,213
0.275,0.275,99.449,0,0,0,0,512722,122431254,0,0,4052,220
0.820,0.273,98.634,0.273,0,0,0,505278,122485902,0,0,4081,223
0.822,0.274,98.904,0,0,0,0,512637,122454024,0,0,4081,255
0.820,0.273,98.907,0,0,0,0,512934,122470722,0,0,4061,226
0.551,0.275,99.174,0,0,0,12288,512551,122437326,0,0,4073,242
1.362,0.272,98.365,0,0,0,0,511980,122448079,0,0,4088,264
0.822,0,99.178,0,0,0,0,511556,122472240,0,0,4068,247
0.809,1.617,97.574,0,0,0,0,411591,99588120,0,0,3460,975
2.426,0,97.574,0,0,0,364544,508588,122432882,0,0,4174,287
0.275,0.275,99.449,0,0,0,0,509118,122481348,0,0,4056,220
0.549,0.275,98.901,0.275,0,0,49152,509754,122450988,0,0,4078,250
0.546,0.546,98.907,0,0,0,0,505172,122428218,0,0,4057,211
0.549,0.275,99.176,0,0,0,0,510072,122454024,0,0,4050,218
0.276,0,99.724,0,0,0,0,510390,122431254,0,0,4051,209
0,0.276,98.895,0.829,0,0,5627904,510178,122490456,0,0,4082,240
0.549,0.275,99.176,0,0,0,0,509648,122467686,0,0,4060,227
0,0.276,99.724,0,0,0,20480,508588,122431254,0,0,4058,220
0.542,1.626,97.832,0,0,0,0,407296,99443764,0,0,3437,966
0.551,0,99.449,0,0,0,0,510920,122429736,0,0,4067,237
0.548,0.548,98.904,0,0,0,0,511662,122479830,0,0,4068,221
0.275,0.549,99.176,0,0,0,0,502228,122463132,0,0,4053,220
0.275,0.275,99.449,0,0,0,0,498282,122449470,0,0,4048,216
0.549,0.275,99.176,0,0,0,45056,503500,122473758,0,0,4076,247
0.273,0.273,99.454,0,0,0,0,511026,122449470,0,0,4066,214
0.824,0.275,98.901,0,0,0,0,510496,122437326,0,0,4068,225
0.276,0,99.724,0,0,0,0,510814,122473758,0,0,4057,219
0.275,0.275,99.449,0,0,0,0,510814,122431254,0,0,4065,234
0.809,1.617,97.574,0,0,0,0,414330,99935594,0,0,3452,971
0.548,0.274,98.904,0.274,0,0,45056,503500,122428218,0,0,4062,220
0.820,0.546,98.634,0,0,0,28672,502758,122476794,0,0,4078,234
0.551,0,99.449,0,0,0,0,504984,122428218,0,0,4059,235
0.275,0.275,99.449,0,0,0,0,504552,122496528,0,0,4052,213
0.543,0.543,98.913,0,0,0,0,505196,122422146,0,0,4064,217
0,0,99.728,0.272,0,0,28672,508058,122469204,0,0,4080,229
0.541,0.270,99.189,0,0,0,0,506998,122455542,0,0,4069,238
0.272,0.272,99.457,0,0,0,0,506998,122429736,0,0,4071,221
0.271,0.271,99.458,0,0,0,0,505938,122499564,0,0,4047,210
0.535,1.337,98.128,0,0,0,0,408326,99534843,0,0,3441,929
0.549,0.275,99.176,0,0,0,0,495674,122447952,0,0,4070,249
0.275,0.549,99.176,0,0,0,45056,509648,122440362,0,0,4072,229
0.276,0,99.724,0,0,0,0,509860,122457060,0,0,4046,215
0.275,0.275,99.451,0,0,0,0,510814,122450988,0,0,4052,205
0.278,0.278,99.444,0,0,0,0,506020,122479830,0,0,4076,244
0.275,0.549,99.176,0,0,0,0,509754,122452506,0,0,4055,212
0.822,0,99.178,0,0,0,53248,509330,122429736,0,0,4067,222
0.278,0.556,99.167,0,0,0,12288,507846,122428218,0,0,4072,241
0,0.276,99.724,0,0,0,0,510178,122449470,0,0,4062,232
0,0.546,99.454,0,0,0,0,473645,112698563,0,0,3744,199
1.344,1.613,97.043,0,0,0,0,444921,109718377,0,0,3783,965
0,0.276,99.724,0,0,0,233472,511132,122406966,0,0,4093,232
0.275,0.275,99.449,0,0,0,0,512086,122454024,0,0,4079,242
0.275,0.275,99.449,0,0,0,61440,511556,122501082,0,0,4067,228
0.549,0.275,99.176,0,0,0,0,507080,122428218,0,0,4056,223
0.275,0.549,99.176,0,0,0,0,511768,122457060,0,0,4064,216
0.551,0,99.449,0,0,0,0,512298,122428218,0,0,4078,239
0.275,0.275,99.449,0,0,0,0,511132,122488938,0,0,4061,228
0.275,0.549,99.176,0,0,0,0,511344,122467686,0,0,4051,211
0,0.274,99.452,0.274,0,0,12288,507740,122431254,0,0,4065,223
1.604,1.604,96.791,0,0,0,0,415900,100029818,0,0,3520,995
0.275,0.275,99.449,0,0,0,0,498942,122437326,0,0,4055,219
0.275,0.549,99.176,0,0,0,8192,508164,122438844,0,0,4069,226
0.275,0,99.725,0,0,0,0,507634,122493492,0,0,4052,215
0.272,0,99.728,0,0,0,0,503052,122432772,0,0,4072,237
0.541,0.270,99.189,0,0,0,53248,507952,122455542,0,0,4090,231
0,0.542,99.458,0,0,0,0,508058,122426700,0,0,4055,212
0.541,0.270,99.189,0,0,0,0,506786,122499564,0,0,4061,236
0.829,0.276,98.895,0,0,0,0,508397,122384196,0,0,4097,287
0.275,0.275,99.451,0,0,0,0,509860,122464650,0,0,4064,216
2.133,1.333,96.533,0,0,0,0,403553,100000870,0,0,3483,949
0,0.276,99.724,0,0,0,45056,511874,122432899,0,0,4076,246
0.551,0,99.449,0,0,0,36864,510602,122429736,0,0,4073,238
0.275,0.275,99.449,0,0,0,0,506362,122426847,0,0,4055,223
0.275,0.275,99.451,0,0,0,0,503582,122496528,0,0,4049,213
0.549,0.275,99.176,0,0,0,0,508058,122450988,0,0,4050,220
0.274,0.274,99.452,0,0,0,0,507952,122440362,0,0,4059,232
0,0.272,99.728,0,0,0,81920,508800,122454024,0,0,4094,238
0.271,0.271,99.458,0,0,0,0,507104,122458578,0,0,4051,208
0.272,0,99.728,0,0,0,0,507528,122472240,0,0,4053,215
2.111,1.583,96.306,0,0,0,0,417601,100357599,0,0,3526,953
0.548,0.548,98.904,0,0,0,0,510432,122473758,0,0,4063,216
0.548,0.548,98.904,0,0,0,0,512404,122454134,0,0,4066,235
0.551,0,99.449,0,0,0,45056,510602,122450988,0,0,4061,232
0.548,0.548,98.904,0,0,0,0,502970,122470722,0,0,4071,234
0.548,0.274,99.178,0,0,0,0,507174,122450988,0,0,4060,218
0.545,0.272,99.183,0,0,0,0,512616,122431254,0,0,4077,223
0,0.272,99.728,0,0,0,0,512722,122452506,0,0,4060,227
0.806,0.538,98.656,0,0,0,0,513464,122469204,0,0,4060,233
0.271,0.271,99.458,0,0,0,12288,513358,122438844,0,0,4068,226
0.268,1.609,98.123,0,0,0,0,557742,100407693,0,0,3574,873
1.090,0.272,98.638,0,0,0,0,2119134,122452506,0,0,4078,236
0.546,0.273,99.180,0,0,0,229376,2118940,122473758,0,0,4129,264
0.275,0,99.725,0,0,0,0,2118516,122457060,0,0,4057,205
0.273,0.546,99.180,0,0,0,0,2118092,122431254,0,0,4054,225
0.275,0,99.725,0,0,0,49152,2121516,122452506,0,0,4060,219
0.274,0.274,99.452,0,0,0,0,2118834,122470722,0,0,4072,232
0.545,0.545,98.910,0,0,0,4096,2118410,122450988,0,0,4061,227
0.275,0,99.725,0,0,0,0,2118304,122438844,0,0,4091,236
0.273,0.546,99.180,0,0,0,0,2118622,122463132,0,0,4049,210
1.337,0.535,98.128,0,0,0,0,958489,114602138,0,0,3821,235
0.813,1.626,97.561,0,0,0,12288,436898,108323441,0,0,3753,928
0.275,0.275,99.449,0,0,0,0,513358,122473758,0,0,4053,219
0.275,0.549,99.176,0,0,0,0,512828,122450988,0,0,4063,229
0.551,0,99.449,0,0,0,0,513358,122434290,0,0,4062,231
0.274,0.548,98.904,0.274,0,0,0,505054,122452506,0,0,4058,207
0.273,0.546,99.180,0,0,0,45056,513676,122460096,0,0,4090,230
0.826,0.275,98.898,0,0,0,0,513994,122426700,0,0,4067,233
0.276,0,99.724,0,0,0,0,513676,122498046,0,0,4059,232
0.275,0.549,99.176,0,0,0,0,512404,122423664,0,0,4054,215
0.549,0.275,99.176,0,0,0,0,511874,122435808,0,0,4048,215
1.604,1.604,96.791,0,0,0,0,401258,99847552,0,0,3476,908
0.275,0.549,99.176,0,0,0,45056,509012,122425182,0,0,4085,249
0,0.276,99.724,0,0,0,69632,509330,122452506,0,0,4074,215
0.275,0.549,99.176,0,0,0,0,509542,122499564,0,0,4051,215
0.551,0,99.449,0,0,0,0,501462,122432772,0,0,4052,211
0.820,0.273,98.907,0,0,0,0,509436,122452506,0,0,4071,229
0.551,0,99.449,0,0,0,0,508906,122466168,0,0,4077,229
0,0.552,99.448,0,0,0,20480,509436,122425182,0,0,4061,224
0,0.275,99.725,0,0,0,0,509012,122476794,0,0,4053,207
0.275,0.549,99.176,0,0,0,0,507846,122450988,0,0,4058,223
0.542,1.355,98.103,0,0,0,0,414494,99814154,0,0,3435,883
0.275,0.275,99.451,0,0,0,0,504348,122466168,0,0,4068,223
0.822,0.274,98.904,0,0,0,0,503394,122413038,0,0,4057,222
0,0,99.723,0.277,0,0,45056,504878,122488938,0,0,4079,248
0.548,0.274,99.178,0,0,0,0,502828,122450988,0,0,4051,211
0.549,0.275,99.176,0,0,0,0,505090,122472240,0,0,4050,215
0.548,0.274,99.178,0,0,0,0,504348,122431254,0,0,4061,221
0.840,0.280,98.880,0,0,0,4096,507952,122457060,0,0,4075,256
0,0.276,99.724,0,0,0,0,506362,122472240,0,0,4056,208
0.549,0.275,99.176,0,0,0,12288,504878,122432772,0,0,4072,237
1.075,1.613,97.312,0,0,0,0,415336,99953810,0,0,3468,911
0.274,0.548,99.178,0,0,0,0,502814,122438844,0,0,4067,238
0.275,0.275,99.449,0,0,0,229376,512934,122454024,0,0,4101,238
0.548,0.548,98.904,0,0,0,0,512828,122452506,0,0,4074,230
0.275,0.275,99.449,0,0,0,0,513358,122472240,0,0,4063,221
0.275,0.275,99.449,0,0,0,49152,510154,122450988,0,0,4095,257
0.548,0.548,98.904,0,0,0,0,513358,122426700,0,0,4059,219
0,0.275,99.725,0,0,0,0,512192,122460096,0,0,4054,215
0.557,0.557,98.886,0,0,0,0,510390,122466168,0,0,4053,224
0.551,0,99.449,0,0,0,0,514206,122467686,0,0,4065,234
0.270,1.622,98.108,0,0,0,0,416514,99729148,0,0,3446,847
1.622,0.811,97.568,0,0,0,45056,494914,122485902,0,0,4108,284
0.275,0.275,99.449,0,0,0,0,510708,122447952,0,0,4051,214
0.275,0.275,99.449,0,0,0,0,500850,122454024,0,0,4071,241
0.549,0.275,99.176,0,0,0,0,506468,122426700,0,0,4046,211
0.275,0.275,99.451,0,0,0,0,503794,122501082,0,0,4056,217
0.275,0.275,99.449,0,0,0,20480,510602,122431254,0,0,4067,233
0.276,0,99.724,0,0,0,0,509754,122450988,0,0,4061,233
0.275,0.275,99.449,0,0,0,45056,509966,122473758,0,0,4061,206
0.546,0.820,98.634,0,0,0,0,510602,122434290,0,0,4059,220
0,0.275,99.725,0,0,0,0,486331,116592236,0,0,3866,198
4.688,1.302,94.010,0,0,0,0,428420,105727555,0,0,3778,992
3.958,0.264,95.515,0.264,0,0,45056,511980,122466168,0,0,4151,280
1.897,0.271,97.832,0,0,0,36864,512934,122457060,0,0,4107,266
0.549,0.275,99.176,0,0,0,0,512404,122438844,0,0,4067,212
1.093,0.273,98.634,0,0,0,0,506114,122458578,0,0,4093,251
1.090,0.272,98.638,0,0,0,0,511662,122454024,0,0,4112,240
0.548,0.548,98.904,0,0,0,0,512722,122426700,0,0,4066,214
0.822,0.274,98.904,0,0,0,28672,511874,122502600,0,0,4077,235
0.549,0.275,99.176,0,0,0,0,511450,122426700,0,0,4076,241
0.565,0.282,99.153,0,0,0,0,512086,122472240,0,0,4058,219
2.116,1.852,96.032,0,0,0,0,414393,100022122,0,0,3511,910
0.272,0,99.728,0,0,0,0,508164,122434290,0,0,4065,217
1.340,0.536,98.123,0,0,0,53248,508906,122455542,0,0,4103,272
0.271,0.271,99.458,0,0,0,0,508906,122452506,0,0,4061,211
0.542,0,99.458,0,0,0,0,500402,122429736,0,0,4061,222
1.337,0.535,98.128,0,0,0,0,508058,122482866,0,0,4114,242
1.078,0,98.922,0,0,0,0,510496,122428218,0,0,4082,240
0,0.272,99.728,0,0,0,0,502638,122454024,0,0,4052,211
0.270,0.541,99.189,0,0,0,12288,510178,122437326,0,0,4076,231
0.541,0.270,99.189,0,0,0,0,514100,122469204,0,0,4049,207
2.375,1.583,96.042,0,0,0,0,415282,100372779,0,0,3533,930
0.822,0,99.178,0,0,0,0,512298,122429736,0,0,4054,213
0.275,0.549,99.176,0,0,0,233472,511132,122485902,0,0,4102,237
0,0.276,99.724,0,0,0,0,510814,122450988,0,0,4053,212
0.554,0.554,98.615,0.277,0,0,61440,507504,122429736,0,0,4091,259
0.548,0.274,99.178,0,0,0,0,502546,122502600,0,0,4057,216
0.272,0.272,99.455,0,0,0,0,511132,122426700,0,0,4061,220
0.554,0.831,98.615,0,0,0,0,511344,122452506,0,0,4065,231
0.551,0,99.449,0,0,0,0,512510,122475276,0,0,4103,253
0.549,0.275,99.176,0,0,0,0,512086,122434290,0,0,4055,210
3.166,1.319,95.515,0,0,0,12288,421507,100497256,0,0,3533,951
4.474,0.263,95.263,0,0,0,0,502530,122426700,0,0,4176,294
3.968,0.265,95.767,0,0,0,28672,506150,122450988,0,0,4166,306
3.714,0.265,96.021,0,0,0,0,506150,122455542,0,0,4149,277
4.485,0,95.515,0,0,0,0,496268,122454024,0,0,4157,294
5.483,0.261,94.256,0,0,0,0,505726,122431254,0,0,4220,320
3.958,0.528,95.515,0,0,0,45056,504242,122484384,0,0,4209,325
3.989,0,96.011,0,0,0,0,505514,122446434,0,0,4149,278
3.979,0,96.021,0,0,0,4096,506786,122458578,0,0,4149,292
3.200,0.267,96.533,0,0,0,0,504772,122425182,0,0,4143,256
4.156,1.558,94.286,0,0,0,0,416277,100044890,0,0,3541,935
5.483,0.261,94.256,0,0,0,0,504090,122450988,0,0,4192,323
3.968,0.265,95.767,0,0,0,45056,509648,122457060,0,0,4167,314
4.222,0.264,95.515,0,0,0,36864,513146,122452506,0,0,4157,297
4.497,0,95.503,0,0,0,0,512955,122455542,0,0,4172,322
4.222,0.264,95.515,0,0,0,0,510366,122452506,0,0,4182,297
4.485,0,95.515,0,0,0,0,512869,122455542,0,0,4217,299
3.457,0.266,96.277,0,0,0,0,513676,122451115,0,0,4157,285
4.233,0.265,95.503,0,0,0,20480,513676,122455542,0,0,4175,333
4.724,0.262,95.013,0,0,0,0,509330,122452653,0,0,4149,300
2.933,0.267,96.800,0,0,0,0,491473,117610409,0,0,3992,273
1.872,1.604,96.524,0,0,0,0,436016,104724563,0,0,3645,884
