"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-orig-dstat.csv",,,,"Date:","07 Jan 2020 17:16:35 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.246,2.475,96.232,0.048,0,53765.910,37030.359,0,0,0,0,2619.444,1475.431
5.651,15.479,78.870,0,0,0,0,347490,10607946,0,0,8660,19788
7.463,13.682,78.856,0,0,0,0,382564,11806690,0,0,9478,25197
5.764,14.536,79.449,0.251,0,0,1884160,377726,11728170,0,0,9527,25115
5.076,14.975,79.949,0,0,0,131072,438902,11519658,0,0,9378,25748
9.068,12.091,78.841,0,0,0,0,374752,12380588,0,0,9884,26043
9.068,11.587,79.345,0,0,0,0,422496,11758468,0,0,9518,26162
6.700,14.392,78.908,0,0,0,0,374850,11631530,0,0,9354,24897
6.061,13.384,80.556,0,0,0,0,374556,11592270,0,0,9405,24847
5.584,13.706,80.711,0,0,0,0,374654,11593780,0,0,9437,24892
6.250,14.250,79.500,0,0,0,24576,375046,11584720,0,0,9482,24902
6.983,13.965,79.052,0,0,0,0,385479,8103581,0,0,7000,20152
7.018,13.784,79.198,0,0,0,0,369824,11941080,0,0,9712,25167
5.371,13.555,81.074,0,0,0,0,367570,11877660,0,0,9634,25037
7.809,12.343,79.849,0,0,0,0,369612,11897290,0,0,9653,25196
6.870,12.977,80.153,0,0,0,0,436790,11607496,0,0,9493,25989
6.313,13.384,80.303,0,0,0,81920,377496,11634551,0,0,9446,25110
6.266,14.035,79.699,0,0,0,0,373674,11521300,0,0,9397,24860
5.764,14.286,79.950,0,0,0,0,374458,11566600,0,0,9421,24971
5.330,14.213,80.457,0,0,0,0,377496,11648140,0,0,9500,25138
6.599,12.437,80.964,0,0,0,0,372110,11527340,0,0,9391,24843
5.038,14.358,80.605,0,0,0,0,373425,8014491,0,0,6818,19420
8.728,12.219,79.052,0,0,0,81920,386610,11864070,0,0,9643,25638
5.556,14.394,80.051,0,0,0,0,367010,11873130,0,0,9618,25142
4.261,17.293,78.446,0,0,0,0,367010,11879170,0,0,9673,24855
7.268,14.035,78.697,0,0,0,0,430900,11868600,0,0,9711,26311
6.091,13.198,80.711,0,0,0,0,372302,11636060,0,0,9476,24907
8.081,14.141,77.778,0,0,0,8192,394058,11898800,0,0,9798,25808
8.500,16.500,75,0,0,0,98304,511174,13455708,0,0,10942,29976
7.250,18,74.750,0,0,0,0,444822,13713820,0,0,10987,29729
9.500,15.500,75,0,0,0,0,448154,13843680,0,0,11112,29618
9.500,17,73.500,0,0,0,0,436457,13476849,0,0,10979,29134
9.045,14.573,76.382,0,0,0,0,462254,10820220,0,0,8892,25731
9.045,16.332,74.623,0,0,0,73728,526666,14198628,0,0,11262,30873
7.557,17.884,74.559,0,0,0,106496,551542,14195706,0,0,11114,31585
10.076,15.113,74.811,0,0,0,0,528606,13973540,0,0,11132,31293
