"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-morus640-e-frag-dstat.csv",,,,"Date:","07 Jan 2020 22:18:05 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.993,8.160,87.810,0.037,0,17347.868,38277.340,0,0,0,0,4884.830,11404.812
1.842,19.474,78.684,0,0,0,0,156062,20750332,0,0,3887,271
1.562,24.479,73.958,0,0,0,131072,192270,26659966,0,0,5342,238
1.823,24.219,73.958,0,0,0,0,190536,26647182,0,0,5432,228
1.818,24.156,74.026,0,0,0,0,190026,26594448,0,0,5316,201
0.779,25.455,73.766,0,0,0,0,189414,26815826,0,0,5461,223
0.260,25.714,74.026,0,0,0,0,191352,26767886,0,0,5412,204
2.597,23.636,73.766,0,0,0,0,191250,26673604,0,0,5460,243
1.042,25,73.698,0.260,0,0,24576,184824,26950912,0,0,5634,249
0.524,25.654,73.822,0,0,0,0,181764,27010892,0,0,5739,237
1.305,24.804,73.890,0,0,0,0,166362,27047694,0,0,5537,218
2.116,14.815,83.069,0,0,0,0,117312,15663088,0,0,2827,314
1.828,24.282,73.890,0,0,0,0,163302,26978078,0,0,5226,223
1.823,24.479,73.698,0,0,0,81920,162486,26924600,0,0,5370,243
0.783,25.326,73.890,0,0,0,0,161874,27000450,0,0,5350,208
1.044,25.065,73.890,0,0,0,0,161262,27007696,0,0,5324,201
1.567,24.543,73.890,0,0,0,0,162894,27036460,0,0,5316,220
2.089,24.021,73.890,0,0,0,0,161160,27026872,0,0,5273,225
0.260,25.781,73.698,0.260,0,0,24576,162894,27000450,0,0,5353,229
1.828,24.282,73.890,0,0,0,0,160854,27034862,0,0,5354,218
1.828,24.543,73.629,0,0,0,0,161262,27076410,0,0,5363,213
2.584,18.605,78.811,0,0,0,0,144027,19165310,0,0,3880,312
2.078,23.896,74.026,0,0,0,0,193902,26459446,0,0,5489,230
1.562,24.479,73.958,0,0,0,81920,191250,26626408,0,0,5483,241
2.083,23.958,73.958,0,0,0,0,191250,26715068,0,0,5484,236
0.779,25.195,74.026,0,0,0,155648,192678,26550532,0,0,5476,314
0.781,25.260,73.958,0,0,0,0,191454,26604036,0,0,5410,268
1.302,24.740,73.958,0,0,0,0,191148,26700770,0,0,5287,269
1.299,24.675,73.766,0.260,0,0,57344,193188,26664760,0,0,5298,306
1.039,25.195,73.766,0,0,0,0,191760,26683192,0,0,5386,267
2.078,23.896,74.026,0,0,0,0,192576,26624726,0,0,5287,275
1.299,19.740,78.961,0,0,0,40960,150154,19299726,0,0,3971,381
0.781,25.260,73.958,0,0,0,0,191964,26583262,0,0,5377,278
1.823,24.219,73.958,0,0,0,81920,146268,26896808,0,0,4976,296
0.785,25.393,73.822,0,0,0,0,148818,27210752,0,0,5243,296
0.785,25.393,73.822,0,0,0,0,150246,27198712,0,0,5244,287
0.783,25.587,73.629,0,0,0,98304,149532,27278528,0,0,5277,329
0.524,25.654,73.822,0,0,0,0,151470,27195516,0,0,5161,275
1.302,25,73.438,0.260,0,0,40960,152592,27200310,0,0,5171,301
