"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570546514-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","09 Oct 2019 15:16:53 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.488,3.079,86.754,4.680,0,7255.829,29425907.662,0,0,0,0,24073.516,27086.943
0.758,1.010,97.980,0.253,0,0,45056,1132320,1132320,0,0,14558,14227
0.763,0.509,98.728,0,0,0,0,1124480,1124480,0,0,14410,14104
0.505,1.515,97.980,0,0,0,0,1132320,1132320,0,0,14576,14220
0.754,1.759,97.487,0,0,0,0,1130080,1130030,0,0,14533,14173
1.250,1.750,97,0,0,0,0,1128160,1128320,0,0,14444,14151
0.509,1.018,98.473,0,0,0,12288,1131633,1131346,0,0,14403,14069
0.508,1.015,98.477,0,0,0,0,2032416,2032416,0,0,14521,14190
0.504,1.511,97.985,0,0,0,0,2031987,2032275,0,0,14466,14159
0.761,1.015,98.223,0,0,0,0,2032416,2032416,0,0,14509,14233
0.254,1.015,98.731,0,0,0,0,2032128,2031840,0,0,14459,14151
0.756,1.511,97.733,0,0,0,45056,2031552,2031840,0,0,14495,14205
1.259,1.259,97.481,0,0,0,0,2031072,2031328,0,0,14387,14071
1.266,0.759,97.975,0,0,0,0,3812896,3812352,0,0,14372,14084
0.255,0.765,98.980,0,0,0,0,3821600,3821600,0,0,14385,14101
1.008,1.259,97.733,0,0,0,0,3813984,3813984,0,0,14347,14080
0.505,1.515,97.980,0,0,0,24576,3816160,3816160,0,0,14353,14075
0.761,0.761,98.477,0,0,0,0,3824320,3824864,0,0,14404,14112
0.510,0.765,98.724,0,0,0,0,3823328,3823950,0,0,14389,14062
0.508,1.015,98.477,0,0,0,0,7343424,7342368,0,0,14293,13975
0.761,1.015,98.223,0,0,0,0,7348704,7348704,0,0,14262,13963
0.761,1.015,97.970,0.254,0,0,1679360,7346592,7347648,0,0,14590,14094
1.013,0.759,98.228,0,0,0,0,7350943,7350816,0,0,14285,13969
0.761,1.015,98.223,0,0,0,0,7350816,7350816,0,0,14335,14002
0.509,1.018,98.473,0,0,0,0,7310515,7309459,0,0,14302,13947
0.754,1.759,97.236,0.251,0,0,0,9760512,9760512,0,0,13998,13686
0.761,1.015,98.223,0,0,0,65536,9766240,9767672,0,0,14001,13694
1.010,1.263,97.727,0,0,0,0,9800608,9800608,0,0,14094,13761
0.505,1.768,97.727,0,0,0,0,9770536,9769104,0,0,13968,13673
1.013,1.013,97.975,0,0,0,0,9734736,9736168,0,0,13947,13639
0.505,1.768,97.727,0,0,0,0,9744760,9743328,0,0,13987,13688
2.494,1.746,94.015,1.746,0,0,13410304,10571872,10571872,0,0,13868,13450
2.500,1.500,96,0,0,0,0,10567024,10567024,0,0,13663,13409
2,1.750,96.250,0,0,0,0,10670448,10672064,0,0,13892,13536
3.704,1.235,95.062,0,0,0,0,10646208,10644592,0,0,13807,13546
2.256,1.504,96.241,0,0,0,0,10588032,10589648,0,0,13728,13482
2.978,1.489,95.533,0,0,0,12288,10560560,10560560,0,0,13703,13456
