"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-no-macsec-dstat.csv",,,,"Date:","08 Oct 2019 16:14:08 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.490,0.442,98.928,0.140,0,1228430.552,87681.178,0,0,0,0,2102.915,2548.854
0.505,0.758,98.737,0,0,0,0,322851,113840395,0,0,4572,593
0.251,0.752,98.997,0,0,0,0,351540,122715528,0,0,4875,592
0.501,0.251,99.248,0,0,0,0,308210,122719974,0,0,5020,574
0.504,0,99.496,0,0,0,0,279510,122722938,0,0,5006,549
0.253,0,99.747,0,0,0,69632,279510,122724420,0,0,4974,573
0.744,0.993,98.263,0,0,0,0,279510,122724420,0,0,5018,568
1,0.250,98.250,0.500,0,0,12181504,279510,122727384,0,0,5099,612
0.752,0.251,98.997,0,0,0,0,279510,122721456,0,0,5011,564
0.750,0.250,99,0,0,0,0,279510,122722938,0,0,5015,565
0,0.754,99.246,0,0,0,0,279510,122724420,0,0,4978,547


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-no-macsec-dstat.csv",,,,"Date:","08 Oct 2019 16:15:27 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.549,0.674,98.613,0.163,0,958952.247,2306594.026,0,0,0,0,3571.397,4046.138
1.247,1.247,97.506,0,0,0,0,315501,114187561,0,0,4556,411
0,0.503,99.497,0,0,0,0,344750,122440362,0,0,4711,327
0.754,0,99.246,0,0,0,0,346010,122452506,0,0,4915,347
0,0.503,99.497,0,0,0,0,347340,122450988,0,0,4718,325
0.251,0.251,99.497,0,0,0,0,348530,122455542,0,0,4844,357
0.500,0.750,98.750,0,0,0,61440,349580,122454024,0,0,4840,351
0.251,0.251,99.497,0,0,0,0,351470,122450988,0,0,4788,341
0.501,0.251,99.248,0,0,0,0,352100,122452506,0,0,4749,342
1,0.250,98.750,0,0,0,0,353780,122454024,0,0,4941,371
0.250,0.750,99,0,0,0,0,354340,122452506,0,0,4751,332


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-no-macsec-dstat.csv",,,,"Date:","08 Oct 2019 16:16:45 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.677,0.819,98.277,0.227,0,785600.884,4143978.199,0,0,0,0,4777.865,5391.905
1.253,1.253,97.494,0,0,0,0,327541,114609647,0,0,3135,834
1.003,0.501,98.496,0,0,0,0,352800,123699594,0,0,3179,870
1.005,0.251,98.744,0,0,0,0,311220,123702540,0,0,3132,847
1.250,0.500,98.250,0,0,0,0,279510,123702540,0,0,3123,847
1.253,0.501,98.246,0,0,0,61440,297500,123708432,0,0,3185,895
1.005,0.251,98.744,0,0,0,0,340550,123699594,0,0,3133,785
1.005,0.251,98.492,0.251,0,0,0,337330,123705486,0,0,3286,610
1.504,0.251,98.246,0,0,0,0,334460,123702540,0,0,3479,597
1.008,0.252,98.741,0,0,0,0,332990,123705486,0,0,3520,609
1.253,0.251,98.496,0,0,0,0,307160,123702540,0,0,3339,623
