"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-orig-jumbo-dstat.csv",,,,"Date:","08 Oct 2019 16:20:33 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.109,1.176,97.456,0.259,0,570879.961,5309501.944,0,0,0,0,6578.339,7461.123
9.320,0.756,89.924,0,0,0,0,3766708,114062263,0,0,66649,468
9.750,0.500,89.750,0,0,0,1458176,4030734,122513693,0,0,71648,509
10,0,90,0,0,0,0,4030428,122484100,0,0,71395,418
10.448,0.249,89.303,0,0,0,98304,4030734,122501150,0,0,71428,432
9.774,0.251,89.975,0,0,0,0,4030734,122501150,0,0,71425,417
9.750,0.500,89.750,0,0,0,0,4030530,122498050,0,0,71390,402
9.750,0.250,90,0,0,0,4096,4030938,122515100,0,0,71423,415
9.548,0.251,90.201,0,0,0,0,4030224,122487200,0,0,71402,401
10.025,0,89.975,0,0,0,0,4030632,122499600,0,0,71441,420
9.548,0.251,90.201,0,0,0,24576,4031244,122510450,0,0,71437,412


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-orig-jumbo-dstat.csv",,,,"Date:","08 Oct 2019 16:22:46 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.106,1.530,96.076,0.288,0,475422.777,5850925.115,0,0,0,0,12569.018,14960.601
7.731,0.748,91.521,0,0,0,0,1995845,115717132,0,0,55904,476
7.018,0.251,92.732,0,0,0,0,2118785,123715054,0,0,59592,382
7.250,0.500,92.250,0,0,0,1409024,2118744,123715054,0,0,59809,449
7.018,0.251,92.732,0,0,0,0,2118642,123715054,0,0,59597,357
7.250,0.250,92.500,0,0,0,102400,2118744,123715054,0,0,59564,390
7.463,0.498,92.040,0,0,0,0,2118744,123718032,0,0,59595,369
7.018,0.251,92.481,0.251,0,0,0,2118642,123712076,0,0,59595,359
7.250,0.250,92.500,0,0,0,4096,2118744,123715054,0,0,59578,372
7.481,0.249,92.269,0,0,0,0,2118744,123718032,0,0,59587,379
7.250,0.250,92.500,0,0,0,0,2118744,123715054,0,0,59599,370
