"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-orig-dstat.csv",,,,"Date:","08 Oct 2019 16:18:06 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.747,0.940,98.045,0.268,0,734100.711,4930923.398,0,0,0,0,5286.071,5863.933
1.579,1.316,97.105,0,0,0,0,1909050,114506091,0,0,3908,347
0.267,0.535,99.198,0,0,0,0,2038572,122767232,0,0,4060,227
0.268,0.268,99.464,0,0,0,0,2038674,122770260,0,0,4066,233
0,0.269,99.731,0,0,0,0,2038572,122767232,0,0,4050,210
0,0.531,99.469,0,0,0,0,2041989,122768746,0,0,4051,213
0.787,0.262,98.950,0,0,0,57344,2038674,122768857,0,0,4110,259
0.264,0.264,99.472,0,0,0,0,2038572,122768746,0,0,4062,231
0,0.265,99.735,0,0,0,0,2038674,122771774,0,0,4058,208
2.083,0,97.917,0,0,0,0,2038572,122767232,0,0,4137,272
3.061,0.510,96.429,0,0,0,0,2038572,122768746,0,0,4163,282


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-orig-dstat.csv",,,,"Date:","08 Oct 2019 16:19:26 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.878,1.049,97.824,0.249,0,634655.776,5096251.908,0,0,0,0,5716.994,6350.922
2.094,1.309,96.597,0,0,0,0,422245,114141217,0,0,3948,356
0.267,0.267,99.465,0,0,0,0,461040,122765718,0,0,4050,208
0.535,0,99.465,0,0,0,0,462570,122767232,0,0,4074,225
0.267,0.267,99.465,0,0,0,0,462264,122767232,0,0,4048,209
0,0.268,99.732,0,0,0,0,459396,122767232,0,0,4066,223
0.532,0.532,98.936,0,0,0,57344,466548,122770260,0,0,4071,231
0.789,0,98.947,0.263,0,0,0,464202,122762690,0,0,4079,229
1.813,0.259,97.927,0,0,0,0,464814,122771774,0,0,4156,257
3.109,0.259,96.632,0,0,0,0,463794,122767232,0,0,4230,385
3.316,0.255,96.429,0,0,0,0,463080,122768746,0,0,4173,293
