"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-orig-jumbo-without-encryption-dstat.csv",,,,"Date:","08 Oct 2019 16:21:40 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.649,1.369,96.703,0.278,0,518546.093,5670676.734,0,0,0,0,9856.924,11542.599
9.750,1.250,89,0,0,0,0,3778336,114415557,0,0,65282,485
10.224,0.249,89.526,0,0,0,0,4030428,122498193,0,0,69762,421
10.250,0.250,89.500,0,0,0,131072,4030734,122499600,0,0,69777,433
10,0.500,89.500,0,0,0,0,4030530,122498050,0,0,69844,413
10.500,0,89.500,0,0,0,77824,4030428,122501150,0,0,69677,457
10,0.250,89.750,0,0,0,0,4030122,122498050,0,0,69771,401
9.799,0.251,89.950,0,0,0,0,4030734,122501150,0,0,69782,414
10.448,0.498,89.055,0,0,0,4096,4030530,122494950,0,0,69750,443
10.224,0.249,89.526,0,0,0,0,4030632,122501150,0,0,69704,453
9.799,0.251,89.950,0,0,0,0,4030428,122499600,0,0,69744,395


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-orig-jumbo-without-encryption-dstat.csv",,,,"Date:","08 Oct 2019 16:23:52 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.341,1.602,95.761,0.296,0,439177.253,5984773.091,0,0,0,0,14341.284,16239.528
7.463,1.493,91.045,0,0,0,0,1989929,115356565,0,0,54001,469
7.538,0.251,92.211,0,0,0,1384448,2118785,123715054,0,0,57947,451
7.750,0.250,92,0,0,0,0,2118846,123723988,0,0,57714,386
7.960,0.249,91.542,0.249,0,0,0,2118540,123706120,0,0,57725,382
7.750,0.250,92,0,0,0,94208,2118744,123712076,0,0,57742,400
7.750,0.250,92,0,0,0,0,2118642,123715054,0,0,57734,370
7.731,0.499,91.771,0,0,0,4096,2118744,123715054,0,0,57719,368
7.519,0.251,92.231,0,0,0,0,2118642,123718032,0,0,57742,377
7.519,0.251,92.231,0,0,0,0,2117928,123723988,0,0,57732,382
8,0.250,91.750,0,0,0,12288,2118540,123706120,0,0,57731,387
