"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-macsec-chachapoly-we-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:40:19 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.018,1.838,94.709,0.436,0,205529.283,9040121.397,0,0,0,0,16935.932,17985.441
1.330,1.596,97.074,0,0,0,0,469543,114313771,0,0,3903,333
0.272,0,99.728,0,0,0,0,507316,122472240,0,0,4063,222
0.271,0.271,99.458,0,0,0,0,504454,122450988,0,0,4070,221
0,0.270,99.730,0,0,0,0,502016,122435808,0,0,4051,207
0.532,0.266,99.202,0,0,0,61440,498070,122478312,0,0,4069,238
0.267,0.267,99.467,0,0,0,0,497564,122449470,0,0,4092,231
0.533,0,99.467,0,0,0,0,496186,122447952,0,0,4064,218
0,0.267,99.733,0,0,0,0,493324,122454024,0,0,4052,209
0.267,0.267,99.467,0,0,0,0,491204,122437326,0,0,4052,219
0,0.267,99.733,0,0,0,0,489084,122470722,0,0,4049,209
