"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/iperf3-1573043775-100-orig-jumbo-2928-dstat.csv",,,,"Date:","06 Nov 2019 15:41:12 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.105,0.549,96.313,0.032,0,92932.690,218819.267,0,0,0,0,20636.312,2793.487
6.281,1.256,92.462,0,0,0,0,1986604,115142353,0,0,55606,437
7.250,0.250,92.500,0,0,0,0,2118642,123715303,0,0,59590,386
7.481,0.249,92.269,0,0,0,0,2118744,123718032,0,0,59599,364
7.035,0.251,92.714,0,0,0,12288,2118744,123715054,0,0,59594,357
7.250,0.250,92.500,0,0,0,77824,2118642,123715054,0,0,59588,390
7.481,0.249,92.269,0,0,0,0,2118540,123709098,0,0,59592,372
7.018,0.251,92.732,0,0,0,0,2118846,123721010,0,0,59602,358
7.250,0.250,92.500,0,0,0,0,2118744,123715054,0,0,59587,388
7.481,0.249,91.272,0.998,0,0,18894848,2118642,123715054,0,0,59616,398
7.018,0.251,92.732,0,0,0,0,2118744,123718032,0,0,59576,367
6.281,1.256,92.462,0,0,0,32768,1777046,101853820,0,0,49614,732
7.250,0.250,92.500,0,0,0,0,2118846,123721010,0,0,59595,362
7.250,0.250,92.500,0,0,0,0,2118540,123706120,0,0,59592,375
7.035,0,92.965,0,0,0,69632,2118642,123715054,0,0,59599,354
7.463,0.498,92.040,0,0,0,0,2117112,123616882,0,0,59525,368
7.286,0,92.714,0,0,0,0,2118642,123715054,0,0,59598,367
7.232,0.249,92.269,0.249,0,0,45056,2118846,123721010,0,0,59591,390
7.250,0.250,92.500,0,0,0,0,2118438,123709098,0,0,59591,374
7.250,0.250,92.500,0,0,0,0,2118744,123718032,0,0,59587,387
7.731,0.249,92.020,0,0,0,0,2118540,123718032,0,0,59593,376
6.266,1.253,92.481,0,0,0,0,1770865,101425006,0,0,49427,739
7.481,0.249,92.269,0,0,0,0,2118642,123712076,0,0,59593,370
7.035,0,92.965,0,0,0,45056,2118846,123721010,0,0,59594,380
7.250,0.500,92.250,0,0,0,319488,2118642,123712076,0,0,59662,382
7.250,0.250,92.500,0,0,0,0,2118642,123715054,0,0,59593,385
7.481,0.249,92.269,0,0,0,0,2118744,123721010,0,0,59592,365
7.250,0.250,92.500,0,0,0,0,2118642,123709098,0,0,59585,367
6.784,0.251,92.965,0,0,0,0,2118744,123715054,0,0,59596,372
7.481,0.249,92.269,0,0,0,16384,2118846,123723988,0,0,59599,403
7.481,0.249,92.269,0,0,0,0,2118540,123709098,0,0,59591,369
6.281,1.005,92.714,0,0,0,0,1777234,101651334,0,0,49556,714
7.500,0.250,92.250,0,0,0,0,2118744,123718155,0,0,59604,377
7.018,0.251,92.732,0,0,0,0,2118785,123715054,0,0,59597,384
7.481,0.249,92.269,0,0,0,0,2118744,123715197,0,0,59589,370
7.232,0.249,92.269,0.249,0,0,81920,2118744,123715054,0,0,59589,375
7.250,0.250,92.500,0,0,0,0,2118846,123723988,0,0,59593,370
7.481,0.249,92.269,0,0,0,0,2118540,123706120,0,0,59582,391
7.035,0.251,92.714,0,0,0,0,2118744,123718032,0,0,59597,374
7.250,0.250,92.500,0,0,0,0,2118642,123715160,0,0,59592,367
