"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578412664-macsec-aegis128l-e-frag-1500-dstat.csv",,,,"Date:","07 Jan 2020 21:46:35 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.200,7.803,87.960,0.037,0,18774.926,37126.529,0,0,0,0,5018.123,12276.466
0.255,2.041,97.449,0.255,0,0,81920,132132,132132,0,0,1803,1803
1.279,3.069,95.652,0,0,0,0,122082,123590,0,0,1669,1660
0.767,3.836,95.141,0.256,0,0,450560,122148,122254,0,0,1803,1786
1.538,2.821,95.641,0,0,0,0,122254,122148,0,0,1676,1653
1.538,2.564,95.897,0,0,0,0,121992,121992,0,0,1669,1655
0.767,3.581,95.652,0,0,0,114688,121524,121368,0,0,1667,1654
1.020,3.571,95.408,0,0,0,0,121836,121992,0,0,1657,1637
1.799,2.057,96.144,0,0,0,0,121992,121992,0,0,1676,1656
1.282,2.821,95.897,0,0,0,0,121992,121992,0,0,1666,1648
1.285,2.571,96.144,0,0,0,0,121992,121992,0,0,1674,1650
1.276,3.316,95.153,0.255,0,0,32768,121836,121836,0,0,1669,1656
1.777,3.299,94.924,0,0,0,0,122238,123746,0,0,1757,1663
1.542,2.314,96.144,0,0,0,0,123396,123396,0,0,2474,1690
1.538,2.564,95.897,0,0,0,0,123240,123240,0,0,2478,1685
1.018,3.817,95.165,0,0,0,0,122304,122304,0,0,1723,1644
1.279,3.325,95.396,0,0,0,32768,121836,121836,0,0,1672,1665
1.272,3.562,95.165,0,0,0,0,122148,122148,0,0,1678,1654
0.771,3.085,96.144,0,0,0,0,122304,122304,0,0,1672,1653
0.767,3.581,95.652,0,0,0,0,122254,122148,0,0,1671,1647
1.282,2.821,95.897,0,0,0,0,122304,122304,0,0,1673,1660
1.023,3.581,95.396,0,0,0,32768,121836,121786,0,0,1679,1663
1.028,2.828,96.144,0,0,0,0,121992,122148,0,0,1685,1669
0.256,3.846,95.897,0,0,0,0,122148,122148,0,0,1670,1644
0.767,3.581,95.652,0,0,0,0,122148,122148,0,0,1671,1647
1.531,3.316,95.153,0,0,0,0,122226,122226,0,0,1676,1656
1.018,3.562,95.165,0.254,0,0,32768,121680,121680,0,0,1672,1663
1.531,3.061,95.408,0,0,0,0,122148,121992,0,0,1674,1650
1.523,3.553,94.924,0,0,0,0,121992,122148,0,0,1673,1650
0.765,4.082,95.153,0,0,0,0,122304,122304,0,0,1675,1649
1.781,3.053,95.165,0,0,0,0,122148,122148,0,0,1670,1655
1.034,2.326,96.641,0,0,0,32768,121680,121680,0,0,1671,1658
1.026,3.077,95.897,0,0,0,0,122148,122148,0,0,1666,1648
0.517,3.359,95.866,0.258,0,0,2875392,121212,121212,0,0,1691,1673
1.276,3.316,95.408,0,0,0,0,121992,121992,0,0,1668,1655
1.282,2.821,95.897,0,0,0,0,121992,121992,0,0,1669,1653
1.282,3.077,95.641,0,0,0,49152,121524,121524,0,0,1666,1657
0.513,3.590,95.897,0,0,0,0,121836,121836,0,0,1674,1649
1.023,3.325,95.652,0,0,0,90112,121836,121836,0,0,1713,1702
1.279,3.069,95.652,0,0,0,0,121992,121992,0,0,1667,1653
0.767,3.581,95.652,0,0,0,0,122226,122070,0,0,1670,1651
1.790,2.813,95.396,0,0,0,32768,121680,121836,0,0,1667,1656
1.282,2.821,95.897,0,0,0,0,122148,122148,0,0,1672,1653
1.538,2.564,95.897,0,0,0,0,122148,122148,0,0,1668,1649
1.023,3.325,95.652,0,0,0,0,121992,121992,0,0,1670,1650
1.279,3.069,95.652,0,0,0,0,122148,122148,0,0,1669,1650
1.777,3.299,94.670,0.254,0,0,32768,121524,121524,0,0,1673,1659
1.023,3.325,95.652,0,0,0,0,121992,121992,0,0,1666,1640
1.272,3.562,95.165,0,0,0,0,121836,121836,0,0,1668,1656
1.031,2.577,96.392,0,0,0,0,122148,121992,0,0,1666,1646
1.276,3.316,95.408,0,0,0,0,121992,121992,0,0,1671,1654
1.777,3.299,94.924,0,0,0,32768,121474,121524,0,0,1663,1662
1.786,2.806,95.408,0,0,0,0,122148,122148,0,0,1671,1652
1.527,3.308,95.165,0,0,0,0,122148,122254,0,0,1680,1663
1.282,3.077,95.641,0,0,0,0,122148,121992,0,0,1672,1643
2.041,2.551,95.408,0,0,0,0,122148,122304,0,0,1667,1655
1.772,3.291,94.684,0.253,0,0,32768,122304,122148,0,0,2001,1673
1.289,2.320,96.392,0,0,0,0,123084,123240,0,0,2441,1676
2.036,2.799,95.165,0,0,0,0,122304,122304,0,0,1772,1655
1.538,2.564,95.897,0,0,0,0,122148,122148,0,0,1664,1641
1.289,2.577,96.134,0,0,0,0,122148,122148,0,0,1671,1657
1.279,3.069,95.652,0,0,0,32768,121680,121680,0,0,1667,1660
1.026,3.077,95.897,0,0,0,0,122148,122148,0,0,1671,1655
0.769,3.846,95.385,0,0,0,2891776,121524,121524,0,0,1692,1687
2.036,6.107,91.858,0,0,0,0,114164,114292,0,0,1576,1588
0.765,3.827,95.408,0,0,0,0,216124,216124,0,0,1627,1600
1.279,3.069,95.396,0.256,0,0,57344,214704,214704,0,0,1623,1609
1.023,3.325,95.652,0,0,0,0,216692,216692,0,0,1624,1590
0.769,3.590,95.641,0,0,0,0,217260,217260,0,0,1649,1630
1.272,3.562,95.165,0,0,0,0,216976,216976,0,0,1641,1609
0.775,2.584,96.641,0,0,0,0,216976,216976,0,0,1629,1604
1.269,4.061,94.670,0,0,0,32768,216124,216124,0,0,1636,1609
1.276,3.316,95.408,0,0,0,0,216976,216976,0,0,1633,1605
0.519,2.597,96.883,0,0,0,40960,217260,217260,0,0,1674,1642
1.282,2.821,95.897,0,0,0,0,217054,217054,0,0,1632,1599
0.761,4.569,94.670,0,0,0,0,216408,216408,0,0,1632,1596
0.761,4.061,94.924,0.254,0,0,49152,215272,214988,0,0,1625,1598
1.282,3.077,95.641,0,0,0,0,215840,216124,0,0,1630,1600
1.538,2.564,95.897,0,0,0,0,216124,216124,0,0,1625,1612
1.034,2.326,96.641,0,0,0,0,216124,216124,0,0,1623,1604
0.771,3.085,96.144,0,0,0,0,216124,216124,0,0,1620,1595
1.786,3.061,95.153,0,0,0,32768,215272,215272,0,0,1628,1613
