"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-chachapoly-e-1500-dstat.csv",,,,"Date:","24 Oct 2019 04:16:11 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.140,8.721,86.897,0.241,0,7818.966,40082.295,0,0,0,0,4698.086,8801.888
2.413,14.477,82.842,0.268,0,0,147456,104040,17959718,0,0,3695,283
1.042,25.260,73.698,0,0,0,0,162180,26788195,0,0,5675,215
0.781,25.521,73.698,0,0,0,0,161670,26843550,0,0,5777,236
0.521,26.042,73.438,0,0,0,0,162282,26813270,0,0,5800,217
0.781,25.521,73.698,0,0,0,0,162486,26801158,0,0,5744,229
0.783,25.587,73.629,0,0,0,16384,162486,26830168,0,0,5759,235
5.333,18.933,75.467,0.267,0,0,40960,135354,25921840,0,0,4136,245
1.047,25.393,73.560,0,0,0,0,128928,27748484,0,0,4922,200
0.522,25.849,73.629,0,0,0,0,143514,27028014,0,0,5750,221
0.781,25.521,73.698,0,0,0,0,143922,27003546,0,0,5654,206
4.393,17.054,78.553,0,0,0,0,139142,17553676,0,0,4700,396
2.344,23.958,73.698,0,0,0,0,189414,26663628,0,0,6380,247
1.567,24.804,73.107,0.522,0,0,81920,192168,26647218,0,0,6315,274
0.785,25.654,73.560,0,0,0,0,183600,26754224,0,0,6488,249
1.302,25.260,73.438,0,0,0,0,184620,26755982,0,0,6399,251
0.785,25.654,73.560,0,0,0,0,183192,26823868,0,0,6620,251
1.047,25.393,73.560,0,0,0,0,182580,26825382,0,0,6622,255
1.562,25,73.438,0,0,0,0,177378,26768094,0,0,6082,300
1.832,24.607,73.298,0.262,0,0,24576,175950,26737570,0,0,6014,352
1.813,25.389,72.798,0,0,0,851968,172890,26737814,0,0,6087,349
4.178,14.883,80.940,0,0,0,0,120062,16269848,0,0,3923,390
0.781,25.781,73.438,0,0,0,0,161645,26871970,0,0,5738,309
1.567,24.804,73.629,0,0,0,0,164220,26775420,0,0,5678,317
1.299,25.455,73.247,0,0,0,0,162180,26786401,0,0,5604,274
1.828,24.804,73.107,0.261,0,0,245760,163506,26798374,0,0,5792,461
1.044,25.326,73.629,0,0,0,0,160344,26816298,0,0,5666,289
1.039,25.714,73.247,0,0,0,0,161364,26782990,0,0,5746,295
0.781,25.781,73.438,0,0,0,0,162384,26787776,0,0,5671,287
1.823,24.740,73.438,0,0,0,0,160548,26829924,0,0,5624,296
0.783,25.587,73.629,0,0,0,0,163098,26780206,0,0,5618,287
2.577,19.072,78.093,0.258,0,0,24576,117616,17971151,0,0,4189,378
3.750,21.250,75,0,0,0,0,216036,21669862,0,0,4042,214
3.250,22,74.750,0,0,0,0,227460,22989438,0,0,4128,175
2,23.250,74.750,0,0,0,0,218790,23128726,0,0,4143,169
3.242,21.945,74.813,0,0,0,57344,74664,23956690,0,0,3868,176
3.723,13.298,82.979,0,0,0,8192,46002,20616256,0,0,3041,207
3.125,1.420,93.750,1.705,0,0,90112,9996,14499578,0,0,2032,190
1.458,4.373,94.169,0,0,0,0,12698,16048400,0,0,2109,148
1.484,3.561,94.955,0,0,0,0,16014,17318646,0,0,2221,160
1.749,3.499,94.752,0,0,0,0,12852,17029472,0,0,2188,165
4.571,2.571,92.857,0,0,0,0,24715,17973005,0,0,2320,184
2.198,3.297,94.505,0,0,0,0,25307,9137695,0,0,1881,334
1.484,1.780,96.439,0.297,0,0,81920,19686,16379966,0,0,2187,197
1.453,3.779,94.767,0,0,0,0,20152,17101312,0,0,2264,163
2.292,2.006,95.702,0,0,0,0,17850,16838708,0,0,2188,182
2.865,2.006,95.129,0,0,0,0,17748,17235376,0,0,2223,192
4.457,3.064,92.479,0,0,0,0,15708,16538936,0,0,2155,158
3.090,2.247,94.663,0,0,0,0,13056,16175576,0,0,2115,176
2.528,2.247,94.944,0.281,0,0,24576,12546,16625234,0,0,2130,191
7.479,2.493,90.028,0,0,0,8192,13158,16111988,0,0,2288,314
2.924,2.047,95.029,0,0,0,0,16932,17106686,0,0,2213,173
3.889,3.611,92.500,0,0,0,0,28648,11136487,0,0,2061,321
2.023,1.734,96.243,0,0,0,0,17952,14560138,0,0,2075,186
1.770,2.950,95.280,0,0,0,0,15708,16363312,0,0,2140,147
2.339,3.216,94.152,0.292,0,0,106496,20534,17303608,0,0,2272,206
2.899,3.478,93.623,0,0,0,0,19992,18018114,0,0,2325,170
0.265,26.190,73.545,0,0,0,0,109956,28724384,0,0,3839,174
1.047,25.131,73.822,0,0,0,0,142800,26615424,0,0,5689,224
0.519,25.974,73.506,0,0,0,0,145656,26580358,0,0,5633,219
1.042,25.260,73.698,0,0,0,0,137700,26609368,0,0,5672,239
1.039,25.455,73.247,0.260,0,0,24576,143922,26570004,0,0,5782,257
2.073,20.207,77.720,0,0,0,0,106682,19210527,0,0,4515,287
4.545,17.914,77.540,0,0,0,0,139232,22841452,0,0,3965,305
0.260,26.042,73.698,0,0,0,0,145157,26947772,0,0,5593,229
1.305,25.065,73.629,0,0,0,32768,145452,27028014,0,0,5719,271
1.042,25.260,73.698,0,0,0,0,143718,26958789,0,0,5677,235
0.521,25.781,73.177,0.521,0,0,81920,145146,26958370,0,0,5644,259
0.783,25.587,73.629,0,0,0,0,142698,26982594,0,0,5855,229
1.044,25.326,73.629,0,0,0,0,145146,26976782,0,0,5745,224
1.042,25.260,73.698,0,0,0,16384,144228,26932632,0,0,5703,241
0.781,25.781,73.438,0,0,0,0,146880,26947772,0,0,5723,272
1.044,25.326,73.629,0,0,0,0,144636,26953828,0,0,5718,230
3.553,16.497,79.695,0.254,0,0,40960,155253,15611896,0,0,3387,334
3.250,22,74.750,0,0,0,0,228684,23069680,0,0,4173,174
3.750,21.500,74.750,0,0,0,65536,228276,23089118,0,0,4200,198
