"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-orig-dstat.csv",,,,"Date:","07 Jan 2020 15:43:13 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.822,0.863,98.202,0.114,0,286983.868,12793.644,0,0,0,0,406.816,230.466
6.234,19.451,74.314,0,0,0,0,510632,12347662,0,0,10023,27359
9.596,15.657,74.747,0,0,0,131072,559464,14120308,0,0,11131,32064
10.025,15.789,74.185,0,0,0,0,569742,14043098,0,0,11116,32023
10.327,15.113,74.559,0,0,0,0,587214,13964578,0,0,10966,32183
9.774,16.040,74.185,0,0,0,0,576166,13928338,0,0,10933,31880
9.296,16.332,74.372,0,0,0,0,565958,13984306,0,0,10925,31829
9.023,16.541,74.436,0,0,0,0,611030,13691366,0,0,10584,32134
8.978,17.207,73.815,0,0,0,24576,602864,13677580,0,0,10816,31946
11.779,13.784,74.436,0,0,0,0,567506,13718448,0,0,10670,31234
7.053,18.136,74.811,0,0,0,0,551762,13889176,0,0,10771,31544
