"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578412664-macsec-aesgcm-we-jumbo-2928-dstat.csv",,,,"Date:","07 Jan 2020 23:01:10 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.054,8.863,87.048,0.036,0,15714.225,37395.220,0,0,0,0,5003.081,11525.872
2.267,2.267,95.466,0,0,0,0,124644,124488,0,0,2502,4841
1.538,3.590,94.615,0.256,0,0,425984,109930,109824,0,0,1678,3753
2.993,4.239,92.768,0,0,0,0,110136,110242,0,0,1577,3634
1.768,4.293,93.939,0,0,0,0,109980,110136,0,0,1562,3629
1.519,4.557,93.924,0,0,0,0,110370,110370,0,0,1565,3635
2.233,5.459,92.308,0,0,0,0,110136,110136,0,0,1577,3626
1.263,5.051,93.434,0.253,0,0,73728,109980,109980,0,0,1573,3636
2.506,4.261,93.233,0,0,0,0,110292,110292,0,0,1572,3632
3.483,4.229,92.289,0,0,0,0,110136,110136,0,0,1572,3629
1.763,4.534,93.703,0,0,0,0,110292,110292,0,0,1566,3628
3.275,3.275,93.451,0,0,0,0,110136,110136,0,0,1566,3628
2.457,6.143,91.155,0.246,0,0,24576,109824,109824,0,0,1588,3625
1.005,5.528,93.467,0,0,0,0,109980,109980,0,0,1564,3613
1.504,5.263,93.233,0,0,0,0,110136,110136,0,0,1564,3625
2.244,5.237,92.519,0,0,0,0,110136,110136,0,0,1571,3621
2.005,4.762,93.233,0,0,0,0,110292,110292,0,0,1566,3626
2.806,2.551,94.643,0,0,0,24576,110136,109980,0,0,1571,3637
1.015,4.822,94.162,0,0,0,0,110242,110398,0,0,1571,3633
1.266,4.557,94.177,0,0,0,0,110292,110292,0,0,1559,3623
2.005,5.013,92.982,0,0,0,0,110292,110136,0,0,1572,3623
