"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-orig-jumbo-dstat.csv",,,,"Date:","07 Jan 2020 15:44:10 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.064,1.202,97.624,0.110,0,273629.189,14137.454,0,0,0,0,586.680,779.513
9.068,15.365,75.567,0,0,0,0,453531,12224455,0,0,9517,26589
9.429,17.122,73.449,0,0,0,0,563150,14458388,0,0,10933,32286
8.642,18.272,73.086,0,0,0,0,541244,14289776,0,0,10881,31685
8.209,18.159,73.632,0,0,0,0,565614,14347178,0,0,10681,32078
10.199,15.672,73.881,0.249,0,0,122880,559668,14082612,0,0,10744,31555
8.291,17.337,74.372,0,0,0,0,544038,14127446,0,0,10815,31461
9.476,16.209,74.314,0,0,0,0,543368,14054784,0,0,10735,31248
9.296,16.080,74.623,0,0,0,0,612334,13901828,0,0,10328,32043
12.250,13.500,74.250,0,0,0,0,544330,14054784,0,0,10739,31208
9.476,16.459,74.065,0,0,0,0,583036,14132182,0,0,10407,31969


"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-orig-jumbo-dstat.csv",,,,"Date:","07 Jan 2020 15:45:07 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.286,1.511,97.097,0.106,0,261352.078,15233.942,0,0,0,0,747.138,1283.719
5.528,18.593,75.879,0,0,0,131072,313356,17781840,0,0,7774,20480
7.750,17.250,75,0,0,0,0,344764,20916142,0,0,8956,23623
8.020,17.043,74.937,0,0,0,0,343784,20877582,0,0,8928,23628
6.750,18.250,75,0,0,0,0,343686,20853688,0,0,8945,23600
7.268,17.794,74.937,0,0,0,0,344176,20856662,0,0,8911,23573
7.750,17.750,74.500,0,0,0,0,467272,20705086,0,0,8517,25569
7.731,18.204,73.815,0.249,0,0,24576,456896,20734826,0,0,8788,25488
6.767,19.048,74.185,0,0,0,0,424538,21002486,0,0,8664,25155
7.232,18.703,74.065,0,0,0,0,468136,20458146,0,0,8861,25309
8.728,17.207,74.065,0,0,0,0,436010,20856760,0,0,8803,25049
