"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-orig-jumbo-without-encryption-dstat.csv",,,,"Date:","07 Jan 2020 15:44:39 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.174,1.364,97.353,0.108,0,267378.549,14644.323,0,0,0,0,663.424,1018.618
8.543,15.327,76.131,0,0,0,0,475496,14627000,0,0,10948,30422
10.526,14.536,74.937,0,0,0,49152,508522,17064748,0,0,12585,34882
12.531,12.531,74.937,0,0,0,0,506456,17185536,0,0,12475,34824
10.526,15.288,74.185,0,0,0,0,740730,16755744,0,0,11883,37910
10.127,14.937,74.937,0,0,0,0,684610,17160698,0,0,11886,37547
12.060,13.317,74.372,0.251,0,0,147456,635690,16676898,0,0,12301,36290
8.333,16.919,74.747,0,0,0,0,710976,16919620,0,0,11646,37642
9.476,16.459,74.065,0,0,0,0,736518,16735646,0,0,11519,37427
10.670,15.633,73.697,0,0,0,0,740470,16460458,0,0,11688,37373
9.975,15.711,74.314,0,0,0,0,604356,16820676,0,0,12302,35894


"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-orig-jumbo-without-encryption-dstat.csv",,,,"Date:","07 Jan 2020 15:45:36 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.365,1.677,96.853,0.104,0,255647.807,15813.556,0,0,0,0,802.617,1446.422
8.101,15.949,75.949,0,0,0,0,480586,25139712,0,0,8892,25721
7.928,16.113,75.959,0,0,0,0,585694,28467426,0,0,9584,32030
8.728,16.958,74.314,0,0,0,0,603496,28101522,0,0,9297,32612
7.305,17.128,75.567,0,0,0,0,636330,27530514,0,0,9094,32509
10.859,13.889,75.253,0,0,0,0,645642,27346126,0,0,9119,32593
8.209,16.915,74.627,0.249,0,0,114688,689004,26929766,0,0,8579,32749
7.268,17.043,75.689,0,0,0,0,676976,26477718,0,0,8396,32380
8.291,16.080,75.628,0,0,0,0,659600,26819728,0,0,8754,32299
9.429,15.633,74.938,0,0,0,0,686152,26501510,0,0,8304,32375
8.794,15.327,75.879,0,0,0,0,605276,26450952,0,0,9164,31320
