"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-chachapoly-e-frag-dstat.csv",,,,"Date:","23 Oct 2019 22:45:12 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.110,8.074,87.535,0.281,0,11073.743,41966.070,0,0,0,0,5030.151,9596.736
3.458,2.882,92.507,1.153,0,0,122880,21000,12675390,0,0,2085,197
2.286,1.714,96,0,0,0,0,11526,13538172,0,0,2100,165
2.841,3.693,93.466,0,0,0,0,13290,13961810,0,0,2112,162
4.121,1.374,94.505,0,0,0,0,9792,11508796,0,0,1899,150
0.865,1.729,97.406,0,0,0,0,10404,12716884,0,0,1951,159
11.622,8.919,79.459,0,0,0,311296,90882,19092904,0,0,2906,231
16.129,4.301,79.032,0.538,0,0,40960,99348,18810058,0,0,2857,232
15.301,4.098,80.601,0,0,0,0,99348,18589534,0,0,2838,208
13.736,5.769,80.495,0,0,0,0,99450,19259096,0,0,2957,206
12.877,6.849,80.274,0,0,0,0,95370,19271880,0,0,2954,202
4.935,14.545,80.519,0,0,0,24576,120071,14342350,0,0,3537,338
1.344,24.184,49.136,25.336,0,0,131072,205326,27351424,0,0,5369,288
2.239,22.761,74.627,0.373,0,0,8192,99144,13040690,0,0,2384,100
1.754,23.308,74.937,0,0,0,0,147798,19469412,0,0,3620,199
2.005,23.058,74.937,0,0,0,0,148104,19447894,0,0,3535,153
3.008,22.055,74.937,0,0,0,0,147594,19429462,0,0,3590,184
2.005,23.058,74.687,0.251,0,0,24576,148308,19467814,0,0,3558,173
2.506,22.556,74.937,0,0,0,0,148308,19406346,0,0,3556,158
2.757,22.306,74.937,0,0,0,0,148920,19427864,0,0,3561,152
3.250,21.750,75,0,0,0,0,147696,19469412,0,0,3584,169
3.827,17.092,79.082,0,0,0,0,120250,14049419,0,0,3182,277
1.018,24.682,73.791,0.509,0,0,81920,153612,20747556,0,0,4219,198
