"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578411774-orig-jumbo-9000-dstat.csv",,,,"Date:","07 Jan 2020 15:44:09 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.060,1.195,97.635,0.110,0,273743.146,14143.341,0,0,0,0,586.394,778.889


"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578411774-orig-jumbo-9000-dstat.csv",,,,"Date:","07 Jan 2020 15:45:07 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.283,1.504,97.107,0.106,0,261456.036,15240.002,0,0,0,0,746.927,1283.321
