"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output http/Http-1568826886-dstat.csv",,,,"Date:","18 Sep 2019 19:14:51 CEST"
"total cpu usage",,,,,"dsk/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","in","out","int","csw"
4.450,0.766,94.666,0.117,0,659105.382,68054.995,0,0,1090.509,3530.909
5.446,0.743,93.812,0,0,0,77824,0,0,1867,3914
3.980,0.995,95.025,0,0,0,0,0,0,1700,3616
3.283,0.758,95.960,0,0,0,0,0,0,1681,3545
5.693,1.980,92.327,0,0,0,36864,0,0,1800,3977
3.778,0.756,95.466,0,0,0,0,0,0,1789,3914
3.023,1.259,95.718,0,0,0,0,0,0,1815,3817
4.261,2.256,93.484,0,0,0,0,0,0,3163,5869
3.759,0.501,95.739,0,0,0,0,0,0,1702,3471
3.030,0.505,96.212,0.253,0,0,204800,0,0,1720,3541
3.759,1.003,95.238,0,0,0,0,0,0,1662,3538
3.030,0.758,96.212,0,0,0,0,0,0,1677,3487
3.275,0.756,95.970,0,0,0,0,0,0,1667,3495
3.769,0.503,95.729,0,0,0,110592,0,0,1692,3530
3.509,1.003,95.489,0,0,0,0,0,0,1663,3533
3.500,1,95.500,0,0,0,0,0,0,1672,3514
3.023,1.008,95.970,0,0,0,0,0,0,1653,3444
3.266,0.754,95.980,0,0,0,0,0,0,1644,3481
4.250,0.500,95.250,0,0,0,40960,0,0,1702,3482
3.769,0.503,95.729,0,0,0,0,0,0,1668,3528
4.715,0.744,94.541,0,0,0,0,0,0,1768,3670
3.038,0.506,96.456,0,0,0,0,0,0,1675,3482
3.731,1.244,95.025,0,0,0,0,0,0,1636,3474
3.980,1.244,94.776,0,0,0,0,0,0,1653,3470
3.518,0.503,95.729,0.251,0,0,204800,0,0,1689,3504
3.759,0.501,95.739,0,0,0,0,0,0,1644,3436
3.731,1.244,95.025,0,0,0,0,0,0,1668,3436
4,0.750,95.250,0,0,0,0,0,0,1667,3528
3.266,1.005,95.729,0,0,0,0,0,0,1705,3575
3.980,0.995,95.025,0,0,0,929792,0,0,1859,3528
