"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output http/Http-1568826960-dstat.csv",,,,"Date:","18 Sep 2019 19:16:06 CEST"
"total cpu usage",,,,,"dsk/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","in","out","int","csw"
4.454,0.779,94.650,0.117,0,626769.332,66607.549,0,0,1130.727,3571.152
13.514,5.405,81.081,0,0,0,73728,0,0,19883,34848
8.706,5.970,85.323,0,0,0,0,0,0,22528,44157
9.732,6.326,83.942,0,0,0,0,0,0,22314,43982
9.268,5.854,84.878,0,0,0,0,0,0,22324,43841
9.246,6.326,84.428,0,0,0,8192,0,0,22334,43837
8.128,6.404,85.222,0.246,0,0,20480,0,0,22281,43868
8.578,6.127,85.294,0,0,0,0,0,0,22381,43653
6.549,5.793,87.657,0,0,0,0,0,0,22176,43646
8.802,5.868,85.330,0,0,0,0,0,0,22301,43751
8.128,6.404,83.990,1.478,0,0,12734464,0,0,22350,43654
7.635,5.911,81.034,5.419,0,0,44105728,0,0,17181,33368
6.436,4.703,88.861,0,0,0,0,0,0,6188,11721
6.914,4.938,86.420,1.728,0,0,12582912,0,0,6216,11771
5.897,5.160,75.184,13.759,0,4096,111804416,0,0,6146,11222
5.707,5.955,75.186,13.151,0,4096,116830208,0,0,6224,11382
6.667,5.185,68.148,20,0,4096,143605760,0,0,12699,24259
6.700,6.203,64.268,22.829,0,8192,167772160,0,0,21619,39867
6.566,5.051,66.667,21.717,0,8192,167772160,0,0,16631,30913
4.500,8.250,69.250,18,0,8192,132120576,0,0,4025,7612


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output http/Http-1568826960-dstat.csv",,,,"Date:","18 Sep 2019 19:16:30 CEST"
"total cpu usage",,,,,"dsk/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","in","out","int","csw"
4.495,0.844,94.469,0.192,0,617009.148,651531.710,0,0,1323.957,3922.232


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output http/Http-1568826960-dstat.csv",,,,"Date:","18 Sep 2019 19:16:36 CEST"
"total cpu usage",,,,,"dsk/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","in","out","int","csw"
4.488,0.845,94.475,0.191,0,614864.767,649262.805,0,0,1327.546,3922.732
