"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output http/Http-1568826726-dstat.csv",,,,"Date:","18 Sep 2019 19:12:20 CEST"
"total cpu usage",,,,,"dsk/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","in","out","int","csw"
4.206,0.700,94.981,0.113,0,616124.425,68958.900,0,0,861.553,3106.279
13.759,1.474,84.767,0,0,0,389120,0,0,5412,7692
9.023,0.752,90.226,0,0,0,0,0,0,3226,7176
4.963,0.744,94.293,0,0,0,0,0,0,2833,6012
3.500,1,95.500,0,0,0,0,0,0,2729,5693
3.990,0.499,95.511,0,0,0,0,0,0,2730,5653
15.594,2.970,81.436,0,0,90112,61440,0,0,5593,12837
4.762,0.752,94.486,0,0,0,0,0,0,2930,6344
3,1.250,95.750,0,0,0,0,0,0,2735,5722
6.767,1.504,91.479,0.251,0,0,0,0,0,3309,8690
8,1.250,90,0.750,0,0,0,0,0,4673,8664
3.807,0.508,94.670,1.015,0,0,1073152,0,0,3140,7116
2.278,0.759,96.962,0,0,0,0,0,0,2652,5498
3.275,0.504,96.222,0,0,0,0,0,0,2845,6131
9.976,1.460,88.078,0.487,0,0,0,0,0,3741,9474
3.275,0.756,95.970,0,0,0,0,0,0,2826,6001
3.750,0.500,95.750,0,0,0,8192,0,0,2801,5867
5.882,1.471,92.402,0.245,0,0,12288,0,0,3161,7370
4.489,1.247,94.264,0,0,0,0,0,0,3117,7083
5.736,0.998,93.267,0,0,0,0,0,0,3330,8508
4.738,0.998,94.264,0,0,0,0,0,0,3200,7487
5.486,1.247,93.017,0.249,0,0,12288,0,0,3459,8881
5.237,1.247,93.516,0,0,0,0,0,0,3349,8751
2.778,1.010,95.960,0.253,0,0,90112,0,0,2931,6923
5.764,0.752,93.484,0,0,0,0,0,0,3366,8752
3.526,0.252,96.222,0,0,0,0,0,0,2698,5659
19.307,3.713,76.980,0,0,0,1630208,0,0,4775,14789
8.802,1.711,89.487,0,0,0,0,0,0,3899,8080
2.532,1.013,96.456,0,0,0,0,0,0,2710,5732
3.258,0.752,95.739,0.251,0,0,307200,0,0,2688,5623
7.214,1.493,91.294,0,0,0,0,0,0,4749,5793
5.224,0.995,93.781,0,0,0,114688,0,0,2932,6209
4.691,1.481,93.827,0,0,0,0,0,0,2906,5808
3.741,0.998,95.262,0,0,0,0,0,0,2634,5383
8.374,0.985,90.640,0,0,0,143360,0,0,4576,5754
4.020,1.005,94.975,0,0,0,0,0,0,2715,5421
3.526,1.008,95.466,0,0,0,483328,0,0,2962,6056
4.229,0.746,95.025,0,0,0,0,0,0,2734,5456
4.010,1.003,94.987,0,0,0,0,0,0,3676,5417
7.178,0.743,92.079,0,0,0,0,0,0,2883,5488
4.040,0.758,95.202,0,0,0,77824,0,0,2862,5927
3.759,1.003,95.238,0,0,0,0,0,0,2754,5872
3.759,0.501,95.739,0,0,0,77824,0,0,2848,5751
3.500,1,95.500,0,0,0,0,0,0,2620,5453
9.195,4.828,85.747,0.230,0,0,0,0,0,3285,8395
8.831,2.864,87.589,0.716,0,0,0,0,0,3313,8124
2.757,1.253,95.990,0,0,0,65536,0,0,2641,5360
