"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-orig-we-dstat.csv",,,,"Date:","31 Oct 2019 19:34:10 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.545,16.481,80.354,0.620,0,191979.584,213005.922,0,0,79.312,318.959,4818.012,1261.958
1.105,52.486,46.409,0,0,0,0,116996,62020572,0,0,11091,424
1.500,49,49.500,0,0,0,0,109854,64933254,0,0,1763,403
1.990,48.259,49.751,0,0,0,0,111282,64928712,0,0,1757,405
2,48.500,49.500,0,0,0,0,109752,64952936,0,0,1804,419
1,49,50,0,0,0,0,111792,64965048,0,0,1788,403
1,49.500,48.500,1,0,0,53248,110058,64962020,0,0,1807,418
1.005,49.246,49.749,0,0,0,0,107508,64965048,0,0,1793,392
1.005,49.246,49.749,0,0,0,1511424,108630,64968076,0,0,1815,421
1.493,49.254,49.254,0,0,0,0,110160,64952692,0,0,1789,403
1.064,52.660,46.277,0,0,0,0,111282,64431582,0,0,8648,371
2.717,45.652,50.543,1.087,0,0,20480,94159,51356061,0,0,7532,431
0.556,55.556,43.889,0,0,0,0,110874,65507354,0,0,4505,357
1.105,54.696,44.199,0,0,0,24576,111792,65516682,0,0,4514,356
1.105,55.249,43.646,0,0,0,0,109956,65521224,0,0,4523,366
0.552,55.249,44.199,0,0,0,0,109548,65513654,0,0,4501,339
1.111,55,43.333,0.556,0,0,40960,109650,65453094,0,0,4513,354
0.552,55.249,44.199,0,0,0,0,109650,65136618,0,0,5264,357
0.556,55,44.444,0,0,0,0,108222,65182576,0,0,4502,337
0.556,55.556,43.889,0,0,0,0,114240,65181062,0,0,4509,350
1.099,54.945,43.956,0,0,0,0,108018,65178034,0,0,4501,353
3.743,42.781,52.406,1.070,0,0,12288,92421,50769604,0,0,4450,440
0.552,55.249,44.199,0,0,0,0,105978,65151514,0,0,5551,335
1.523,49.239,49.239,0,0,0,0,112710,64916600,0,0,2007,392
1.508,48.744,49.749,0,0,0,0,103326,65314050,0,0,1752,440
1.990,48.259,49.751,0,0,0,0,105060,65350386,0,0,1711,411
1.508,48.744,48.744,1.005,0,0,40960,104652,65353414,0,0,1766,431
1.500,49,49.500,0,0,0,0,106182,65359470,0,0,1741,401
