"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-aesgcm-we-frag-dstat.csv",,,,"Date:","31 Oct 2019 22:46:55 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.008,34.120,63.501,0.372,0,73527.392,95582.140,0,0,30.376,122.158,5772.585,986.547
1.176,56.471,42.353,0,0,0,0,154656,54609830,0,0,18322,395
1.130,55.932,41.808,1.130,0,0,53248,132182,56275462,0,0,15795,384
2.488,48.259,49.254,0,0,0,0,135362,57009826,0,0,1986,431
2,48.500,49.500,0,0,0,0,131864,56926666,0,0,1936,401
0.535,52.406,47.059,0,0,0,0,143206,56215934,0,0,8798,369
2.020,49.495,48.485,0,0,0,0,139602,56539204,0,0,3819,425
2,48,48.500,1.500,0,0,12288,135468,56921334,0,0,1971,430
1.493,48.756,49.751,0,0,0,0,131758,56931828,0,0,1939,418
1.508,48.744,49.749,0,0,0,1433600,134514,56945476,0,0,1971,445
1.587,51.852,46.561,0,0,0,0,149778,56379196,0,0,8434,394
2.010,41.206,56.784,0,0,0,0,114691,44825167,0,0,2099,452
1.010,49.495,48.485,1.010,0,0,45056,137482,56941354,0,0,1966,402
2.105,51.579,46.316,0,0,0,0,144160,56425786,0,0,8784,416
1.163,58.140,40.698,0,0,0,0,146280,56162172,0,0,18945,347
0.585,57.895,41.520,0,0,0,0,139814,55946826,0,0,18779,343
1.156,57.803,41.040,0,0,0,0,150202,56185514,0,0,18974,370
1.734,57.803,39.306,1.156,0,0,12288,144054,56120416,0,0,18943,367
1.163,58.140,40.698,0,0,0,0,143842,56205638,0,0,19002,373
1.724,57.471,40.805,0,0,0,0,137800,56183472,0,0,18951,377
0.581,58.721,40.698,0,0,0,0,145962,56344574,0,0,19037,351
3.933,44.382,51.685,0,0,0,0,131754,43621126,0,0,14002,452
0,59.064,40.936,0,0,0,0,147022,56131658,0,0,18959,359
2.312,56.069,40.462,1.156,0,0,40960,153064,55399938,0,0,18587,372
1.156,57.803,41.040,0,0,0,57344,138648,56241880,0,0,18930,362
0.585,58.480,40.936,0,0,0,0,146174,56225716,0,0,18915,349
0.585,58.480,40.936,0,0,0,0,144478,56097984,0,0,19053,353
1.163,58.140,40.698,0,0,0,0,143524,56005948,0,0,18983,347
1.163,58.140,40.116,0.581,0,0,12288,143524,56104496,0,0,18996,371
1.734,57.803,40.462,0,0,0,0,140132,56066612,0,0,18893,376
0.585,58.480,40.936,0,0,0,0,143206,56147770,0,0,18947,336
2.260,46.328,51.412,0,0,0,0,127938,43815140,0,0,14856,402
0.585,58.480,40.936,0,0,0,0,150096,56175878,0,0,18950,350
0.585,58.480,40.936,0,0,0,0,148718,56125234,0,0,19039,370
1.156,57.803,39.884,1.156,0,0,77824,146598,56066612,0,0,19005,357
1.734,57.803,40.462,0,0,0,0,148612,56125234,0,0,18985,351
1.744,56.977,41.279,0,0,0,0,151792,55551012,0,0,18666,374
0.585,58.480,40.936,0,0,0,0,140980,56254616,0,0,18954,339
1.734,57.803,40.462,0,0,0,0,148400,56236958,0,0,19048,376
0.585,58.480,40.936,0,0,0,0,150626,56113992,0,0,18970,362
