"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-morus640-e-frag-dstat.csv",,,,"Date:","31 Oct 2019 23:28:58 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.988,35.492,62.169,0.351,0,64803.419,86885.998,0,0,26.772,107.664,6328.410,969.147
1.734,56.069,42.197,0,0,0,0,175644,34873644,0,0,17060,370
0,58.480,41.520,0,0,0,0,154018,36033008,0,0,17846,368
1.724,57.471,40.805,0,0,0,0,158470,36015342,0,0,17812,385
1.156,57.803,41.040,0,0,0,0,157410,36102066,0,0,17789,370
0.581,58.140,40.116,1.163,0,0,1773568,167374,36044250,0,0,17793,399
1.124,56.180,42.697,0,0,0,0,151580,36100460,0,0,15088,379
0.503,49.749,49.749,0,0,0,0,110452,36181618,0,0,1514,421
2,48.500,49.500,0,0,0,0,116070,36191254,0,0,1543,436
1.493,48.756,49.751,0,0,0,0,111300,36176800,0,0,1521,414
1.657,54.144,44.199,0,0,0,0,139390,35950244,0,0,12556,407
2.825,46.328,50.282,0.565,0,0,12288,149881,28128222,0,0,13819,420
1.163,57.558,41.279,0,0,0,0,142146,35986434,0,0,17670,342
1.714,57.714,40.571,0,0,0,0,149460,36139004,0,0,17796,400
1.156,57.803,41.040,0,0,0,0,161544,36065180,0,0,17745,361
1.156,57.803,41.040,0,0,0,0,157940,36007312,0,0,17797,368
1.156,57.803,40.462,0.578,0,0,40960,146174,36097248,0,0,17878,382
0.581,58.140,41.279,0,0,0,0,158046,36094894,0,0,17863,345
1.500,49,49.500,0,0,0,0,123384,35966304,0,0,2045,444
1.005,49.246,49.749,0,0,0,0,113314,36130974,0,0,1551,422
0.995,49.254,49.751,0,0,0,0,120204,36243504,0,0,1524,429
2.186,44.262,52.459,1.093,0,0,12288,138433,28173190,0,0,10127,423
0.578,58.382,41.040,0,0,0,0,167056,36033756,0,0,17828,358
1.117,55.866,43.017,0,0,0,0,150202,35863520,0,0,13835,378
1.500,48.500,50,0,0,0,0,115858,36041038,0,0,1529,417
2.010,48.241,49.749,0,0,0,0,116494,36053886,0,0,1523,439
1.500,49.500,48.500,0.500,0,0,40960,117342,36052280,0,0,1549,446
1,49,50,0,0,0,0,114904,36049068,0,0,1527,427
1,49.500,49.500,0,0,0,0,118720,36037826,0,0,1511,423
1.493,48.756,49.751,0,0,0,0,119462,36041038,0,0,1530,439
1.005,49.246,49.749,0,0,0,65536,112360,36052192,0,0,1559,438
2.094,43.979,52.880,1.047,0,0,12288,122533,28331871,0,0,6779,438
0,58.480,41.520,0,0,0,0,151156,36069946,0,0,17805,375
