"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-aesgcm-e-frag-jumbo-dstat.csv",,,,"Date:","01 Nov 2019 00:33:41 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.965,36.927,60.780,0.327,0,54876.960,77071.577,0,0,24.104,91.041,6493.795,945.367
1.124,55.056,43.820,0,0,0,0,48444,37711004,0,0,12777,367
0.508,50.254,48.223,1.015,0,0,65536,48230,38475632,0,0,2783,379
1.493,49.254,49.254,0,0,0,0,45050,38784774,0,0,1610,412
1.500,48.500,50,0,0,0,0,44626,38762358,0,0,1573,386
1.500,49,49.500,0,0,0,0,45368,38796832,0,0,1569,397
0.995,49.254,49.751,0,0,0,0,44838,38819404,0,0,1567,382
1.005,49.246,48.744,1.005,0,0,12288,44202,38805148,0,0,1605,410
0.538,53.763,45.699,0,0,0,0,46004,38565550,0,0,8871,358
1.117,55.866,43.017,0,0,0,0,45474,38655256,0,0,13136,330
1.015,49.239,49.746,0,0,0,0,47170,38551742,0,0,2250,379
2.151,45.161,52.688,0,0,0,0,46003,30311084,0,0,8486,437
0,49.749,49.246,1.005,0,0,40960,43778,38849596,0,0,1531,374
0.500,50,49.500,0,0,0,0,45156,38863710,0,0,1623,400
1.493,48.756,49.751,0,0,0,0,45898,38842690,0,0,1536,375
0.503,49.749,49.749,0,0,0,0,44414,38890548,0,0,1602,366
1.500,49,49.500,0,0,0,0,43884,38849592,0,0,1601,390
0.995,49.254,49.254,0.498,0,0,12288,44520,38895204,0,0,1619,392
0.505,49.495,50,0,0,0,0,43990,38842112,0,0,1613,369
1.500,49,49.500,0,0,0,0,44202,38869362,0,0,1613,368
0.995,49.254,49.751,0,0,0,0,44096,38870676,0,0,1569,362
0.510,43.367,56.122,0,0,0,0,43458,30610094,0,0,2400,412
0.500,50,48,1.500,0,0,40960,44520,38852798,0,0,1609,396
1.493,48.756,49.751,0,0,0,0,44838,38828644,0,0,1617,425
0.503,49.749,49.749,0,0,0,0,44202,38806352,0,0,1586,384
1,49.500,49.500,0,0,0,0,44732,38885000,0,0,1615,395
1,49,50,0,0,0,0,45368,38876002,0,0,1647,402
1.990,48.756,48.259,0.995,0,0,253952,45050,38866808,0,0,1609,407
0.503,49.246,50.251,0,0,0,0,43354,38887346,0,0,1592,384
