"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-orig-dstat.csv",,,,"Date:","31 Oct 2019 19:12:58 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.737,10.104,86.451,0.708,0,233341.750,253965.205,0,0,96.400,387.679,4044.035,1353.148
0,55.233,44.186,0.581,0,0,53248,72218,36056650,0,0,16810,375
1.705,56.818,39.773,1.705,0,0,913408,66096,37582220,0,0,17905,380
0.575,57.471,41.954,0,0,0,0,68442,37599656,0,0,18013,370
1.136,56.818,42.045,0,0,0,0,65892,37609228,0,0,17949,352
0.575,57.471,41.954,0,0,0,0,67524,37598386,0,0,18042,342
0.575,57.471,41.954,0,0,0,0,64362,37592574,0,0,17928,370
0,55.866,43.017,1.117,0,0,24576,66096,37445716,0,0,14225,365
1.500,48.500,50,0,0,0,0,62322,37890344,0,0,1272,423
1.005,49.246,49.749,0,0,0,0,61914,37914324,0,0,1239,410
2.463,48.276,49.261,0,0,0,0,62526,37908268,0,0,1252,424
1.130,45.763,53.107,0,0,0,0,64375,29168583,0,0,13145,380
1.143,57.143,40.571,1.143,0,0,40960,66912,37555994,0,0,17700,354
1.667,55,43.333,0,0,0,0,64158,37430820,0,0,15089,360
0.503,49.749,49.749,0,0,0,0,64158,37908268,0,0,1261,419
1,49.500,49.500,0,0,0,0,64362,37902456,0,0,1267,432
1.500,48.500,50,0,0,0,0,59874,37906754,0,0,1255,422
0.503,49.749,48.744,1.005,0,0,12288,62016,37894886,0,0,1262,409
1.493,48.756,49.751,0,0,0,0,62322,37888586,0,0,1256,427
0.503,49.749,49.749,0,0,0,0,59772,37840870,0,0,1228,398
0.995,49.254,49.751,0,0,0,0,58650,38054882,0,0,1244,408
1.087,43.478,55.435,0,0,0,0,61513,28999524,0,0,8946,410
1.136,56.818,40.909,1.136,0,0,40960,63954,37746758,0,0,18086,346
1.099,54.945,43.956,0,0,0,0,67728,37586274,0,0,13796,377
0,50.251,49.749,0,0,0,0,59772,38062696,0,0,1277,408
0,50,50,0,0,0,0,57834,38068508,0,0,1297,419
0.995,49.254,49.751,0,0,0,0,58548,38051854,0,0,1298,427
0.552,55.249,43.646,0.552,0,0,12288,70074,37646834,0,0,12709,370
0.575,57.471,41.954,0,0,0,0,68034,37707394,0,0,18065,344
0.571,57.143,42.286,0,0,0,0,63342,37734646,0,0,18060,371
