"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-morus640-we-1500-dstat.csv",,,,"Date:","01 Nov 2019 04:26:11 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.861,39.746,58.112,0.281,0,36756.251,57665.104,0,0,15.818,71.235,5994.051,901.800
1.093,51.366,47.541,0,0,0,0,78760,46731180,0,0,4461,355
0,54.645,45.355,0,0,0,0,75790,48861724,0,0,4507,335
0.541,54.054,45.405,0,0,0,0,71868,49028460,0,0,4526,372
0.541,54.595,44.865,0,0,0,0,73776,49172670,0,0,4493,345
1.026,50.769,47.692,0.513,0,0,57344,81408,48514590,0,0,2227,406
0.503,49.246,50.251,0,0,0,0,76214,48544164,0,0,1307,414
1.500,49,49.500,0,0,0,0,74624,48570756,0,0,1310,410
0.498,49.751,49.751,0,0,0,0,73246,48566202,0,0,1325,395
1.036,51.295,47.668,0,0,0,0,81408,48202614,0,0,6378,399
1.705,56.250,40.909,1.136,0,0,12288,87768,47383274,0,0,18491,358
1.676,45.251,53.073,0,0,0,0,72081,37083299,0,0,14252,401
0.578,57.803,41.618,0,0,0,0,82786,48160354,0,0,19136,328
0.538,53.226,46.237,0,0,0,0,84906,48268132,0,0,4651,360
1.500,49,49.500,0,0,0,0,75048,48652728,0,0,1314,403
2.010,48.241,49.246,0.503,0,0,40960,75472,48613260,0,0,1332,436
1.500,49,49.500,0,0,0,983040,73352,48896638,0,0,1349,424
1.990,48.259,49.751,0,0,0,0,73988,48998100,0,0,1302,417
2,48.500,49.500,0,0,0,0,71974,48873868,0,0,1328,425
1,49.500,49.500,0,0,0,0,73670,48913336,0,0,1311,413
1.010,48.990,48.990,1.010,0,0,20480,72928,49010488,0,0,1353,436
2.151,43.011,54.839,0,0,0,36864,68155,37048354,0,0,9916,424
0.578,57.803,41.618,0,0,0,0,80348,48199578,0,0,19154,338
2.151,53.763,44.086,0,0,0,0,72928,49169390,0,0,6154,362
