"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-no-macsec-1464-dstat.csv",,,,"Date:","31 Oct 2019 18:12:50 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.471,14.959,79.145,1.425,0,599058.200,615307.989,0,0,247.714,996.203,3487.803,1826.558
1.149,5.172,93.678,0,0,0,0,296592,122291816,0,0,4530,726
1.117,5.587,92.179,1.117,0,0,49152,280560,123330558,0,0,4267,688
1.685,5.056,93.258,0,0,0,0,293090,123340932,0,0,4485,643
2.235,4.469,93.296,0,0,0,0,283710,123327594,0,0,4393,659
0.568,5.114,94.318,0,0,0,0,296870,123339450,0,0,4565,615
1.676,5.028,93.296,0,0,0,0,280140,123339450,0,0,4201,664
1.695,3.955,93.785,0.565,0,0,12288,280140,123336486,0,0,4235,661
0.565,5.085,94.350,0,0,0,0,280420,123330558,0,0,4265,642
0,4.571,95.429,0,0,0,0,280070,123340932,0,0,4321,659
1.130,4.520,94.350,0,0,0,0,296100,123333522,0,0,4580,618
1.744,7.558,90.698,0,0,0,0,251204,98883893,0,0,4024,674
1.190,5.357,93.452,0,0,0,0,295050,123333522,0,0,4754,655
0.581,4.651,94.186,0.581,0,0,2220032,304010,123346860,0,0,4743,701
1.744,4.651,93.605,0,0,0,0,280770,123333522,0,0,4396,714
1.143,3.429,95.429,0,0,0,0,280140,123335004,0,0,4333,709
2.235,4.469,93.296,0,0,0,0,280210,123332040,0,0,4280,714
1.705,3.409,94.886,0,0,0,0,280140,123336486,0,0,4302,721
0.568,5.114,91.477,2.841,0,0,61440,298620,123345378,0,0,4670,729
0,6.433,93.567,0,0,0,0,283640,123326112,0,0,4469,649
1.149,3.448,95.402,0,0,0,0,281960,123337968,0,0,4288,714
