"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-aegis128l-we-1500-1500-dstat.csv",,,,"Date:","01 Nov 2019 03:40:32 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.858,39.546,58.308,0.288,0,39525.460,59922.008,0,0,16.672,69.506,5986.832,893.329
2.809,15.730,81.461,0,0,0,0,276000,275840,0,0,5614,3794
3.889,12.222,83.889,0,0,0,0,312480,312480,0,0,5013,4196
2.260,15.254,82.486,0,0,0,36864,276960,276960,0,0,5645,3785
1.744,13.953,84.302,0,0,0,0,276000,276160,0,0,5634,3790
2.247,15.169,80.337,2.247,0,0,49152,272562,272512,0,0,5547,3722
2.326,12.791,84.884,0,0,0,0,276640,276800,0,0,5622,3763
4.571,12.571,82.857,0,0,0,0,276640,276480,0,0,5630,3762
2.874,13.793,83.333,0,0,0,0,276960,276960,0,0,5631,3764
1.714,14.857,83.429,0,0,0,0,276160,276160,0,0,5617,3760
2.286,14.286,82.857,0.571,0,0,12288,274720,274880,0,0,5597,3742
2.825,15.254,81.921,0,0,0,0,275360,275200,0,0,5595,3724
4.469,13.966,81.564,0,0,0,0,273920,274080,0,0,5586,3741
3.352,15.084,81.564,0,0,0,0,273760,273600,0,0,5566,3724
1.183,12.426,86.391,0,0,0,0,272480,272640,0,0,5525,3696
1.685,16.292,81.461,0.562,0,0,12288,269760,269600,0,0,5495,3660
2.747,16.484,80.769,0,0,0,0,270880,270880,0,0,5504,3671
2.825,14.124,83.051,0,0,0,0,269920,269920,0,0,5496,3676
3.371,14.607,82.022,0,0,0,0,268480,268640,0,0,5472,3658
2.235,12.291,85.475,0,0,0,69632,307680,307520,0,0,4846,4109
4.444,13.333,80.556,1.667,0,0,12288,263360,263360,0,0,5382,3632
2.793,15.084,82.123,0,0,0,0,266560,266720,0,0,5456,3637
1.143,14.857,84,0,0,0,0,265920,266030,0,0,5426,3627
2.825,14.124,83.051,0,0,0,0,265760,265600,0,0,5411,3611
1.136,15.341,83.523,0,0,0,28672,265920,266080,0,0,5436,3618
3.297,15.385,79.670,1.648,0,0,45056,261120,260960,0,0,5337,3577
2.778,15,82.222,0,0,0,0,264640,264800,0,0,5409,3609
2.762,13.812,83.425,0,0,0,0,292960,292800,0,0,4961,3920
2.793,14.525,82.682,0,0,0,0,265120,265120,0,0,5403,3598
2.809,14.045,83.146,0,0,0,4096,264480,264640,0,0,5416,3629
2.703,14.595,81.081,1.622,0,0,24576,460352,460192,0,0,4561,3641
2.260,14.124,83.616,0,0,0,0,446112,446400,0,0,5099,3450
3.468,10.405,86.127,0,0,0,0,447840,447840,0,0,5082,3405
2.210,9.392,88.398,0,0,0,0,525600,525312,0,0,4089,3866
3.371,12.921,83.708,0,0,0,3559424,448416,448416,0,0,5113,3423
2.312,10.983,85.549,1.156,0,0,28672,435456,435456,0,0,4965,3313
2.841,12.500,84.659,0,0,0,0,443232,443232,0,0,5048,3367
2.762,14.365,82.873,0,0,0,0,448992,448992,0,0,5122,3422
2.247,14.045,83.708,0,0,0,0,436032,436032,0,0,4960,3306
2.260,12.994,84.746,0,0,0,0,440640,440640,0,0,4983,3329
2.857,11.429,84.571,1.143,0,0,12288,436896,436896,0,0,4960,3315
3.825,14.208,81.967,0,0,0,0,443808,443808,0,0,5043,3367
3.315,14.365,82.320,0,0,0,0,441792,441792,0,0,5032,3366
2.210,14.917,82.873,0,0,0,0,441216,441216,0,0,5010,3342
2.747,14.835,82.418,0,0,0,0,439282,439282,0,0,5009,3321
3.191,12.766,83.511,0.532,0,0,12288,509184,509472,0,0,4290,3774
2.809,13.483,83.708,0,0,0,0,442080,441792,0,0,5050,3381
3.352,12.849,83.799,0,0,0,0,438624,438912,0,0,5013,3341
2.247,13.483,84.270,0,0,0,0,432576,432288,0,0,4921,3255
2.747,14.835,82.418,0,0,0,0,437760,438048,0,0,5000,3309
2.793,12.849,83.799,0.559,0,0,12288,452736,452448,0,0,4868,3443
