"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-aesgcm-e-jumbo-Ethernet-dstat.csv",,,,"Date:","01 Nov 2019 01:16:34 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.945,37.618,60.122,0.315,0,49784.746,72001.991,0,0,21.867,82.593,6385.242,932.777
1.149,54.598,44.253,0,0,0,0,107380,36854066,0,0,16946,362
0,57.803,42.197,0,0,0,0,99852,38129916,0,0,18025,346
1.143,57.143,41.143,0.571,0,0,57344,99640,38129058,0,0,17960,358
0,57.803,42.197,0,0,0,0,98474,38114376,0,0,17992,346
0,57.471,42.529,0,0,0,0,99216,38147010,0,0,18004,320
1.149,56.897,41.954,0,0,0,0,99216,38149422,0,0,18107,362
1.143,57.143,41.714,0,0,0,0,97944,38160996,0,0,18084,340
0.575,57.471,41.954,0,0,0,12288,97202,38129916,0,0,18007,374
1.143,57.143,41.714,0,0,0,0,99004,38137686,0,0,18006,333
0.521,51.562,47.917,0,0,0,0,100170,38093316,0,0,6030,364
2.778,42.778,54.444,0,0,0,0,46535,29186310,0,0,12065,405
0,57.471,42.529,0,0,0,0,44096,38136132,0,0,18121,327
1.070,53.476,44.920,0.535,0,0,40960,49714,37993860,0,0,11004,377
0.503,49.749,49.749,0,0,0,0,43036,38355408,0,0,1341,388
0.995,49.254,49.751,0,0,0,0,43460,38342976,0,0,1298,378
1.005,49.246,49.749,0,0,0,983040,43460,38340564,0,0,1320,394
0.503,49.749,49.749,0,0,0,0,43142,38377164,0,0,1237,361
0.552,55.249,42.541,1.657,0,0,20480,47382,38009400,0,0,14581,368
0.571,57.143,42.286,0,0,0,0,43778,38160996,0,0,18146,325
0.571,57.143,42.286,0,0,0,0,44096,38181198,0,0,18151,331
3.333,43.889,52.778,0,0,0,20480,80027,29208549,0,0,13512,424
0,58.140,41.860,0,0,0,0,92326,38139240,0,0,17946,338
2.260,56.497,40.113,1.130,0,0,40960,95930,38112822,0,0,17880,385
0,58.140,41.860,0,0,0,0,93386,38122146,0,0,17928,380
1.143,57.143,41.714,0,0,0,0,90736,38126808,0,0,17946,355
1.143,57.143,41.714,0,0,0,4096,87238,38129916,0,0,18002,374
0.578,57.803,41.618,0,0,0,0,86390,38143902,0,0,17854,344
