"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-orig-jumbo-without-encryption-dstat.csv",,,,"Date:","31 Oct 2019 20:17:22 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.328,24.152,73.015,0.504,0,141058.253,162652.705,0,0,58.275,234.357,5419.373,1142.462
1.685,53.933,44.382,0,0,0,0,151268,63051676,0,0,7673,372
0.552,55.249,44.199,0,0,0,0,165138,65553842,0,0,4464,316
1.630,54.348,42.935,1.087,0,0,53248,165036,65517496,0,0,4493,361
0.552,55.249,44.199,0,0,0,0,164832,65578002,0,0,4465,323
0.552,55.249,44.199,0,0,0,0,165240,65604788,0,0,4483,332
1.099,54.945,43.956,0,0,0,0,164934,65585696,0,0,4489,325
0,55.249,44.751,0,0,0,0,165444,65630006,0,0,4496,324
1.099,54.945,43.407,0.549,0,0,12288,165444,65618246,0,0,4509,342
0.552,55.249,44.199,0,0,0,0,165444,65613438,0,0,4493,329
0.549,54.945,44.505,0,0,0,0,164934,65615202,0,0,4500,335
2.174,42.391,55.435,0,0,0,0,63456,49910493,0,0,3623,418
0,54.945,45.055,0,0,0,0,69462,66228488,0,0,4504,331
2.151,53.763,43.011,1.075,0,0,102400,69258,66103634,0,0,4530,368
0,54.945,45.055,0,0,0,0,68952,66170284,0,0,4509,343
0.546,54.645,44.809,0,0,0,0,69360,66123088,0,0,4512,340
0.546,54.645,44.809,0,0,0,0,69258,66142384,0,0,4510,345
0,54.945,45.055,0,0,0,0,69054,66139284,0,0,4504,339
1.093,54.645,43.716,0.546,0,0,16384,69258,66072634,0,0,4523,363
1.087,54.348,44.565,0,0,0,0,69360,66171834,0,0,4509,349
1.093,54.645,44.262,0,0,0,0,76002,65710536,0,0,5617,348
1.117,45.251,53.631,0,0,0,0,135364,50551279,0,0,7797,404
1.093,54.098,44.809,0,0,0,0,163302,65241902,0,0,4292,344
2.970,47.525,48.515,0.990,0,0,36864,171870,65160476,0,0,1773,410
1.508,48.744,49.749,0,0,0,512000,170136,65050652,0,0,1758,376
1.508,48.744,49.749,0,0,0,0,170646,65015002,0,0,1705,369
1,49,50,0,0,0,0,171054,65026010,0,0,1702,359
1.500,49,49.500,0,0,0,0,170034,65039050,0,0,1707,355
2.513,47.739,49.749,0,0,0,0,169728,65063006,0,0,1726,377
1.053,51.579,46.842,0.526,0,0,20480,172992,65093340,0,0,5891,366
1.093,54.645,44.262,0,0,0,0,164628,65677740,0,0,4484,328
1.639,44.262,54.098,0,0,0,0,139647,50416393,0,0,3858,392
0.500,49.500,50,0,0,0,0,174726,65042172,0,0,1730,364
1.005,49.246,49.749,0,0,0,0,176766,65112100,0,0,1759,373
1.500,48.500,49,1,0,0,73728,179112,65073246,0,0,1757,399
1.500,49,49.500,0,0,0,0,175338,65122542,0,0,1760,372
1.005,49.246,49.749,0,0,0,0,174726,65134330,0,0,1732,351
0.995,49.254,49.751,0,0,0,0,179418,65120136,0,0,1754,365
0.505,49.495,50,0,0,0,0,180234,65111244,0,0,1754,371
1.493,48.756,48.756,0.995,0,0,20480,180336,65114752,0,0,1747,379
0,56.180,43.820,0,0,0,0,167382,65250090,0,0,9743,354
1.093,44.262,54.645,0,0,0,0,130569,50002937,0,0,3846,412
0.559,55.866,43.575,0,0,0,0,160140,65929468,0,0,4512,353
0.552,55.249,44.199,0,0,0,0,165342,65677202,0,0,4509,345
2.525,48.485,48.990,0,0,0,0,174216,65066500,0,0,2081,356
1.005,49.246,49.246,0.503,0,0,40960,174012,65155984,0,0,1801,418
1.005,49.246,49.749,0,0,0,0,171360,65217522,0,0,1754,369
1.493,48.756,49.751,0,0,0,0,169932,65201160,0,0,1755,356
1.005,49.246,49.749,0,0,0,0,169830,65204260,0,0,1749,363
1.500,48.500,50,0,0,0,0,170136,65224410,0,0,1707,360
1.508,48.744,48.744,1.005,0,0,12288,171768,65208788,0,0,1764,406
2.500,43.500,54,0,0,0,0,156466,57592734,0,0,1578,395
1.657,49.171,49.171,0,0,0,0,152400,58199358,0,0,4060,376
0.549,54.945,44.505,0,0,0,0,161670,65641878,0,0,4486,358
1.015,49.746,49.239,0,0,0,16384,173604,64975764,0,0,2065,361
1.117,55.866,43.017,0,0,0,0,165240,65210728,0,0,9458,355
0.556,55,43.889,0.556,0,0,40960,163506,65596788,0,0,4502,329
0,55.249,44.751,0,0,0,0,164526,65564980,0,0,4493,325
1.493,49.254,49.254,0,0,0,0,178194,64916454,0,0,1753,374
2.010,48.241,49.749,0,0,0,0,179520,65044352,0,0,1737,366
1,49,50,0,0,0,0,180336,65133556,0,0,1756,366
1,49,49,1,0,0,12288,179112,65091642,0,0,1742,370
1.657,43.094,55.249,0,0,0,0,133936,49852978,0,0,7532,405
0.549,54.945,44.505,0,0,0,0,162486,65642128,0,0,4511,360
0,55.556,44.444,0,0,0,0,161364,65579720,0,0,4504,337
0.549,54.945,44.505,0,0,0,0,160242,65584510,0,0,4512,348
1.036,51.295,47.668,0,0,0,0,172278,65161128,0,0,2869,348
1.990,48.756,48.259,0.995,0,0,40960,177990,65187806,0,0,1764,386
1.990,48.259,49.751,0,0,0,0,176664,65176260,0,0,1759,385
2.020,47.980,50,0,0,0,0,175950,65138206,0,0,1756,404
0.532,53.191,46.277,0,0,0,8192,176256,65004314,0,0,7404,362
0,55.556,44.444,0,0,0,0,159222,65631910,0,0,4501,321
3.763,40.860,54.839,0.538,0,0,20480,90280,49278922,0,0,4743,405
1,49.500,49.500,0,0,0,0,71400,65213460,0,0,1816,405
2,48,50,0,0,0,0,132906,65348690,0,0,1751,395
2,48.500,49.500,0,0,0,40960,165648,65340560,0,0,1786,421
1.500,49,49.500,0,0,0,0,164322,65336764,0,0,1709,385
1.010,48.990,50,0,0,0,0,155958,65400314,0,0,1735,402
1,49,49,1,0,0,49152,154938,65349164,0,0,1756,409
1.500,49,49.500,0,0,0,0,155652,65460764,0,0,1738,414
1.500,48.500,50,0,0,0,0,155244,65492618,0,0,1774,407
2,48.500,49.500,0,0,0,0,155346,65442164,0,0,1766,395
