"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-orig-jumbo-without-encryption-1500-9000-dstat.csv",,,,"Date:","28 Oct 2019 16:27:45 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.270,0.067,99.600,0.063,0,6795.372,443797.310,0,0,0,0,1678.873,297.548
3.500,2,94.500,0,0,0,40960,2146092,2146092,0,0,28559,27656
3.713,2.723,93.564,0,0,0,0,2150304,2150460,0,0,28605,27672
3,2.500,94.500,0,0,0,0,2152956,2152956,0,0,28651,27699
2.519,3.023,94.458,0,0,0,0,3088448,3088576,0,0,30417,29426
3.258,3.008,93.734,0,0,0,0,4619828,4619934,0,0,33576,32628
3.769,2.513,93.719,0,0,0,24576,4615485,4615485,0,0,33550,32644
3.769,2.513,93.719,0,0,0,0,5757227,5757340,0,0,33075,32108
3.769,2.513,93.719,0,0,0,0,8463960,8464103,0,0,32386,31460
4.750,2,93.250,0,0,0,1363968,8482860,8482860,0,0,32718,31654
3.266,3.015,93.719,0,0,0,0,9147388,9146848,0,0,31995,31004
3.769,2.010,93.970,0.251,0,0,28672,14678556,14679608,0,0,28959,28028
3.008,3.258,93.734,0,0,0,0,14414504,14413452,0,0,28439,27479
4.010,2.005,93.985,0,0,0,0,14360852,14361904,0,0,28340,27409
4.229,2.488,93.284,0,0,0,94208,16039604,16039980,0,0,27355,26373
4.218,2.481,93.300,0,0,0,0,18095616,18094188,0,0,26382,25459
3.491,2.993,93.516,0,0,0,24576,18074196,18075624,0,0,26358,25410
2.296,1.786,95.918,0,0,0,0,17611524,17611524,0,0,25701,24737
3.778,1.511,94.710,0,0,0,0,17807468,17806040,0,0,25375,24406
2.792,1.777,95.431,0,0,0,24576,18142262,18143776,0,0,25011,24068
3.518,1.759,94.724,0,0,0,0,18098356,18098356,0,0,24945,23979
3.778,1.511,94.710,0,0,0,36864,18058992,18057584,0,0,24896,23968
