"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570636709-1-macsec-aegis128l-e-1500-dstat.csv",,,,"Date:","09 Oct 2019 18:08:24 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.828,10.844,85.101,1.227,0,109264.219,59427.517,0,0,0,0,2673.450,1370.149
0.562,52.247,47.191,0,0,0,0,111514,66568074,0,0,5399,382
0.552,55.249,43.094,1.105,0,0,65536,110346,69452684,0,0,4524,371
0.552,55.249,44.199,0,0,0,0,111830,69223412,0,0,4507,391
0.552,55.249,44.199,0,0,0,0,109604,69921014,0,0,4497,351
1.099,54.945,43.956,0,0,0,0,110982,69886210,0,0,4475,347
0.552,55.249,44.199,0,0,0,0,109392,69876992,0,0,4482,359
0.552,55.249,43.646,0.552,0,0,12288,107166,69872438,0,0,4487,355
1.099,54.945,43.956,0,0,0,0,110028,69942266,0,0,4467,326
0.552,55.249,44.199,0,0,0,0,110876,69939230,0,0,4481,355
0.556,55.556,43.889,0,0,0,0,109392,69930122,0,0,4490,337
