"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570716684-macsec-aesgcm-we-frag-jumbo-1500-dstat.csv",,,,"Date:","10 Oct 2019 21:48:59 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.414,33.486,64.820,0.280,0,7419.770,21682.355,0,0,0,0,5933.336,769.647
3.315,14.365,82.320,0,0,0,0,241120,241120,0,0,4956,3288
3.333,14.444,82.222,0,0,0,57344,241920,241920,0,0,4993,3300
3.315,14.365,82.320,0,0,0,0,242560,242720,0,0,4967,3283
2.260,14.124,83.616,0,0,0,0,241440,241280,0,0,4940,3269
1.734,11.561,84.971,1.734,0,0,45056,240082,240082,0,0,4891,3257
2.793,13.966,83.240,0,0,0,0,243520,243630,0,0,5010,3356
2.273,13.068,84.659,0,0,0,0,242560,242560,0,0,4953,3286
2.825,12.994,84.181,0,0,0,0,239840,240000,0,0,4907,3246
2.286,12.571,85.143,0,0,0,0,239040,239040,0,0,4908,3270
4.324,14.595,80,1.081,0,0,12288,235520,235520,0,0,4869,3227
4,10.857,85.143,0,0,0,0,237280,237120,0,0,4882,3251
2.273,12.500,85.227,0,0,0,32768,238720,238880,0,0,4906,3266
3.261,15.761,80.978,0,0,0,0,237120,236960,0,0,4885,3227
2.809,13.483,83.708,0,0,0,0,234880,235040,0,0,4855,3219
1.685,14.607,82.584,1.124,0,0,36864,232960,232800,0,0,4806,3189
2.809,13.483,83.708,0,0,0,0,233440,233600,0,0,4816,3211
1.117,15.084,83.799,0,0,0,0,235840,235840,0,0,4855,3213
2.210,15.470,82.320,0,0,0,0,233920,233920,0,0,4821,3185
3.468,10.405,86.127,0,0,0,0,235680,235520,0,0,4841,3233
2.247,13.483,83.146,1.124,0,0,12288,229760,229760,0,0,4737,3135
2.809,12.921,84.270,0,0,0,0,235520,235520,0,0,4850,3230
2.762,13.812,83.425,0,0,0,24576,247840,247840,0,0,4744,3355
2.299,11.494,86.207,0,0,0,0,237760,237920,0,0,4887,3247
2.273,13.068,84.659,0,0,0,0,235680,235790,0,0,4864,3223
2.247,11.236,84.270,2.247,0,0,36864,249280,249280,0,0,4347,3356
4.348,13.587,82.065,0,0,0,0,243840,243680,0,0,4683,3324
2.198,14.835,82.967,0,0,0,4096,244160,244320,0,0,4675,3303
2.778,13.889,83.333,0,0,0,0,238400,238400,0,0,4667,3239
2.762,14.365,82.873,0,0,0,0,232640,232640,0,0,4797,3210
1.714,12,84.571,1.714,0,0,12288,233202,233042,0,0,4789,3204
5.028,11.732,83.240,0,0,0,0,233760,233760,0,0,4823,3235
3.352,13.408,83.240,0,0,0,0,232320,232320,0,0,4781,3206
3.261,13.587,83.152,0,0,0,2957312,253280,253280,0,0,4483,3437
3.911,13.966,82.123,0,0,0,0,315136,315136,0,0,4601,3086
2.703,12.973,82.703,1.622,0,0,32768,486432,486432,0,0,4097,3621
3.911,12.291,83.799,0,0,0,0,426240,426240,0,0,4483,3222
3.955,12.994,83.051,0,0,0,0,394272,394272,0,0,4544,3016
3.279,13.661,77.049,6.011,0,0,73728,437842,438130,0,0,4459,3321
2.874,12.644,84.483,0,0,0,0,401472,401184,0,0,4608,3070
3.333,14.444,80.556,1.667,0,0,12288,391392,391392,0,0,4514,2985
3.867,14.917,81.215,0,0,0,0,396576,396576,0,0,4570,3062
3.279,16.940,79.781,0,0,0,0,387360,387360,0,0,4481,2941
5.376,16.129,78.495,0,0,0,0,402048,402048,0,0,4662,3104
3.867,14.917,81.215,0,0,0,0,393120,393408,0,0,4546,3009
4.396,14.835,80.220,0.549,0,0,16384,392544,392544,0,0,4533,2993
3.911,14.525,81.564,0,0,0,0,393120,392832,0,0,4554,3029
2.235,15.642,82.123,0,0,0,0,390816,391104,0,0,4501,2972
5.618,11.798,82.584,0,0,0,1384448,393120,392832,0,0,4546,3000
4.469,13.408,82.123,0,0,0,0,391968,392256,0,0,4525,3009
4.255,17.553,77.128,1.064,0,0,32768,383616,383328,0,0,4457,2933
2.809,14.607,82.584,0,0,0,0,392832,392832,0,0,4539,3017
3.409,13.068,83.523,0,0,0,0,396576,396576,0,0,4551,3012
3.333,15,81.667,0,0,0,0,398592,398592,0,0,4583,3040
4.520,12.429,83.051,0,0,0,0,387936,387936,0,0,4459,2961
2.703,17.838,78.378,1.081,0,0,12288,385632,385920,0,0,4475,2958
3.825,15.847,77.596,2.732,0,0,69632,410400,410510,0,0,4420,3261
2.778,15.556,81.667,0,0,0,0,393202,392914,0,0,4531,2995
4.372,15.847,79.781,0,0,0,0,386496,386496,0,0,4474,2945
4.494,12.921,82.584,0,0,0,0,391392,391392,0,0,4516,3015
3.911,13.966,82.123,0,0,0,0,391392,391392,0,0,4508,2983
1.163,13.372,84.884,0.581,0,0,20480,384480,384480,0,0,4430,2952
4.972,14.365,80.663,0,0,0,0,386208,386208,0,0,4452,2947
3.763,17.204,79.032,0,0,0,1318912,391680,391680,0,0,4529,2983
3.825,16.393,79.781,0,0,0,0,382176,382464,0,0,4412,2926
4,12.571,83.429,0,0,0,0,387936,387936,0,0,4464,2948
3.911,13.966,79.888,2.235,0,0,20480,377856,377568,0,0,4363,2895
4.918,14.754,80.328,0,0,0,0,386208,386496,0,0,4468,2949
1.734,13.873,84.393,0,0,0,0,383904,383904,0,0,4423,2922
3.297,15.934,80.769,0,0,0,0,395424,395424,0,0,4539,3038
5.348,16.578,78.075,0,0,0,0,456384,456096,0,0,4492,3022
3.784,13.514,82.162,0.541,0,0,20480,826336,826336,0,0,4175,3310
5.405,16.216,78.378,0,0,0,0,730592,731136,0,0,4479,2955
4.762,17.989,77.249,0,0,0,0,730048,730048,0,0,4487,2955
5.464,10.383,84.153,0,0,0,0,844832,844288,0,0,4160,3397
4.444,14.444,81.111,0,0,0,0,743648,743648,0,0,4546,2993
4.813,17.112,77.540,0.535,0,0,12288,729586,729586,0,0,4475,2961
3.889,15.556,80.556,0,0,0,0,722432,722976,0,0,4399,2909
2.235,16.760,81.006,0,0,0,0,730048,730048,0,0,4451,2936
2.186,18.033,79.781,0,0,0,8192,733856,733856,0,0,4502,2990
3.315,16.575,80.110,0,0,0,0,726240,726240,0,0,4426,2915
2.793,9.497,85.475,2.235,0,0,20480,842112,841568,0,0,3882,3338
2.139,19.786,78.075,0,0,0,0,734944,734944,0,0,4504,2960
4.372,16.393,79.235,0,0,0,0,731680,731680,0,0,4478,2936
3.846,15.934,76.374,3.846,0,0,81920,731762,731762,0,0,4508,2964
5.435,15.217,79.348,0,0,0,0,728960,729504,0,0,4471,2958
4.787,18.085,76.064,1.064,0,0,12288,720256,720256,0,0,4441,2970
4.255,18.085,77.660,0,0,0,0,736576,736576,0,0,4523,2971
2.222,16.667,81.111,0,0,0,0,736576,736032,0,0,4493,2963
6.186,19.072,74.742,0,0,0,8192,721344,721344,0,0,4461,2937
4.372,16.393,79.235,0,0,0,0,722976,723520,0,0,4434,2908
3.209,18.717,77.005,1.070,0,0,12288,727328,727328,0,0,4456,2944
4.891,15.761,79.348,0,0,0,0,731136,731136,0,0,4472,2957
3.243,15.135,81.622,0,0,0,0,801856,801312,0,0,4208,3197
5.914,14.516,79.570,0,0,0,2637824,760512,760512,0,0,4387,3111
2.778,10,87.222,0,0,0,0,869312,869856,0,0,3879,3435
4.444,13.889,80,1.667,0,0,20480,713184,713184,0,0,4356,2866
3.279,17.486,79.235,0,0,0,0,733856,733856,0,0,4504,2958
2.222,16.111,81.667,0,0,0,0,742016,741472,0,0,4524,2990
3.867,8.287,87.845,0,0,0,0,894880,895424,0,0,3796,3532
5.236,18.325,76.440,0,0,0,0,732224,732224,0,0,4495,2944
5.435,15.761,78.261,0.543,0,0,12288,726240,726240,0,0,4454,2952
2.299,11.494,86.207,0,0,0,0,773024,772480,0,0,4244,3114
3.279,9.836,86.885,0,0,0,0,893248,893248,0,0,3790,3509
4.865,16.757,78.378,0,0,0,4096,731136,731136,0,0,4483,2962
2.778,16.111,81.111,0,0,0,0,731680,731680,0,0,4468,2952
4.396,15.934,78.571,1.099,0,0,12288,847840,847840,0,0,4229,2955
4.420,15.470,80.110,0,0,0,0,1342176,1342176,0,0,4227,2739
2.210,18.785,79.006,0,0,0,0,1268256,1269312,0,0,4023,2604
4.396,16.484,79.121,0,0,0,0,1275648,1274592,0,0,4069,2662
4.918,16.940,78.142,0,0,0,0,1286208,1286208,0,0,4091,2657
3.704,17.989,77.249,1.058,0,0,16384,1410816,1411872,0,0,4138,2897
5.056,13.483,81.461,0,0,0,0,1346482,1345426,0,0,4219,2744
5.978,15.217,78.804,0,0,0,0,1326336,1326336,0,0,4191,2699
4.918,16.393,78.689,0,0,0,4096,1316832,1316832,0,0,4165,2704
4.469,14.525,81.006,0,0,0,0,1346482,1346482,0,0,4223,2739
3.409,14.773,80.114,1.705,0,0,12288,1248192,1249248,0,0,3962,2595
4.278,18.182,77.540,0,0,0,0,1312608,1311552,0,0,4150,2692
5.028,14.525,80.447,0,0,0,0,1311552,1311552,0,0,4131,2677
5.464,15.847,78.689,0,0,0,0,1304160,1305216,0,0,4140,2714
2.857,14.857,82.286,0,0,0,0,1312608,1312718,0,0,4121,2685
3.804,16.848,78.804,0.543,0,0,12288,1350624,1349568,0,0,4251,2742
5.319,18.617,76.064,0,0,0,0,1292544,1293600,0,0,4113,2675
4.891,16.304,78.804,0,0,0,0,1306272,1306272,0,0,4110,2660
4.324,17.297,78.378,0,0,0,0,1342176,1342176,0,0,4214,2713
5.233,11.047,83.721,0,0,0,2539520,1303104,1302048,0,0,4086,2682
3.297,17.033,78.022,1.648,0,0,20480,1296768,1296768,0,0,4084,2669
3.867,16.022,80.110,0,0,0,0,1347456,1347456,0,0,4207,2723
3.804,17.935,78.261,0,0,0,0,1285152,1286208,0,0,4056,2632
4.891,17.391,77.717,0,0,0,0,1264032,1264032,0,0,3995,2612
3.804,17.391,78.804,0,0,0,12288,1349568,1349568,0,0,4232,2742
3.911,15.084,79.330,1.676,0,0,12288,1297824,1297824,0,0,4083,2664
6.077,14.365,79.558,0,0,0,0,1276704,1276704,0,0,4039,2612
3.846,17.582,78.571,0,0,0,0,1278816,1277760,0,0,4035,2611
6.044,15.934,78.022,0,0,0,0,1239744,1239744,0,0,3947,2591
2.732,17.486,79.781,0,0,0,0,1354848,1354848,0,0,4247,2739
2.273,15.909,80.682,1.136,0,0,12288,1286208,1287264,0,0,4057,2654
3.784,18.378,77.838,0,0,0,0,1298880,1298880,0,0,4106,2673
4.762,18.519,76.720,0,0,0,0,1312608,1312608,0,0,4140,2658
5.348,17.647,77.005,0,0,0,0,1305216,1304160,0,0,4119,2671
4,13.714,82.286,0,0,0,4096,1294656,1295712,0,0,4061,2634
2.778,17.222,78.889,1.111,0,0,12288,1266226,1266226,0,0,4003,2596
2.778,17.778,79.444,0,0,0,0,1271424,1271424,0,0,4039,2629
4.972,14.917,80.110,0,0,0,0,1327392,1327392,0,0,4155,2681
4.945,15.385,79.670,0,0,0,0,1342176,1341120,0,0,4214,2743
4.094,11.696,84.211,0,0,0,8192,1289376,1290432,0,0,4045,2630
3.825,16.393,78.142,1.639,0,0,20480,1534368,1533312,0,0,4264,3202
4.469,17.318,78.212,0,0,0,0,1593816,1593816,0,0,3747,2471
2.941,12.353,84.706,0,0,0,0,1685464,1685464,0,0,3649,2564
3.315,19.337,77.348,0,0,0,0,1586656,1586656,0,0,3752,2446
1.242,11.801,86.957,0,0,0,0,1606704,1608136,0,0,3721,2440
3.593,11.976,83.234,1.198,0,0,16384,1618160,1618160,0,0,3769,2507
2.924,14.620,82.456,0,0,0,0,1618160,1616728,0,0,3770,2471
2.907,15.698,81.395,0,0,0,0,1595248,1595248,0,0,3729,2435
1.156,12.139,86.705,0,0,0,0,1914666,1914666,0,0,3557,2883
1.685,9.551,88.764,0,0,0,2375680,2166616,2166616,0,0,3438,3238
4.444,15.556,78.333,1.667,0,0,20480,1663984,1663984,0,0,3641,2555
4.167,12.500,83.333,0,0,0,0,1606704,1606704,0,0,3754,2452
4.420,17.680,77.901,0,0,0,0,1641072,1641072,0,0,3857,2497
3.867,18.232,77.901,0,0,0,0,1639640,1641072,0,0,3874,2522
7.065,16.304,76.630,0,0,0,0,1639640,1639640,0,0,3867,2511
5.348,19.251,74.866,0.535,0,0,12288,1616728,1616728,0,0,3835,2498
4.945,17.582,77.473,0,0,0,0,1622456,1622456,0,0,3818,2482
4.891,19.022,76.087,0,0,0,0,1609568,1608136,0,0,3792,2447
5.155,22.680,72.165,0,0,0,0,1611000,1611000,0,0,3832,2464
3.067,10.429,86.503,0,0,0,0,1605272,1605272,0,0,3729,2438
6.011,17.486,75.956,0.546,0,0,12288,1596680,1598112,0,0,3788,2478
3.550,13.609,82.840,0,0,0,0,1590952,1589520,0,0,3723,2449
4.839,19.355,75.806,0,0,0,0,1605272,1605272,0,0,3803,2453
6.091,23.350,70.558,0,0,0,0,1592384,1593816,0,0,3825,2478
4.118,12.941,82.941,0,0,0,0,1621106,1621106,0,0,3785,2473
4.624,12.139,82.659,0.578,0,0,12288,1745608,1744176,0,0,3724,2674
2.890,12.717,84.393,0,0,0,0,2169480,2169480,0,0,4739,3287
3.371,16.292,80.337,0,0,0,0,1958976,1958976,0,0,4540,2969
5.319,20.213,74.468,0,0,0,0,1605272,1606704,0,0,3793,2476
5.085,15.819,79.096,0,0,0,0,1600976,1599544,0,0,3742,2435
3.665,22.513,71.728,2.094,0,0,16384,1568040,1568040,0,0,3735,2458
3.889,17.778,78.333,0,0,0,0,1616728,1616728,0,0,3776,2469
5.263,13.450,81.287,0,0,0,0,1560880,1560880,0,0,3649,2382
6.436,23.762,69.802,0,0,0,0,1600976,1600976,0,0,3794,2446
2.381,14.881,82.738,0,0,0,0,1565176,1566608,0,0,3681,2405
4.545,15.341,78.409,1.705,0,0,36864,1583792,1582360,0,0,3749,2462
4.865,19.459,75.676,0,0,0,0,1588088,1588088,0,0,3761,2433
3.681,10.429,85.890,0,0,0,0,1602408,1602408,0,0,3734,2439
4.545,15.909,79.545,0,0,0,0,1595248,1595248,0,0,3759,2442
3.846,19.231,76.923,0,0,0,0,1559448,1559448,0,0,3685,2371
3.175,22.751,72.487,1.587,0,0,2277376,1537968,1539400,0,0,3686,2396
5.028,16.201,78.771,0,0,0,0,1611000,1609568,0,0,3811,2478
2.339,16.374,81.287,0,0,0,0,1562312,1562312,0,0,3669,2383
5.584,23.858,70.558,0,0,0,0,1556584,1556584,0,0,3731,2408
4.520,18.079,77.401,0,0,0,0,1501004,1502522,0,0,3504,2306
5.528,25.628,68.342,0.503,0,0,16384,1548360,1548360,0,0,3538,2283
4.020,27.136,68.844,0,0,0,0,1546924,1545406,0,0,3531,2268
5.946,20,74.054,0,0,0,0,1555950,1557468,0,0,3516,2269
3.704,23.810,72.487,0,0,0,0,1548360,1548360,0,0,3515,2271
3.243,22.703,74.054,0,0,0,0,1548360,1546842,0,0,3492,2253
6.742,15.730,76.404,1.124,0,0,12288,1537734,1539252,0,0,3474,2267
5.946,20,74.054,0,0,0,0,1543806,1542288,0,0,3501,2262
4.739,30.332,64.929,0,0,0,0,1537816,1537816,0,0,3532,2251
3.980,27.861,68.159,0,0,0,0,1533180,1533180,0,0,3503,2263
2.632,25.263,72.105,0,0,0,0,1536216,1537734,0,0,3474,2238
5.682,15.909,77.273,1.136,0,0,12288,1537734,1536216,0,0,3471,2281
6.593,18.132,75.275,0,0,0,0,1543806,1543806,0,0,3471,2254
3.398,30.097,66.505,0,0,0,0,1533180,1534698,0,0,3494,2231
5.405,20.541,74.054,0,0,0,0,1542288,1542288,0,0,3475,2246
4.865,21.081,74.054,0,0,0,0,1536216,1536216,0,0,3464,2223
3.590,26.154,69.744,0.513,0,0,12288,1537734,1536216,0,0,3500,2297
6.218,22.798,70.984,0,0,0,8192,1542288,1542288,0,0,3507,2250
4.444,19.444,76.111,0,0,0,0,1555950,1557468,0,0,3509,2271
8.416,23.762,67.822,0,0,0,0,1537734,1537734,0,0,3532,2260
5.769,28.365,65.865,0,0,0,0,1531662,1530144,0,0,3526,2228
3.684,24.211,71.053,1.053,0,0,20480,1505856,1505856,0,0,3440,2233
5.848,14.035,80.117,0,0,0,0,1537734,1537734,0,0,3463,2237
5.618,17.416,76.966,0,0,0,0,1534698,1534698,0,0,3450,2224
6.566,24.242,69.192,0,0,0,0,1534698,1534698,0,0,3515,2264
6.373,26.471,67.157,0,0,0,0,1531662,1531662,0,0,3525,2229
5.291,22.222,71.958,0.529,0,0,12288,1530144,1530144,0,0,3476,2244
4.255,22.872,72.872,0,0,0,2015232,1533180,1533180,0,0,3500,2273
6.077,18.232,75.691,0,0,0,0,1536216,1537734,0,0,3481,2243
4.396,20.879,74.725,0,0,0,0,1539252,1537734,0,0,3490,2264
6.701,22.680,70.619,0,0,0,0,1534698,1534698,0,0,3507,2229
5.263,28.708,64.593,1.435,0,0,20480,1507374,1507374,0,0,3491,2221
7.177,27.273,65.550,0,0,0,4096,1528626,1528626,0,0,3541,2261
5.056,17.978,76.966,0,0,0,0,1530144,1531662,0,0,3424,2220
