"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570637557-macsec-chachapoly-e-1500-1500-dstat.csv",,,,"Date:","10 Oct 2019 01:59:16 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.789,38.275,59.667,0.269,0,7896.015,25119.407,0,0,2.467,23.027,5776.062,864.100
3.297,12.637,82.967,1.099,0,0,36864,251840,251840,0,0,4540,3415
3.784,11.892,82.703,1.622,0,0,258048,264960,264960,0,0,4539,3581
4.469,10.615,84.916,0,0,0,0,249280,249440,0,0,4622,3387
2.222,12.778,85,0,0,0,0,258400,258350,0,0,4645,3485
1.630,13.043,85.326,0,0,0,0,277440,277440,0,0,4367,3721
2.747,10.440,85.714,1.099,0,0,65536,275602,275762,0,0,4306,3694
2.139,12.299,85.561,0,0,0,0,288640,288640,0,0,4159,3837
2.841,10.795,86.364,0,0,0,0,256000,255840,0,0,4683,3449
2.198,9.890,87.912,0,0,0,0,292960,293120,0,0,4095,3896
2.762,11.602,85.635,0,0,0,0,269120,269120,0,0,4637,3652
2.825,11.864,84.181,1.130,0,0,12288,248800,248800,0,0,4949,3384
2.222,14.444,83.333,0,0,0,0,247040,246880,0,0,5058,3361
2.793,13.966,83.240,0,0,0,0,246080,246240,0,0,5051,3346
2.732,15.847,81.421,0,0,0,0,248320,248160,0,0,5084,3377
0.578,13.295,86.127,0,0,0,0,249760,249760,0,0,5098,3381
3.409,11.932,83.523,1.136,0,0,12288,250720,250880,0,0,5130,3425
1.676,15.642,82.682,0,0,0,0,256480,256320,0,0,5239,3479
3.448,11.494,85.057,0,0,0,0,259680,259520,0,0,5289,3521
3.390,13.559,83.051,0,0,0,0,261920,262190,0,0,5345,3548
3.911,13.966,82.123,0,0,0,0,265440,265280,0,0,5411,3617
2.247,15.730,81.461,0.562,0,0,12288,266720,266880,0,0,5438,3606
4.945,14.835,80.220,0,0,0,0,268960,268800,0,0,5473,3626
2.339,12.865,84.795,0,0,0,0,270400,270400,0,0,5480,3646
3.488,11.628,84.884,0,0,0,0,271122,271122,0,0,5501,3650
2.825,14.689,82.486,0,0,0,0,269120,269120,0,0,5493,3635
3.371,14.607,80.899,1.124,0,0,12288,267520,267680,0,0,5451,3624
4.301,17.742,77.957,0,0,0,0,271040,271040,0,0,5532,3653
3.352,15.084,81.564,0,0,0,0,271840,271840,0,0,5543,3692
2.841,14.773,82.386,0,0,0,0,271922,271922,0,0,5534,3686
3.468,12.717,83.815,0,0,0,0,272800,272800,0,0,5547,3711
3.763,16.667,79.032,0.538,0,0,16384,378432,378272,0,0,4884,3287
2.793,13.408,83.799,0,0,0,0,416448,416736,0,0,4765,3177
5.556,11.667,82.778,0,0,0,3112960,412416,412128,0,0,4731,3196
2.247,13.483,84.270,0,0,0,0,418752,419040,0,0,4773,3172
2.198,15.385,82.418,0,0,0,0,420192,420192,0,0,4815,3192
3.763,15.054,79.570,1.613,0,0,20480,417024,417024,0,0,4779,3197
2.198,15.385,82.418,0,0,0,0,419904,419616,0,0,4809,3186
2.732,13.115,84.153,0,0,0,53248,493056,493344,0,0,4455,3670
2.841,13.636,83.523,0,0,0,0,462240,462240,0,0,5234,3456
2.825,12.429,84.746,0,0,0,0,422208,421920,0,0,4830,3233
3.279,14.208,80.874,1.639,0,0,12288,420768,421056,0,0,4826,3200
3.784,15.135,81.081,0,0,0,0,429120,429120,0,0,4922,3264
2.809,12.921,84.270,0,0,0,0,437760,437760,0,0,5003,3327
3.390,12.429,84.181,0,0,0,0,438912,438912,0,0,4985,3302
3.429,10.857,85.714,0,0,0,0,440640,440640,0,0,5015,3347
2.286,12.571,83.429,1.714,0,0,12288,445248,444960,0,0,5064,3363
3.352,13.408,83.240,0,0,0,0,452242,452530,0,0,5144,3412
2.825,14.124,83.051,0,0,0,0,454176,454176,0,0,5160,3430
3.390,12.429,84.181,0,0,0,0,450720,450432,0,0,5123,3389
3.261,15.761,80.978,0,0,0,0,457632,458030,0,0,5119,3478
2.210,15.470,81.215,1.105,0,0,12288,449280,449280,0,0,5132,3402
3.933,12.921,83.146,0,0,0,0,455328,455040,0,0,5179,3428
2.299,13.218,84.483,0,0,0,0,457632,457920,0,0,5201,3462
2.778,15,82.222,0,0,0,0,462322,462322,0,0,5250,3480
3.448,12.069,84.483,0,0,0,0,461664,461376,0,0,5232,3500
4,12,83.429,0.571,0,0,12288,458784,459072,0,0,5193,3468
2.793,15.084,82.123,0,0,0,0,463392,463104,0,0,5249,3503
4.420,14.365,81.215,0,0,0,0,462816,462816,0,0,5264,3521
2.312,12.717,84.971,0,0,0,0,462528,462816,0,0,5241,3481
1.695,15.254,83.051,0,0,0,0,463392,463392,0,0,5287,3545
1.724,13.218,83.908,1.149,0,0,12288,467136,466848,0,0,5238,3526
2.857,13.143,84,0,0,0,0,463392,463392,0,0,5262,3493
2.235,13.966,83.799,0,0,0,0,634976,634976,0,0,4653,3450
3.804,15.761,80.435,0,0,0,3010560,752896,753440,0,0,4423,3035
3.723,18.617,77.660,0,0,0,0,740384,739840,0,0,4539,2988
5.376,16.129,77.419,1.075,0,0,24576,723520,723520,0,0,4456,2933
4.762,17.989,77.249,0,0,0,0,731136,731680,0,0,4493,2960
3.646,20.312,76.042,0,0,0,0,728960,728416,0,0,4498,2947
2.717,17.935,79.348,0,0,0,8192,727954,727954,0,0,4469,2947
4.598,11.494,83.908,0,0,0,0,736576,736576,0,0,4482,2983
3.297,15.934,79.121,1.648,0,0,20480,720256,720256,0,0,4422,2921
4.278,17.647,78.075,0,0,0,0,727328,727328,0,0,4477,2957
5.820,17.460,76.720,0,0,0,0,727872,728416,0,0,4494,2970
6.011,14.208,79.781,0,0,0,0,725696,725696,0,0,4454,2929
3.889,15,81.111,0,0,0,0,725696,725696,0,0,4438,2938
4.255,18.085,77.128,0.532,0,0,12288,725152,725152,0,0,4451,2919
4.348,16.304,79.348,0,0,0,0,741472,741472,0,0,4544,3016
3.371,14.607,82.022,0,0,0,0,733312,733856,0,0,4485,2972
5.319,17.021,77.660,0,0,0,0,725778,725778,0,0,4439,2924
2.732,17.486,79.781,0,0,0,0,726240,726240,0,0,4434,2944
4.918,15.301,79.235,0.546,0,0,12288,728416,727872,0,0,4451,2959
4.420,14.917,80.663,0,0,0,0,733856,733856,0,0,4480,2962
3.646,20.312,76.042,0,0,0,0,724064,724608,0,0,4454,2931
3.804,17.391,78.804,0,0,0,0,721888,721888,0,0,4411,2917
6.218,18.135,75.648,0,0,0,0,727328,726784,0,0,4469,2955
4.972,13.812,80.110,1.105,0,0,12288,722976,722976,0,0,4419,2923
3.804,17.391,78.804,0,0,0,0,725152,725152,0,0,4442,2919
3.429,13.143,83.429,0,0,0,0,724608,724608,0,0,4420,2923
2.762,16.575,80.663,0,0,0,0,721888,722432,0,0,4415,2906
4.278,18.182,77.540,0,0,0,0,727872,727328,0,0,4473,2969
2.778,15,79.444,2.778,0,0,12288,715360,715360,0,0,4377,2901
4.301,17.204,78.495,0,0,0,0,732224,732224,0,0,4491,2975
3.889,15.556,80.556,0,0,0,0,721888,721888,0,0,4426,2913
5.405,15.135,79.459,0,0,0,2584576,740384,740384,0,0,4535,3003
4.372,15.847,79.781,0,0,0,0,728416,728416,0,0,4467,2950
4.420,14.365,79.558,1.657,0,0,20480,720338,720882,0,0,4410,2919
7.143,12.637,80.220,0,0,0,0,734400,733856,0,0,4497,2993
3.846,15.934,80.220,0,0,0,0,712640,712640,0,0,4373,2892
3.723,18.617,77.660,0,0,0,20480,732768,733312,0,0,4508,2965
6.417,16.578,77.005,0,0,0,0,805664,805120,0,0,4364,2948
4.301,18.280,76.344,1.075,0,0,16384,1285152,1286208,0,0,4087,2672
4.571,13.714,81.714,0,0,0,0,1277760,1277760,0,0,4022,2627
2.762,17.127,80.110,0,0,0,0,1310578,1310578,0,0,4118,2689
2.273,15.909,81.818,0,0,0,4096,1283040,1283040,0,0,4030,2634
3.867,17.680,78.453,0,0,0,0,1247136,1246080,0,0,3966,2631
2.717,18.478,76.630,2.174,0,0,12288,1255584,1255584,0,0,3964,2597
3.933,14.607,81.461,0,0,0,0,1303104,1303104,0,0,4080,2656
7.609,14.674,77.717,0,0,0,0,1253472,1253472,0,0,3972,2597
4.813,17.647,77.540,0,0,0,0,1320000,1321166,0,0,4145,2695
2.857,14.857,82.286,0,0,0,0,1295712,1294656,0,0,4065,2677
3.315,16.575,79.006,1.105,0,0,12288,1307328,1307328,0,0,4102,2663
3.977,14.773,81.250,0,0,0,0,1266144,1267200,0,0,4009,2628
2.857,12.571,84.571,0,0,0,0,1427712,1426656,0,0,3969,2941
2.326,13.953,83.721,0,0,0,0,1250304,1250304,0,0,3931,2563
2.874,14.368,82.759,0,0,0,0,1313664,1313664,0,0,4122,2695
4.918,12.022,82.514,0.546,0,0,12288,1528032,1528032,0,0,3879,3162
4.444,15.556,80,0,0,0,0,1292544,1292544,0,0,4105,2694
3.784,17.838,78.378,0,0,0,0,1298880,1298880,0,0,4089,2649
2.976,11.905,85.119,0,0,0,0,1246080,1247136,0,0,3916,2561
5.464,16.393,78.142,0,0,0,0,1278816,1277760,0,0,4047,2638
2.793,16.760,79.330,1.117,0,0,12288,1249248,1249248,0,0,3950,2571
5.495,15.385,79.121,0,0,0,0,1268256,1268256,0,0,4018,2626
4.372,16.940,78.689,0,0,0,0,1293600,1294656,0,0,4096,2651
3.297,17.582,79.121,0,0,0,0,1274592,1274592,0,0,4034,2609
4.945,15.934,79.121,0,0,0,2412544,1323250,1323250,0,0,4191,2730
4.188,19.895,74.346,1.571,0,0,73728,1269312,1268256,0,53248,4044,2626
3.371,16.292,80.337,0,0,0,0,1241856,1242912,0,0,3938,2561
4.520,14.689,80.791,0,0,0,0,1258834,1257778,0,0,3979,2608
5.405,15.676,78.919,0,0,0,0,1330560,1330560,0,0,4144,2664
4.972,15.470,79.558,0,0,0,0,1289376,1289376,0,0,4059,2658
4.444,15,80,0.556,0,0,12288,1316832,1316832,0,0,4109,2650
