"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569169127-1-macsec-aesgcm-we-frag-1500-hB5-dstat.csv",,,,"Date:","22 Sep 2019 18:25:12 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.779,1.361,95.419,1.441,0,41217.169,11592574.078,0,0,0,0,6128.814,9401.736
0.250,0,99.750,0,0,0,0,502,257,0,0,177,113
0,0,100,0,0,0,0,0,502,0,0,83,66
0,0,100,0,0,0,0,127,0,0,0,49,41
0,0,100,0,0,0,0,147,0,0,0,63,51
2.771,3.023,93.955,0.252,0,0,40960,54320163,921533,0,0,10172,17965
4.103,2.564,93.333,0,0,0,0,77124938,1295352,0,0,14111,24354
3.608,3.093,93.299,0,0,0,0,79440790,1345974,0,0,14719,25325
3.544,3.038,93.418,0,0,0,0,66827266,1135094,0,0,12429,21270
3.101,3.359,93.540,0,0,0,0,81199360,1367532,0,0,15032,25794
4.113,3.085,92.802,0,0,0,16384,83092834,1405400,0,0,15196,26409
4.071,3.817,92.112,0,0,0,0,82310839,1388775,0,0,15069,26066
4.156,2.078,93.766,0,0,0,0,82622423,1391134,0,0,15354,26353
3.886,2.073,94.041,0,0,0,0,78162414,1313059,0,0,14429,24562
4.569,3.046,92.386,0,0,0,0,76321938,1283900,0,0,14154,24027
5.570,3.291,90.886,0.253,0,0,16384,88190190,1495444,0,0,16209,28388
3.069,2.302,94.629,0,0,0,0,61360530,1046692,0,0,12021,19114
2.828,2.057,95.116,0,0,0,1638400,63196100,1062658,0,0,12062,20073
4.061,3.807,92.132,0,0,0,0,77149028,1298936,0,0,14296,24521
3.876,3.876,92.248,0,0,0,0,92608384,1576426,0,0,17074,29797
3.581,3.836,92.327,0.256,0,0,36864,83560180,1405990,0,0,15298,26492
4.113,2.314,93.573,0,0,0,0,77097636,1292590,0,0,14275,24282
3.342,3.856,92.802,0,0,0,0,83375490,1411696,0,0,15376,26628
3.093,3.093,93.814,0,0,0,0,77065516,1307208,0,0,14144,24571
4.103,2.821,93.077,0,0,0,0,78615306,1329952,0,0,14388,25088
4.348,2.813,92.839,0,0,0,16384,78915628,1324558,0,0,14427,24838
4.326,3.562,92.112,0,0,0,0,80216488,1352094,0,0,14722,25362
3.342,2.314,94.344,0,0,0,0,69906095,1184416,0,0,12772,22240
4.627,3.085,92.288,0,0,0,155648,89271263,1505524,0,0,16279,28455
2.872,2.611,84.856,9.661,0,0,67117056,78469242,1322809,0,0,14600,24836
4.315,3.807,82.234,9.645,0,0,67166208,77179536,1303928,0,0,14418,24753
2.302,2.813,86.445,8.440,0,0,67117056,62126586,1038618,0,0,11438,19545
3.061,5.102,84.184,7.653,0,0,62951424,81943108,1375660,0,0,15065,25886
3.846,2.564,75.897,17.692,0,0,119545856,70309074,1167230,0,0,12942,21969
2.850,1.813,69.948,25.389,0,4096,167772160,62939140,1056190,0,0,11614,19905
4.359,2.564,68.205,24.872,0,4096,167772160,73917756,1244010,0,0,13659,23348
2.564,4.103,67.692,25.641,0,8192,167825408,61040217,1026250,0,0,11401,19773
