"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-aesgcm-we-1464-hB5-dstat.csv",,,,"Date:","22 Sep 2019 21:52:14 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.995,3.219,88.262,4.523,0,15892.748,29711074.454,0,0,0,0,17651.026,24919.091
0,0,100,0,0,0,0,502,612,0,0,204,128
0,0,100,0,0,0,0,0,0,0,0,44,25
0,0,100,0,0,0,0,127,0,0,0,55,51
0,0,100,0,0,0,0,147,147,0,0,57,43
3.015,3.769,93.216,0,0,0,36864,88103627,387882,0,0,3236,6027
3.325,3.836,92.839,0,0,0,0,123370896,543668,0,0,4407,8076
3.325,2.813,93.862,0,0,0,0,123372414,541024,0,0,4359,8155
3.291,3.291,93.418,0,0,0,0,123372414,540488,0,0,4386,8101
3.299,3.299,93.401,0,0,0,0,123372414,543674,0,0,4349,8162
2.813,3.069,94.118,0,0,0,12288,123372414,541764,0,0,4372,8111
3.053,3.308,93.639,0,0,0,0,123374059,541654,0,0,4388,8092
3.308,3.053,93.639,0,0,0,0,123372561,546789,0,0,4355,8166
3.544,3.291,93.165,0,0,0,0,123372414,541442,0,0,4369,8118
3.053,3.308,93.639,0,0,0,0,123372414,542190,0,0,4344,8158
2.792,3.553,93.401,0.254,0,0,12288,123372414,541654,0,0,4379,8100
3.061,3.061,93.878,0,0,0,0,123373932,541448,0,0,4362,8153
3.053,3.308,93.639,0,0,0,0,123372414,542184,0,0,4366,8092
3.053,3.308,93.639,0,0,0,0,123372414,540282,0,0,4345,8140
3.553,3.553,84.264,8.629,0,0,76820480,123285888,540700,0,0,4731,8212
2.799,3.562,76.336,17.303,0,0,127148032,123460458,541236,0,0,4506,8174
4.545,3.788,67.424,24.242,0,0,167862272,118444986,517286,0,0,4506,8338
3.553,3.553,70.305,22.589,0,0,167772160,123376968,541124,0,0,4573,8142
2.273,6.818,76.263,14.646,0,0,141295616,74072915,327858,0,0,2939,5022
6.549,5.542,87.909,0,0,0,0,116435497,1984074,0,0,19681,37318
6.500,5.500,88,0,0,0,0,123461976,2114208,0,0,20655,39876
6.030,5.276,88.442,0.251,0,0,69632,123373932,2113042,0,0,20606,39833
6.516,5.263,88.221,0,0,0,0,123372541,2118626,0,0,20573,40135
4.261,4.010,91.729,0,0,0,0,123372561,705465,0,0,6069,11385
3.046,3.553,93.401,0,0,0,0,123372414,544628,0,0,4350,8161
2.813,3.069,94.118,0,0,0,0,123367860,542926,0,0,4361,8088
3.562,3.053,93.384,0,0,0,12288,123372414,542614,0,0,4365,8190
2.792,3.807,93.401,0,0,0,0,123373932,545470,0,0,4362,8097
2.806,3.316,93.878,0,0,0,0,123334464,539752,0,0,4351,8122
2.813,3.069,94.118,0,0,0,0,123372414,543350,0,0,4357,8092
2.799,3.562,93.639,0,0,0,0,123372414,543144,0,0,4345,8164
3.544,3.291,92.911,0.253,0,0,12288,123373932,541760,0,0,4380,8096
3.562,2.799,93.639,0,0,0,0,123372414,544946,0,0,4354,8161
3.069,3.325,79.284,14.322,0,0,108392448,123372414,546000,0,0,4518,8156
3.807,3.299,75.127,17.766,0,0,132911104,123284370,542608,0,0,4506,8149
