"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-morus640-we-1500-1464-hB5-dstat.csv",,,,"Date:","23 Sep 2019 03:27:31 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.460,3.500,86.418,5.622,0,22600.672,37179111.532,0,0,0,0,17732.024,25987.201
0,0,100,0,0,0,0,649,612,0,0,203,126
0,0,100,0,0,0,0,0,0,0,0,51,38
0,0,100,0,0,0,0,127,0,0,0,49,35
0,0,100,0,0,0,0,0,147,0,0,65,57
2.551,3.061,94.388,0,0,0,40960,87355400,408876,0,0,3239,5943
3.817,4.580,91.603,0,0,0,0,123369378,573984,0,0,4409,8039
3.590,4.103,92.308,0,0,0,0,123376968,572930,0,0,4374,8098
3.827,4.592,91.582,0,0,0,0,123369378,573034,0,0,4422,8066
3.827,4.337,91.837,0,0,0,0,123375450,573884,0,0,4363,8093
3.590,4.103,92.051,0.256,0,0,12288,123372414,572712,0,0,4409,8064
4.071,4.326,91.603,0,0,0,0,123372541,572190,0,0,4384,8096
3.316,3.316,93.367,0,0,0,0,123370896,573917,0,0,4405,8140
3.053,3.053,93.893,0,0,0,0,123374079,574726,0,0,4359,8085
2.778,3.788,93.434,0,0,0,0,123370896,573884,0,0,4344,8175
2.558,3.069,94.373,0,0,0,12288,123372414,573772,0,0,4353,8101
3.299,3.046,93.655,0,0,0,0,123373932,574202,0,0,4401,8180
2.558,3.069,94.373,0,0,0,0,123372414,573984,0,0,4414,8094
3.518,3.266,92.965,0.251,0,0,0,123372414,573036,0,0,4447,8158
3.046,3.807,84.010,9.137,0,0,88674304,123372414,575044,0,0,4886,8242
3.053,3.562,75.827,17.557,0,0,132911104,120427494,556712,0,0,4431,8121
3.077,4.615,74.359,17.949,0,0,123805696,119662422,550240,0,0,4402,8294
3.359,4.134,68.217,24.289,0,0,167772160,123378486,572400,0,0,4557,8171
2.284,4.569,75.127,18.020,0,0,167772160,76548773,355416,0,0,2987,5088
3.544,8.101,88.354,0,0,0,0,100309710,469108,0,0,3790,6852
4.092,3.836,92.072,0,0,0,69632,123372414,574196,0,0,4394,8066
4.092,3.836,92.072,0,0,0,0,123372414,573354,0,0,4404,8123
4.798,4.293,90.909,0,0,0,0,123371023,573560,0,0,4401,8066
4.557,4.557,90.886,0,0,0,0,123370896,574561,0,0,4429,8149
3.836,4.092,92.072,0,0,0,0,123371043,574302,0,0,4400,8062
4.569,3.807,91.371,0.254,0,0,12288,123376968,574832,0,0,4430,8088
3.333,4.359,92.308,0,0,0,0,123366342,573248,0,0,4368,8089
4.337,4.082,91.582,0,0,0,0,123370896,574090,0,0,4433,8079
3.571,4.592,91.837,0,0,0,0,123372414,573036,0,0,4390,8115
3.333,4.359,92.308,0,0,0,0,123373932,573878,0,0,4389,8056
3.085,4.370,92.545,0,0,0,12288,123372414,574944,0,0,4367,8108
2.835,4.381,92.784,0,0,0,0,123375450,574090,0,0,4408,8063
2.842,4.134,93.023,0,0,0,0,123370896,573142,0,0,4356,8085
3.856,3.856,78.406,13.882,0,0,104173568,123375450,573454,0,0,4556,8112
3.590,4.615,73.590,18.205,0,0,134221824,123369378,575368,0,0,4503,8136
4.315,3.807,67.259,24.619,0,0,168558592,122759142,567836,0,0,4580,8090
4.113,3.342,65.553,26.992,0,0,167813120,115390770,532220,0,0,4314,7781
3.038,9.114,77.215,10.633,0,0,104857600,84025339,623862,0,0,5753,10795
6.030,5.025,88.945,0,0,0,0,123375450,2102542,0,0,20736,39231
6.045,4.786,89.169,0,0,0,0,123369378,2112618,0,0,20638,39851
3.817,4.580,91.603,0,0,0,0,123372414,625818,0,0,4929,9104
4.082,4.082,91.837,0,0,0,69632,123375450,574308,0,0,4416,8127
2.821,4.872,92.308,0,0,0,0,123369378,573666,0,0,4394,8051
4.326,4.326,91.349,0,0,0,0,123376968,574626,0,0,4384,8129
2.835,4.381,92.784,0,0,0,0,123370896,573878,0,0,4387,8045
3.827,4.337,91.837,0,0,0,0,123372414,574520,0,0,4379,8111
3.827,3.316,92.602,0.255,0,0,12288,123370896,574514,0,0,4427,8107
2.792,3.553,93.655,0,0,0,0,123373932,575050,0,0,4382,8199
3.526,3.526,92.947,0,0,0,0,123364824,573242,0,0,4378,8095
3.046,3.299,93.655,0,0,0,0,123373932,575156,0,0,4344,8179
2.290,3.562,94.148,0,0,0,0,123372414,574200,0,0,4348,8103
2.792,3.807,92.640,0.761,0,0,28037120,123372414,574408,0,0,4474,8183
