"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-aesgcm-we-jumbo-1500-hB5-dstat.csv",,,,"Date:","22 Sep 2019 23:24:03 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.944,3.245,87.857,4.955,0,12462.811,32425635.802,0,0,0,0,16060.460,23447.012
0.249,0.249,99.501,0,0,0,0,502,612,0,0,1069,118
0,0,100,0,0,0,0,0,0,0,0,1037,43
0,0,100,0,0,0,0,127,0,0,0,1036,36
0,0,100,0,0,0,0,0,147,0,0,1041,63
4.750,2.250,93,0,0,0,36864,88479181,394060,0,0,3950,6177
6.234,3.242,90.524,0,0,0,0,123415572,547384,0,0,5031,8120
5.528,3.266,91.206,0,0,0,0,123412570,547178,0,0,5057,8051
5.276,3.518,91.206,0,0,0,0,123397030,548108,0,0,5054,8073
5.514,3.509,90.977,0,0,0,0,123412464,546222,0,0,5029,8132
5.764,3.509,90.727,0,0,0,12288,123392368,546318,0,0,5057,8073
5.750,3.250,91,0,0,0,0,123411037,546748,0,0,5030,8122
5.764,3.258,90.977,0,0,0,0,123412570,546053,0,0,5062,8093
5.750,3.500,90.750,0,0,0,0,123403140,547384,0,0,5030,8120
5.750,3.500,90.750,0,0,0,0,123395476,547178,0,0,5057,8061
6.250,3.250,90.500,0,0,0,12288,123406248,546112,0,0,5033,8160
5.038,3.526,91.436,0,0,0,0,123392368,548026,0,0,5060,8073
5.764,3.258,90.977,0,0,0,0,123378382,547496,0,0,5053,8048
5.514,3.509,90.977,0,0,0,0,123414018,547172,0,0,5035,8113
5.290,3.526,82.116,9.068,0,0,76857344,123378382,548132,0,0,5416,8184
5.779,3.518,73.116,17.588,0,0,132128768,123409356,547172,0,0,5198,8140
5.985,3.242,72.818,17.955,0,0,125120512,116533118,506580,0,0,4995,7675
6.030,3.518,66.332,24.121,0,0,157286400,123420234,546748,0,0,5200,8188
3.544,7.848,71.139,17.468,0,0,114032640,77589536,348374,0,0,3710,5532
6.219,3.483,90.299,0,0,0,0,123347196,547908,0,0,5055,8087
6.250,3,90.750,0,0,0,0,123398584,547170,0,0,5050,8066
5.290,3.526,91.184,0,0,0,65536,123417126,549186,0,0,5037,8127
6.219,3.234,90.547,0,0,0,0,123336551,548026,0,0,5049,8058
6.015,3.258,90.727,0,0,0,0,123407802,548909,0,0,5033,8141
5.038,3.526,91.436,0,0,0,0,123378382,547060,0,0,5054,8054
6.468,2.985,90.299,0.249,0,0,0,123407802,547490,0,0,5032,8121
6.015,3.008,90.977,0,0,0,12288,123316222,547708,0,0,5056,8080
5.500,3.750,90.750,0,0,0,0,123415572,548550,0,0,5037,8141
6,3,91,0,0,0,0,123376828,547896,0,0,5052,8051
5.263,3.759,90.977,0,0,0,0,123355072,547472,0,0,5054,8046
5.528,3.518,90.955,0,0,0,0,123078354,548868,0,0,5020,8083
5.528,3.266,91.206,0,0,0,12288,123372166,548756,0,0,5060,8097
5.500,3.750,90.750,0,0,0,0,123409356,547066,0,0,5026,8112
5.779,3.518,73.367,17.337,0,0,130121728,123367504,547708,0,0,5207,8097
5.528,3.769,72.613,18.090,0,0,132124672,123409356,549292,0,0,5156,8172
6.500,3.500,66.250,23.750,0,0,169869312,123375274,546848,0,0,5208,8132
5.051,3.283,68.687,22.980,0,0,167813120,115830710,507316,0,0,4960,7821
3.769,8.291,79.648,8.291,0,0,79691776,75415490,339228,0,0,3627,5353
5.779,3.015,91.206,0,0,0,0,123400032,550670,0,0,5029,8119
5.263,3.759,90.977,0,0,0,0,123390814,549392,0,0,5055,8078
5.263,3.759,90.977,0,0,0,0,123412464,548762,0,0,5026,8112
5.970,3.731,90.299,0,0,0,69632,123378382,547696,0,0,5060,8074
5.542,3.023,91.436,0,0,0,0,123398478,549822,0,0,5029,8102
6.030,2.764,91.206,0,0,0,0,123375274,549616,0,0,5057,8083
5.985,3.491,90.524,0,0,0,0,123417126,548974,0,0,5031,8123
5.514,3.258,90.977,0.251,0,0,0,123378382,550676,0,0,5052,8052
