"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569169127-1-macsec-morus640-we-1500-1464-hB5-dstat.csv",,,,"Date:","22 Sep 2019 18:32:57 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.907,1.454,95.092,1.547,0,38882.898,12394197.746,0,0,0,0,6582.941,10025.147
0.499,0,99.501,0,0,0,0,0,612,0,0,148,101
0,0,100,0,0,0,0,502,0,0,0,52,44
0,0,100,0,0,0,0,127,0,0,0,50,31
0,0,100,0,0,0,0,147,147,0,0,65,56
2.041,3.571,94.388,0,0,0,36864,88231066,407804,0,0,3268,6302
3.325,4.604,92.072,0,0,0,0,123370896,564868,0,0,4391,8058
3.085,4.370,92.545,0,0,0,0,123376968,565192,0,0,4373,8109
3.571,4.337,92.092,0,0,0,0,123369378,565504,0,0,4392,8048
3.608,3.608,92.784,0,0,0,0,123375450,566782,0,0,4387,8105
4.293,4.545,90.909,0.253,0,0,12288,123372414,565614,0,0,4404,8078
3.333,4.615,92.051,0,0,0,0,123371023,563920,0,0,4371,8089
3.342,3.599,93.059,0,0,0,0,123372561,563955,0,0,4393,8084
3.053,3.308,93.639,0,0,0,0,123358752,565080,0,0,4391,8114
3.827,4.337,91.837,0,0,0,0,123393666,566676,0,0,4384,8138
3.061,4.847,91.837,0.255,0,0,12288,123348126,564232,0,0,4405,8052
3.333,4.359,92.308,0,0,0,0,123375450,568372,0,0,4376,8110
3.342,4.113,92.545,0,0,0,0,123370896,564974,0,0,4397,8044
2.835,4.381,92.784,0,0,0,0,123370896,567842,0,0,4365,8099
3.333,4.872,82.308,9.487,0,0,76894208,123370896,565716,0,0,4688,8151
3.836,3.581,75.448,17.136,0,4096,117448704,112816242,506468,0,0,4142,7317
3.069,4.859,64.706,27.366,0,4096,167849984,115052256,522362,0,0,4306,7859
3.308,3.817,70.483,22.392,0,4096,167772160,115480332,519612,0,0,4307,7574
3.061,5.612,73.980,17.347,0,8192,150994944,95810748,432686,0,0,3705,6356
